AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,.00066186,.00000074,.02023146,.02173562,0,0,0,0,0,0,0,.01454795,.01454795,.01454795,.01454795,.00885864,.00685467,.01193675,.01148942,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,COGENERATION,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,,0,,,,.00046575,.00008219,.00008219,.00007681,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00805832,.00805832,.00805832,.00805832,.00000004,0,.00054378,.00009913,.00009986,.00019178,.00017421,.00000004,.0000431,.00005479,.00005479,.00005479,.00005479,.00005479,.00005479,.00005479,.00005479,.00005753,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00197058,.00000631,.00000506,.00081288,0,.00150833,.00000562,.0000047,.00000424,0,.00000527,0,.0000055,0,.0000073,.0000073,.0000073,.0000073,.00000736,.00000742,.00000746,.00000751,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.04671605,.02928632,.02395962,.02396131,.00001943,.0171246,.02404076,.04268482,.04147504,.03241096,.01911372,.00000837,.01246042,.01350684,.02408514,.02408514,.02408514,.02408514,.02433643,.02453219,.0245689,.02467006,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,LANDFILLS,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.46056154,.46735537,.47392565,.47938329,.48254701,.48364535,.48571029,.49081504,.49685574,.50114989,.5055626,.5115447,.51781404,.52318001,.52904111,.53329426,.53679395,.53986013,.54368985,.54500234,.54585034,.54449588,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,INCINERATORS,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.54548115,.55352765,.56130934,.56777328,.57152033,.5728212,.5752669,.58131284,.58846736,.5935533,.59877962,.60586476,.61329001,.61964536,.62658715,.63162452,.63576949,.63940102,.64393687,.64549136,.64649576,.64489156,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
