AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,6.67909648,5.7551781,2.49655004,1.4834419,2.11464943,2.12527391,1.83374026,1.67224605,1.24285941,.97180179,.82629936,.72882191,.65526027,.89273966,.84157446,.86028678,.86028678,.86028678,.53433658,.41932247,.71012942,.68492509,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,COGENERATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.30298531,.33041096,,.27202389,,,,.69882633,.61931876,.54668492,.51490784,.21871234,.21871234,.22019178,.27210957,.22909588,.22909588,.22909588,.21302942,.21451706,.21570717,.21659975,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.57439745,1.47437547,1.36773022,1.28276004,1.34605972,1.25623036,1.33790979,1.13941444,.98218869,.91555972,.90043426,1.11084089,.98439,.98449041,.78896908,.79491005,.79281851,.7836973,.79326394,.78672563,.78797856,.8108007,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.74561905,.74491127,.48726476,.68442917,.68541296,.66833945,.43915931,.41352065,.39294246,.37356742,.3544893,.24918786,.23580427,.23018425,.22386849,.16158158,.12634453,.11676586,.11088153,.10569295,.10076866,.09606007,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.75905971,2.02066227,1.51305739,1.84343982,1.51243542,1.61571495,1.56825309,1.15806261,.97329459,.95281786,.95034624,1.1330047,1.22028175,1.19361122,1.03908914,1.08203419,1.09938127,1.10734258,1.13658475,1.15895538,1.1603795,1.16518139,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.39683978,1.43518254,1.1769191,.84699324,1.05567856,1.04394008,.96947424,.92345946,.920046,.93817564,.86180425,.86190396,.86116884,.86116884,.86128329,.70263956,.70263956,.70263956,.70266941,.7026789,.58666071,.58665171,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03864882,.03717808,.05985475,.06206042,.00290411,.05145206,.05931506,.05539726,.05660275,.06142465,.06764383,.0669589,.07024658,.06438356,.1060548,.1060548,.1060548,.1060548,.10637276,.10623105,.10517436,.10398339,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,LANDFILLS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.10938695,.14665751,.17286727,.17769302,.1907123,.1563288,.20183562,.20161646,.17356165,.15539725,.08084931,.0809863,.22457535,.22361645,.20350684,.20350684,.20350684,.20350684,.20499035,.20642216,.20699179,.20768591,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,INCINERATORS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00427851,.00394519,.00398192,.00399856,.00334247,.00334247,.00336986,.00073972,.00254795,.00315069,.00287672,.00315069,.00336987,.0030411,.00449315,.00449315,.00449315,.00449315,.00452557,.00453976,.00454878,.00454212,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
