AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.41859878,1.41775343,1.43809824,.93846002,1.19328533,1.18488425,.90592679,.8954569,.80844992,.64530991,.70517639,.58520548,.54328768,.86802731,.69256475,.70683869,.70683869,.70683872,.43093796,.33374779,.58015583,.55847712,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,COGENERATION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.09359352,.09312329,,.08748217,,,,.12034646,.1262284,.11495891,.1132969,.0649589,.0649589,.06315069,.07594521,.07509589,.07509589,.07509589,.06982942,.07031706,.07070717,.07099976,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.12057527,.11337568,.09913848,.09440401,.1010571,.08805231,.11398143,.07676132,.08110541,.07421735,.0719532,.08991563,.09014419,.08761941,.06541514,.06555883,.06552883,.06523447,.06570018,.06550932,.06559526,.06734204,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.20950666,.20947119,.21278538,.2120758,.20195173,.18681026,.13507418,.13961854,.12250513,.18068323,.15749979,.15090367,.15558788,.1835118,.16878379,.16914144,.19889717,.20365842,.20652719,.20261814,.19848063,.20037971,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.36428519,.39362367,.36309572,.37827514,.33437091,.35353603,.45701389,.39146935,.33334166,.32676037,.34639664,.37207235,.41838786,.39892008,.40001008,.4010261,.41025815,.41625262,.42509935,.43540158,.43564836,.43788354,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06482491,.06734643,.04400244,.02973228,.03478835,.03164043,.02904035,.02676267,.02569474,.02522402,.02507209,.02511112,.02483805,.02483805,.02483937,.01921884,.01921884,.01921884,.01921994,.01922029,.01398948,.01398921,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0108321,.00887672,.01420924,.01476067,.00071233,.01238356,.01430137,.01323287,.0131206,.01421918,.01584909,.01575343,.01649316,.0150137,.02170392,.02170392,.02170392,.02170392,.02174461,.02166776,.02137845,.02105101,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.1426223,.15421917,.14860107,.15254182,.26691853,7.023769,.10045602,7.99503054,6.92078584,.07268493,.02151675,1.77005494,4.50698656,4.4527121,6.77250092,6.77250092,6.77250092,6.7725014,6.82805737,6.88197239,6.88928785,6.92827877,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00506685,.00512328,.00509011,.00661306,.01226355,.01226355,.00767123,.00276712,.00435616,.00465754,.00443835,.00465754,.00424658,.00482192,.00485959,.00485959,.00485959,.00485959,.00489481,.00491109,.00492141,.00491553,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,v1.03_RF3084
