AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.41794214,1.41542556,1.43785922,.93823004,1.19103028,1.18267756,.90548589,.89503198,.808299,.59031455,.56260756,.44287145,.54326028,.65784479,.69254654,.70682048,.70682048,.70682051,.43092002,.33373011,.5801376,.55845851,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,COGENERATION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.09359352,.09312329,,.08748217,,,,.12034645,.1262284,.11495891,.1132969,.0649589,.0649589,.06315069,.07594521,.07509589,.07509589,.07509589,.06982942,.07031706,.07070717,.07099976,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.1196807,.11272986,.09841801,.09378234,.09974516,.08707553,.11289805,.07588266,.07918566,.07330686,.07134869,.08886709,.08963213,.08710738,.06492569,.06504908,.06501926,.06473696,.06520183,.06501204,.06509795,.06683266,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.20248262,.2024488,.20500567,.20501245,.19505763,.18037948,.12941558,.13402992,.11742817,.17429769,.15175794,.14593487,.15059407,.17788257,.1635522,.16408982,.19338389,.19807772,.20092179,.19714131,.19313785,.19502515,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.36186923,.39105289,.36050034,.3760492,.33133627,.35051156,.45457987,.38906459,.33115617,.3245865,.34428424,.36988418,.41587182,.39649744,.39802563,.39904345,.40820223,.41414884,.42292882,.43317507,.43342692,.43565499,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06491183,.06744672,.04397657,.0296297,.03470925,.03154878,.02893341,.0266436,.02557,.02509663,.02493115,.02497018,.02469711,.02469711,.02469843,.01904755,.01904755,.01904755,.01904865,.01904901,.01379,.01378972,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0108321,.00887672,.01420924,.01476067,.00071233,.01238356,.01430137,.01323287,.0131206,.01421918,.01584909,.01575343,.01649316,.0150137,.02170392,.02170392,.02170392,.02170392,.02174461,.02166776,.02137845,.02105101,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.07576248,.08608024,.08747821,.08983306,.08915068,4.75723228,.07136279,2.83192364,2.56411994,.05306804,.02066735,.49856174,1.63240114,1.61562603,2.62273278,2.62273278,2.62273278,2.62273297,2.64418167,2.66523658,2.66980524,2.68524433,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00491789,.00498629,.00494115,.0064641,.00767125,.00767125,.00767123,.00276712,.00435616,.00457535,.00435616,.00457535,.00416439,.00482192,.00480479,.00480479,.00480479,.00480479,.00483963,.00485577,.00486601,.00486026,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,v1.03_RF3084
