AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.40668587,1.40417436,1.43644501,.93823004,1.19026385,1.18192719,.90200015,.89362393,.80550291,.6421013,.70121,.58118079,.53961276,.86180954,.68797717,.70213691,.70213691,.70213694,.42805961,.33151204,.57629112,.55475502,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,COGENERATION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.09284477,.09238762,,.08748217,,,,.11959191,.12537047,.11416417,.11251458,.06443923,.06443923,.06264548,.07533765,.07449512,.07449512,.07449512,.06927078,.06975452,.07014152,.07043176,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.11721857,.11082181,.09830342,.09399271,.09959996,.08701987,.11230381,.07551316,.07870806,.0732256,.07134581,.08867998,.08917873,.08667422,.06466532,.06479194,.06476218,.06447405,.06493417,.0647449,.0648297,.06655921,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.2003401,.20031337,.20280418,.20307958,.19317951,.17865002,.12794285,.13253448,.11609911,.17245559,.15013484,.14445886,.14908449,.17612315,.16192828,.16248669,.19154631,.19620054,.19902176,.19527794,.1913132,.19318484,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.35990226,.38839991,.35994541,.37590682,.33073744,.34992851,.45060405,.38814267,.33029823,.32376481,.34344793,.3687139,.41466059,.39542756,.39653434,.39754028,.40669313,.41263608,.4213852,.43160898,.43185936,.43408325,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06166493,.0640889,.04171519,.02803765,.03287965,.0298615,.02737306,.02518912,.02416429,.0237142,.02358973,.02362786,.02336292,.02336292,.02336334,.01797662,.01797662,.01797662,.01797769,.01797803,.01296473,.01296447,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01082189,.00887672,.01420924,.01476067,.00071233,.01238356,.01430137,.01323287,.0131206,.01421918,.01584909,.01575343,.01649316,.0150137,.02170392,.02170392,.02170392,.02170392,.02174461,.02166776,.02137845,.02105101,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.04238254,.05202244,.07350426,.08983306,.07598269,2.74746364,.05683672,3.16514007,.55156438,.04322411,.02027717,.1487647,.38604391,.3818317,.54319787,.54319787,.54319787,.5431979,.54764675,.55199812,.55277036,.55591023,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00105794,.00106304,.00329425,.0064641,.00464842,.00464842,.00308713,.00117809,.00184548,.00195343,.00184548,.00195343,.00178083,.00202521,.00202295,.00202295,.00202295,.00202295,.0020376,.0020444,.00204871,.00204628,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00000007,.00000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SAN DIEGO,STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00598422,.00475133,.00645928,.00711079,.00077457,.01047958,.00900485,.00910422,.00729649,.00576477,.00305444,.0031163,.00308411,.00310826,.00486095,.00485582,.0048524,.00485609,.00497958,.00507063,.00493599,.00495453,v1.03_RF3084
SAN DIEGO,STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00611752,.00611752,.00735357,.00618437,.00573629,.00517713,.00441855,.00467815,.00404351,.00635243,.0054763,.00543666,.00565613,.00676186,.00620014,.00628113,.00753666,.00773935,.00786696,.00772568,.00757546,.00766137,v1.03_RF3084
