AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.49408247,.51562407,.43799313,.34753032,.47421578,.48718452,.31205117,.33285335,.24626759,.17074961,.15953477,.07916141,.07676759,.15636296,.09829428,.10051072,.10051072,.10051071,.06173656,.0480702,.08265903,.07962492,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,COGENERATION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06109657,.00756138,,.01526524,,,,.11964002,.12058651,.10360153,.10689719,.04306849,.04306849,.0410411,.04526835,.04502179,.04502179,.04502178,.04186442,.04215676,.04239065,.04256605,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.12937709,.12574285,.06747248,.10037491,.0976234,.12259877,.20039441,.09306503,.08827771,.08554868,.09289258,.12938568,.11961898,.11503173,.07574923,.07571992,.07569132,.07564805,.07606699,.07588585,.07596146,.07916752,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.46730087,.4673085,.5472217,.47124208,.4358691,.39561514,.34050273,.35596242,.31047514,.46686148,.40490489,.39189475,.40544298,.48064803,.44153536,.44412755,.52668208,.54004843,.54825275,.53807783,.52728941,.53276132,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.36897773,.31186005,.28689773,.33548565,.22437853,.28992319,.30252267,.26912747,.25221134,.25868481,.27553806,.27928783,.28678745,.26631141,.28751127,.2875373,.29178416,.29442455,.29928666,.30541037,.30731882,.30941039,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.16858892,.17500468,.13532044,.08545984,.09060119,.07273219,.06662289,.06303075,.06212679,.06258483,.06055319,.06062252,.0602006,.0602006,.06020664,.04583042,.04583042,.04583042,.04583167,.04583207,.03571065,.0357103,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05590677,.03928826,.05166414,.05199619,.00018374,.02685438,.05540139,.05497883,.0491171,.04487932,.03309091,.03317884,.03030466,.03048652,.02884084,.02884084,.02884084,.02884084,.02907068,.02920899,.02913115,.0290934,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,LANDFILLS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.13100154,.98062584,.99926429,1.00329667,1.10887883,1.20757006,1.11274886,1.07348571,1.18069231,1.28728781,1.15744067,1.16358654,1.27117273,1.27366585,1.37612461,1.38044328,1.38399693,1.38711044,1.39752341,1.40683211,1.41323524,1.41740443,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,INCINERATORS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00011909,.00008682,.00011083,.0001113,.00010097,.00010097,.00010132,.0000227,.00007721,.00008482,.00008633,.00008482,.00014224,.0000957,.00011192,.00011192,.00011192,.00011192,.00011274,.0001131,.00011334,.00011321,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00123429,.00186302,.00161526,.00095181,.00069297,.00069297,.00137223,.00067678,.00000053,,,,,,,,,,,,,,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.21497263,.21814375,.22121049,.22375791,.22523461,.22574729,.22671111,.22909382,.23191339,.23391774,.23597743,.23876965,.24169594,.24420056,.24693631,.2489215,.25055501,.25198621,.25377378,.2543864,.2547822,.25415,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06633189,.06802269,.07321901,.2398341,.25502259,.25982293,.10684391,.23436896,.24179259,.09009754,.09541029,.09653924,.0977224,.09873506,.09984118,.10064384,.1013043,.10188296,.10260571,.1028534,.10301344,.10275783,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.6176212,1.61868887,1.4646001,1.5576148,1.69820417,1.72411942,1.67625196,1.69476237,1.68924385,1.60313706,1.28913163,1.32332843,1.35582565,1.40423038,1.39993099,1.44358534,1.46195937,1.51426141,1.54771646,1.59232246,1.61188269,1.59669776,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,9.46609292,9.36704749,9.48195871,8.91841525,9.04892981,9.61234241,9.58422417,9.10563579,8.75609826,7.99383964,7.09387637,5.69280265,5.22630245,5.30811732,5.44168523,5.81884236,5.94689288,6.19792189,6.32841968,6.41863459,6.63748756,6.7538534,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,8.71735827,8.69698295,10.0224321,8.79595923,7.65043763,6.48741149,5.49301269,5.16072048,5.16893487,6.58442975,5.51406959,5.39739345,4.85850986,5.05038621,4.26397124,3.9107751,4.87766686,4.4926509,4.5162374,4.42797791,4.07512827,4.28443476,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.36691629,3.36691629,3.47846582,3.49784764,3.70807574,3.76276677,3.44663665,3.32130901,2.96004544,2.46932574,2.45182728,2.37707618,2.32851076,2.47498536,2.44983641,2.38926058,2.53601664,2.61408876,2.63695188,2.61275167,2.50791807,2.56616718,v1.03_RF3084
SAN DIEGO,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0677347,.07571907,.06682494,.07148319,.06912985,.07600943,.07258972,.07720899,.07860819,.07339386,.10499929,.07853027,.07270801,.07494164,.07872602,.08813394,.08925605,.09531887,.09685433,.09679992,.09718504,.09991297,v1.03_RF3084
SAN DIEGO,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,8.89274128,8.5872531,8.73403343,8.71281169,9.66545427,9.46074453,9.18918906,8.78203883,8.53204806,8.33269554,8.55714566,8.47704917,8.42906276,8.44650079,8.30266702,8.36604733,8.43125346,8.38758635,7.70842781,7.15890942,6.68761259,6.28286577,v1.03_RF3084
SAN DIEGO,STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.1663448,1.14491472,1.13632138,1.2144056,1.3742701,1.24504979,1.12286137,1.38158532,1.26802423,1.52401424,1.65077047,1.67918878,2.24053053,2.31662417,2.41121094,2.39417845,2.38252177,.91080013,.93395999,.95103772,.9257904,.9292644,v1.03_RF3084
SAN DIEGO,STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.27689317,.29038536,.24825855,.25483103,.29963646,.28767704,.12109674,.05058146,.09733638,.10206959,.10030916,.10031684,.04945047,.0518106,.05051606,.0512412,.05295806,.05345037,.05433149,.05336154,.05233718,.05292865,v1.03_RF3084
SAN DIEGO,STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.46877116,.4388055,.48056262,.47818803,.55147772,.58092728,.60833737,.49521665,.39059575,.27350909,.28761636,.27261291,.24109134,.21736825,.21166836,.20606186,.22181008,.22555096,.22757277,.22566333,.21641187,.22682633,v1.03_RF3084
SAN DIEGO,STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0043288,.0043288,.0036911,.00329622,.0108969,.01145919,.02921794,.02678539,.02756539,.00865092,.00871905,.00928924,.00904151,.00926076,.00864584,.00860639,.00837822,.00810705,.00824316,.00828353,.00828103,.00854347,v1.03_RF3084
SAN DIEGO,STATIONARY,INDUSTRIAL PROCESSES,GLASS AND RELATED PRODUCTS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,.00575342,,.00575342,.00578082,,,,,,,,,,,,,v1.03_RF3084
SAN DIEGO,STATIONARY,INDUSTRIAL PROCESSES,ELECTRONICS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,.0064671,.0000002,.02283011,.02278044,.02274389,.00107189,.00021916,.00021916,.00002744,.00003346,.00002744,.00002744,,.00024994,.00024994,.00024994,.00024994,.00025355,.00026736,.00029411,.00027126,v1.03_RF3084
