AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.34154642,.61134248,.19501732,.07831076,.09299905,.09394979,.10331728,.0859427,.05513483,.04579414,.04328234,.03553425,.02898629,.04035616,.0346739,.03527664,.03527664,.03527664,.02258612,.01810051,.02928777,.02830794,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,COGENERATION,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02620383,.02972603,,.02791823,,,,.02522502,.02862601,.02485898,.02463398,.02076712,.02076712,.02019178,.01696243,.01690764,.01690764,.01690764,.01572192,.0158317,.01591953,.0159854,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06745714,.08019693,.07011841,.06305849,.06033202,.05801477,.07606143,.06581315,.06664443,.06225505,.05462791,.06128544,.05700383,.05646783,.03788335,.03785466,.0365867,.03717214,.03789364,.03818994,.03862452,.03918256,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.08746518,.08744819,.10186771,.08826518,.08239354,.07483876,.06206963,.06544468,.0567655,.08776738,.07583276,.07488837,.07775397,.09260072,.08500793,.08570279,.10247407,.10501476,.10673975,.10482999,.10279927,.10386036,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02753766,.05571988,.02532394,.0306571,.03141607,.0361124,.03769397,.04454927,.03957565,.03997456,.03740786,.04058679,.04300259,.03994455,.04277705,.04279492,.04317869,.04337982,.04388465,.04450734,.04470913,.04493851,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00001941,.0000274,.00004896,.00004896,.00003734,.00004554,.00007144,.00003528,.00004663,.00003381,.00003925,.0000274,0,0,.00000091,.00000091,.00000091,.00000091,.00000094,.00000096,.00000096,.00000095,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00381894,.00150685,.00238346,.00265048,.00052055,.00358904,.0034989,.00217691,.0021411,.00378083,.00507534,.00512329,.00523287,.00498629,.01115612,.01115612,.01115612,.01115612,.01115583,.01107498,.01086342,.01062306,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,LANDFILLS,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.04230106,.0269589,.03172114,.03260667,.03476389,.0285334,.03683478,.03680737,.03165669,.02854794,.0146574,.01487671,.04120548,.0410411,.03620676,.03620676,.03620676,.03620677,.03647835,.03674799,.03687205,.03702157,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,INCINERATORS,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0000249,0,.00002317,.00002327,.00002113,.00002113,.00002118,.00000476,.00001615,0,.00001806,0,0,0,.0000276,.0000276,.0000276,.0000276,.0000278,.00002788,.00002795,.0000279,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
