AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.12372746,1.15797261,1.95437327,.81479147,1.11148628,1.12348011,1.0608281,.87725225,.70393644,.79353614,.41902263,.28484931,.30260277,.67583562,.67630625,.68814187,.68814187,.68814186,.42158347,.32765622,.56542933,.54451423,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,COGENERATION,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.17267895,.06745206,,.06336752,,,,1.04756119,1.04179776,.97087669,.96018137,.04306849,.04306849,.0410411,.08703817,.08558612,.08558612,.08558611,.07958397,.08013972,.08058433,.08091777,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.95185165,.95035925,.26627,.7672126,.78918165,.81405695,1.87137542,.59028796,.52300243,.51180207,.65380556,1.39071314,1.30643026,1.30568481,.74744256,.74738995,.74734995,.74728943,.74805826,.74779856,.74795026,.78429737,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.64245709,.64240021,.60437031,.65578581,.63210853,.58842111,.38255059,.39734731,.34808257,.51223707,.44563379,.42570469,.43910446,.51824503,.47654235,.47751378,.56267542,.57648998,.58483931,.5737939,.56209998,.5676367,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.10396644,.87851714,.72477071,.9009732,.49037747,.62621027,.5907664,.53447575,.47621792,.48110668,.51489553,.58279346,.64081907,.5687512,.63174304,.63348861,.64110576,.64589402,.65627639,.66901568,.67185771,.67602611,v1.03_RF3084
SAN DIEGO,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.19211708,.19942765,.15426822,.0975318,.10337059,.08303727,.07610989,.07201776,.07098195,.07150083,.06868797,.06874301,.0683211,.0683211,.06832791,.05196899,.05196899,.05196899,.05197027,.05197068,.04045426,.04045391,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.43853194,.28898633,.37331578,.3744537,.00122491,.18206569,.41153966,.40673978,.35809709,.31490412,.20503238,.20375343,.16934248,.18164384,.19083355,.19083355,.19083355,.19083356,.19247934,.19323215,.1922247,.19158687,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,LANDFILLS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,171.51973321,153.35813468,155.9332854,156.77222226,170.11687727,182.7858425,170.7166423,166.16475916,180.19900762,193.93557078,178.60914419,179.7726093,192.51239876,193.19391263,206.06501809,206.89553109,207.57892647,208.17767373,209.72998567,210.97686765,211.84215013,212.27824978,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,INCINERATORS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00024816,.00019178,.00023096,.00023193,.00021035,.00021035,.00021097,.00004732,.00016093,.00010959,.00017866,.00010959,.00019178,.00013699,.00025852,.00025852,.00025852,.00025852,.00026039,.00026122,.00026176,.00026142,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0012346,.00186302,.00161526,.00095181,.00069303,.00069303,.00137229,.00067678,.00000053,,,,,,,,,,,,,,v1.03_RF3084
SAN DIEGO,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.21497263,.21814375,.22121049,.22375791,.22523461,.22574729,.22671111,.22909382,.23191339,.23391774,.23597743,.23876965,.24169594,.24420056,.24693631,.2489215,.25055501,.25198621,.25377378,.2543864,.2547822,.25415,v1.03_RF3084
