src_type,category,subcategory,year,co,nh3,nox,pm,pm10,pm2_5,rog,sox,tog
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,0.47569042,0.0,0.27411506,0.00816165,0.00806582,0.00803793,0.0019549,0.00038081,0.01056713
STATIONARY,FUEL COMBUSTION,COGENERATION,2000,1.08817536,0.0,1.77201915,0.19438631,0.19312379,0.19268643,0.03258876,0.0131781,0.35382738
STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),2000,0.00051938,0.0,0.00024428,4.999e-05,4.369e-05,3.838e-05,9.674e-05,5e-08,0.0001053
STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,2000,8.41069392,0.18279935,4.63055032,0.17599085,0.15425807,0.14498086,0.14702498,1.33056847,1.22314386
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,0.09069795,0.0,0.3159389,0.00863825,0.00779445,0.00764204,0.00831564,0.00133274,0.01558924
STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,2000,2.59031466,0.0,1.9013043,0.15266446,0.15151103,0.1511762,0.16551176,0.03633174,1.78217803
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,0.31938729,0.0,0.96089554,0.05273718,0.05270971,0.05031414,0.11868333,0.00799726,0.13660745
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,0.00094794,1.2302509,0.03644658,2.466e-05,2.274e-05,2.247e-05,0.08187855,0.00064932,0.11457535
STATIONARY,WASTE DISPOSAL,LANDFILLS,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.69380161,0.0,96.58565854
STATIONARY,WASTE DISPOSAL,INCINERATORS,2000,0.00638904,0.0,0.00601369,0.00013973,5.688e-05,5.247e-05,0.00028049,0.00041096,0.00174794
STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,2000,0.0,0.0,0.0,0.01090685,0.00764351,0.00457548,0.18866255,0.0,0.27033151
STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),2000,0.0,0.82953948,0.00462466,0.00036438,0.00024658,0.00016437,0.17642185,0.00046301,2.16646776
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.01781362,0.0,0.42760947
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,2000,0.0,0.0,0.0,0.0,0.0,0.0,3.24482071,0.0,10.98525483
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,2000,0.00372603,0.0,0.00120548,2.466e-05,1.415e-05,1.004e-05,4.80385719,2.74e-06,5.09501051
STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,2000,0.0,0.0,0.0,0.0,0.0,0.0,2.24496851,0.0,2.2512104
STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,2000,0.0,0.0,0.0,0.0,0.0,0.0,3.18733241,0.0,3.52407182
STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),2000,0.0,0.0,0.0,0.0,0.0,0.0,0.2149487,0.0,0.21726705
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,2000,2.406e-05,0.0,4.55e-06,0.0,0.0,0.0,0.03419817,8.72e-05,0.0578355
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,2000,0.0,0.00015,0.0,0.0007589,0.00046574,0.00041094,0.01249332,0.0,0.01410959
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,2000,0.0,0.0,0.0,0.0,0.0,0.0,3.25150271,0.0,15.98109872
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),2000,0.0,0.0,0.0,0.0,0.0,0.0,0.01271198,0.0,0.0144274
STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,2000,0.00606576,0.2644765,0.00054247,0.09650548,0.08568441,0.08309768,0.90772345,0.00402466,1.00602904
STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,2000,0.00016438,0.0,0.00065753,0.02227671,0.00787331,0.00159217,0.12469759,0.02390531,0.12529346
STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,2000,0.00641095,0.2511576,2.12269038,3.84651916,1.70960041,0.74295826,0.03929444,0.00516164,0.05155891
STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES,2000,0.00610686,0.0,0.01079727,0.30832545,0.21613962,0.13001974,0.01215935,4.932e-05,0.01432877
STATIONARY,INDUSTRIAL PROCESSES,WOOD AND PAPER,2000,0.00052877,0.0,0.00210958,0.00245898,0.00171472,0.0010321,7.058e-05,0.0,8.493e-05
STATIONARY,INDUSTRIAL PROCESSES,GLASS AND RELATED PRODUCTS,2000,0.0,0.0,0.0,0.00640548,0.00320594,0.00093136,0.0,0.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,ELECTRONICS,2000,4.932e-05,0.01925587,0.0002,0.06027397,0.04214141,0.02526223,0.69358838,0.0,0.86593147
STATIONARY,INDUSTRIAL PROCESSES,OTHER (INDUSTRIAL PROCESSES),2000,0.00601096,0.04538035,0.02425206,0.38494795,0.3248954,0.31140838,0.9593548,0.00012603,1.1517335
AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,2000,0.0,0.0,0.0,0.0,0.0,0.0,13.35196823,0.0,17.47376826
AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS,2000,0.0,0.0,0.0,0.0,0.0,0.0,6.20198552,0.0,6.73407397
AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS,2000,0.0,0.10237871,0.0,0.0,0.0,0.0,0.30062624,0.0,0.30211137
AREAWIDE,SOLVENT EVAPORATION,ASPHALT PAVING / ROOFING,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.44228686,0.0,0.55757792
AREAWIDE,MISCELLANEOUS PROCESSES,RESIDENTIAL FUEL COMBUSTION,2000,20.04258005,0.0,3.35287401,3.05251903,2.87247898,2.77581827,1.38051235,0.11247525,3.04618657
AREAWIDE,MISCELLANEOUS PROCESSES,FARMING OPERATIONS,2000,0.0,0.80441356,0.0,0.5137086,0.23338738,0.034979,0.52593773,0.0,6.57641572
AREAWIDE,MISCELLANEOUS PROCESSES,CONSTRUCTION AND DEMOLITION,2000,0.0,0.0,0.0,31.15013158,15.24175937,1.52324143,0.0,0.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,PAVED ROAD DUST,2000,0.0,0.0,0.0,11.86528314,5.42480745,0.81395841,0.0,0.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,UNPAVED ROAD DUST,2000,0.0,0.0,0.0,2.06126239,1.22500824,0.12243898,0.0,0.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,FUGITIVE WINDBLOWN DUST,2000,0.0,0.0,0.0,2.84754145,1.37825179,0.22381676,0.0,0.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,FIRES,2000,0.72055502,0.0,0.01735127,0.05122081,0.05020957,0.0469086,0.05232783,0.0,0.06080389
AREAWIDE,MISCELLANEOUS PROCESSES,MANAGED BURNING AND DISPOSAL,2000,0.23771142,2.74e-05,0.03254786,0.05103729,0.05047018,0.0488207,0.0321202,0.01048399,0.13256488
AREAWIDE,MISCELLANEOUS PROCESSES,COOKING,2000,0.0,0.0,0.0,0.65676278,0.65676278,0.65676278,0.10750091,0.0,0.26731246
AREAWIDE,MISCELLANEOUS PROCESSES,OTHER (MISCELLANEOUS PROCESSES),2000,0.09676157,2.56458497,0.00525575,0.11125985,0.0778819,0.04672914,0.2884033,0.0,0.41283038
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY PASSENGER (LDA),2000,164.08247145,1.62278147,23.559093,1.58697965,1.53197422,0.79127509,20.20542375,0.13942806,21.78345652
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 1 (LDT1),2000,43.57819157,0.21787077,5.66494651,0.23135971,0.22258009,0.12031075,4.51328623,0.02179694,4.84505516
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 2 (LDT2),2000,43.96905866,0.37932977,9.01065723,0.3599445,0.3483444,0.17072636,4.34558389,0.04477252,4.73312447
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM DUTY TRUCKS (MDV),2000,25.46596557,0.16252715,4.03226402,0.1597782,0.15476329,0.07632864,1.95180216,0.02099902,2.14202832
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 1 (LHDGT1),2000,8.40649295,0.02891658,1.03684132,0.065281,0.06347626,0.02953664,0.78513386,0.01050712,0.88615318
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 2 (LHDGT2),2000,1.85194968,0.00424565,0.19987947,0.01151138,0.01118815,0.00527926,0.1675088,0.00183838,0.18862227
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY GAS TRUCKS (MHDGT),2000,4.24455289,0.00436054,0.46817281,0.01862908,0.01818152,0.00837435,0.4363079,0.00330171,0.47394061
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY GAS TRUCKS (HHDGT),2000,1.4852735,0.00048431,0.24606582,0.00125489,0.00122676,0.00056535,0.07941109,0.00045789,0.08810442
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 1 (LHDDT1),2000,0.18098501,0.00561491,1.53054026,0.03743191,0.03699485,0.02521809,0.04440306,0.01111737,0.05054993
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 2 (LHDDT2),2000,0.07493365,0.0022319,0.60954812,0.01607037,0.01587442,0.0105855,0.01834466,0.00496471,0.02088418
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY DIESEL TRUCKS (MHDDT),2000,1.55592797,0.01687949,8.72409681,0.4923816,0.48831122,0.41897285,0.7319921,0.06953412,0.83331728
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY DIESEL TRUCKS (HHDDT),2000,4.69705888,0.02221786,19.40304909,0.8779407,0.87213551,0.78755524,1.62649402,0.14224675,1.85199098
MOBILE,ON-ROAD MOTOR VEHICLES,MOTORCYCLES (MCY),2000,5.37864235,0.0008154,0.19126292,0.00397088,0.00386495,0.00241262,0.9617986,0.00046804,1.01647395
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY DIESEL URBAN BUSES (UBD),2000,0.12207276,0.00203312,1.6098524,0.02145687,0.02127952,0.01619943,0.00234117,0.01417387,0.01591552
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY GAS URBAN BUSES (UBG),2000,0.00105782,1.137e-05,0.00031609,3.559e-05,3.489e-05,1.488e-05,7.394e-05,8.14e-06,8.886e-05
MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - GAS (SBG),2000,0.39410218,0.00020152,0.02428644,0.00621228,0.00608143,0.00270063,0.02579562,0.00011838,0.02867874
MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - DIESEL (SBD),2000,0.07161155,0.00059156,0.33602616,0.03368439,0.03324253,0.02268766,0.02730776,0.00265127,0.03108781
MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - GAS (OBG),2000,0.25900976,0.00042431,0.05037659,0.0016156,0.00157854,0.00070243,0.01927492,0.00028973,0.02168485
MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - MOTOR COACH - DIESEL (OBC),2000,0.04574222,0.00026236,0.22817213,0.00890112,0.0088303,0.00769636,0.01497902,0.00159503,0.01705248
MOBILE,ON-ROAD MOTOR VEHICLES,ALL OTHER BUSES - DIESEL (OBD),2000,0.06683853,0.00057249,0.29779185,0.0183411,0.01819303,0.01576512,0.02827939,0.00243966,0.03219394
MOBILE,ON-ROAD MOTOR VEHICLES,MOTOR HOMES (MH),2000,3.4183291,0.00319682,0.3558966,0.01629341,0.01594666,0.0079736,0.12187411,0.00302636,0.14029657
MOBILE,OTHER MOBILE SOURCES,AIRCRAFT,2000,5.53337658,0.0,1.23181975,0.07446667,0.07185258,0.06925298,0.62001229,0.11760031,0.64663508
MOBILE,OTHER MOBILE SOURCES,TRAINS,2000,0.13553701,0.0005644,1.35308915,0.03348608,0.0334844,0.03080565,0.04928982,0.12853472,0.0586762
MOBILE,OTHER MOBILE SOURCES,COMMERCIAL HARBOR CRAFT,2000,0.03657789,0.0,0.1271802,0.00715918,0.00715918,0.00684418,0.01142153,0.0,0.01359255
