src_type,category,subcategory,year,em_type,tons_per_day,population,TpDpCap
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,co,0.47569042,1685849.0,2.821666827811981e-07
STATIONARY,FUEL COMBUSTION,COGENERATION,2000,co,1.08817536,1685849.0,6.454761725397708e-07
STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),2000,co,0.00051938,1685849.0,3.080821591969387e-10
STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),2000,co,0.0,1685849.0,0.0
STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,2000,co,8.41069392,1685849.0,4.988996001421242e-06
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,co,0.09069795,1685849.0,5.37995692378143e-08
STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,2000,co,2.59031466,1685849.0,1.5365045505261741e-06
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,co,0.31938729,1685849.0,1.894518963442159e-07
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,co,0.00094794,1685849.0,5.622923523992955e-10
STATIONARY,WASTE DISPOSAL,LANDFILLS,2000,co,0.0,1685849.0,0.0
STATIONARY,WASTE DISPOSAL,INCINERATORS,2000,co,0.00638904,1685849.0,3.789805611297335e-09
STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,2000,co,0.0,1685849.0,0.0
STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),2000,co,0.0,1685849.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,2000,co,0.0,1685849.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,2000,co,0.0,1685849.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,2000,co,0.00372603,1685849.0,2.2101801525522157e-09
STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,2000,co,0.0,1685849.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,2000,co,0.0,1685849.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),2000,co,0.0,1685849.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,2000,co,2.406e-05,1685849.0,1.4271740826135674e-11
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,2000,co,0.0,1685849.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,2000,co,0.0,1685849.0,0.0
