AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.27411506,.21449314,.21345754,.27602465,.37681372,.33105203,.77904662,.59814795,1.01590964,.58876712,.47439728,.80000547,.58870137,.56980821,.49747717,.49206284,.42522984,.31899354,.32159544,.32430313,.32731134,.33170264,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,COGENERATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.77201915,1.55219173,1.42950138,.85979728,.96785479,.87286302,.90125204,.89847399,.88514518,.98825482,.80775612,.85280274,.83700272,.84225477,.91943119,.86032062,.56541696,.49939786,.50441801,.51025602,.51609942,.52238402,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00024428,.0002334,.00040808,.00039914,.00039071,.00038131,.00037618,.00097404,.00097041,.00096339,.0009577,.00095292,.00095189,.00095427,.00095932,.00095074,.00093461,.00093017,.00093326,.00093606,.00093955,.00094316,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,0,,,,,,,,,,,,,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.63055032,6.19490636,6.4038209,3.5062305,3.96169558,4.44243286,4.57854713,2.44057201,5.73986731,3.92626596,5.3207225,6.37249517,6.40872692,6.27998584,6.29972128,6.37780443,4.24280223,4.13540139,4.18596364,4.23767122,4.28685274,4.32993234,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.3159389,.15929508,.16102933,.16851425,.1258055,.12843129,.11546686,.15912053,.10865479,.15090312,.1246657,.0923854,.09752757,.11142871,.12139281,.10591057,.10305516,.09534995,.09511905,.09506767,.09479457,.09494686,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.9013043,1.34751272,1.47083842,1.77948539,1.74745685,1.84692374,1.74816559,1.60994796,1.34917729,1.36525406,1.31215395,1.21157697,1.24341863,1.06302613,1.00254066,1.02219968,1.07707662,.94093552,.96558341,.9836856,.98588874,.98906392,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.96089554,1.02846622,.75662105,.54259711,.68559785,.52566525,.47933622,.4982345,.45471081,.46813773,.42888464,.42679402,.42999748,.43109511,.43024115,.35046602,.34815782,.34786229,.34787367,.34789993,.28944896,.28947461,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03644658,.06868493,.06696713,.07430411,.04074521,.05984109,0,.09206027,.08919178,.06056986,.05864383,.05571781,.0608685,.07406029,.06296931,.07120308,.06515026,.06214075,.06276297,.06332646,.06395304,.06457525,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,LANDFILLS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00957808,0,.00033424,.00191781,.00186301,.00196712,.00209041,.00211507,.00197534,.00199195,.00206392,.00235389,.00258704,.00258389,.00258329,.00258014,.00257699,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,INCINERATORS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00601369,.00131506,.0012,.00185479,.002,.26461644,.1767233,.14846028,.18569589,.18704656,.19756986,.24405205,.19064108,.18143835,.27140073,.21339643,.1670736,.19413865,.19419577,.19438571,.19444336,.19449865,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00032109,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00462466,.00463014,.00462466,.00462466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00120548,.00079452,.00448767,.0038411,.00328493,.00284931,.00452603,.00530959,.00415068,.00413699,.00588767,.00519452,.00434247,.00440548,.00542981,.00439908,.00188549,.00131491,.00132836,.00134074,.00135436,.00136729,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00008767,.00008767,.00019726,.00005753,.00005753,0,.00001644,.00001644,.00001644,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00000455,.00000435,.00000429,.00000411,.00000396,.00000379,.00000369,.00000361,.00000353,.0000034,.00000329,.00000321,.00000318,.00000324,.00000331,.00000315,.00000286,.00000277,.0000027,.00000261,.00000253,.00000247,v1.03_RF3084
