AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00816165,.01079451,.01203012,.01384384,.06593699,.06184933,.25101917,.15794794,.18704111,.0920298,.08016522,.14064513,.07811839,.06732605,.115574,.08189591,.03644579,.02974608,.03010429,.03044791,.03083426,.03126427,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,COGENERATION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.19438631,.19339726,.19390137,.1636685,.16319178,.15582192,.16314795,.17050413,.16444931,.1546447,.15733452,.15885253,.15971525,.15245479,.13800154,.13755609,.07732306,.06714691,.0679063,.06870826,.06951055,.07037409,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00004999,.00004776,.00005255,.00005072,.00004899,.00004707,.00004602,.00005872,.00005798,.00005654,.00005537,.0000544,.00005419,.00005467,.00005313,.00005138,.00004808,.00004717,.00004645,.00004573,.00004506,.00004441,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,0,,,,,,,,,,,,,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.17599085,.17645115,.17762381,.18031414,.19250586,.19226197,.17814702,.13462384,.12407326,.13144943,.1311811,.11820665,.11914182,.12049784,.11857963,.11899932,.1218727,.12431372,.12543109,.12642909,.12744211,.12843556,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00863825,.00487935,.00498621,.00513963,.00447113,.00486576,.00396986,.00490274,.00378631,.00569788,.00994177,.00302549,.00297971,.00315503,.00337019,.00300907,.00259418,.00245671,.00247258,.00248235,.00239002,.00240851,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.15266446,.13278649,.1428671,.16585128,.16913424,.16650091,.16613137,.15379326,.15001531,.14651909,.14084564,.14482778,.1435081,.13112602,.1184539,.11870972,.12758665,.12379036,.12807515,.13139363,.13159009,.13157527,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05273718,.05359518,.03401171,.02302923,.02681306,.01906398,.01700841,.01743488,.01525887,.01532808,.01311938,.01297973,.01383304,.01378752,.01376551,.01040357,.01039384,.01033191,.0103337,.01033996,.00741907,.00742513,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00002466,.00010959,.00007671,.00007945,.00008493,.00013151,0,.00015342,.00002466,.00031963,.00009132,.0003105,.00005479,.00013151,.0000816,.00005654,.00008312,.00005179,.00005228,.00005272,.00005321,.0000537,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00154521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00013973,.00016438,.00023014,.00023836,.0002411,.07336164,.02814793,.01671233,.0197644,.02023928,.02053999,.02369251,.02220091,.02034797,.0196488,.00827851,.0110577,.01239645,.01238905,.01239299,.01238563,.01237823,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01090685,.01071233,.00891781,.00620275,.0082137,.00943288,.01020548,.00788494,.00796439,.01354248,.02067672,.01890502,.01437443,.00470685,.00911221,.0069964,.00764467,.0105463,.01066741,.01078854,.01091724,.01101566,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00036438,.00079452,.00068494,.00078904,.00087397,.00051507,.00119178,.00119178,.00028219,.00071233,.00014521,0,.00024983,.00029041,.00056082,.00044256,.00059252,.00094608,.00094608,.00094608,.00094608,.00094608,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00002466,0,.00012329,.00009315,.00009315,.00006027,.00009589,.00011781,.00008493,.00008829,.00021001,.00017934,.00014796,.00009863,.0001177,.00009562,.00004185,.00002562,.00002587,.00002609,.00002634,.00002659,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00000274,.00000274,.00000548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0007589,0,.0007589,.00075068,0,0,0,.00784932,0,0,.00547945,.00547945,.0062879,.00547945,.00547995,.00547995,.00547995,.00000002,.00000002,.00000002,.00000002,.00000002,v1.03_RF3084
SANTA CLARA,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
