AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00806582,.01065773,.01192484,.01348475,.0653934,.06145136,.24935773,.15686226,.18575897,.09134107,.07956713,.13974247,.07751235,.06675835,.11468971,.08132715,.03617445,.02952565,.02988374,.03022746,.0306136,.03104108,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,COGENERATION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.19312379,.19222312,.19269536,.16265813,.1622105,.15488254,.16216461,.16947829,.16346003,.15370642,.1563781,.15788492,.15874246,.15154256,.13717606,.13673317,.07686094,.06674571,.06750047,.06829763,.06909511,.06995346,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00004369,.00004174,.0000464,.00004499,.00004329,.00004161,.00004091,.00005374,.00005309,.00005183,.00005081,.00004996,.00004978,.0000502,.00004854,.00004701,.00004413,.00004333,.00004272,.00004211,.00004155,.000041,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,0,,,,,,,,,,,,,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.15425807,.15776842,.15893887,.16210471,.1743821,.16983274,.15590765,.12821519,.12316134,.12951814,.13027325,.1173283,.11831626,.119625,.11779944,.1182371,.12111356,.12355922,.12467132,.12566347,.12667063,.12765784,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00779445,.00419719,.00434501,.0043698,.00383143,.00426857,.00340219,.0043339,.0032511,.00510653,.00912905,.00265455,.00261612,.00286998,.00308445,.00275333,.00243761,.00230012,.00231606,.0023259,.00225883,.00227732,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.15151103,.13178613,.14186917,.1644661,.16791451,.1652609,.16489451,.15273038,.14889377,.14543097,.13990261,.14377334,.14253093,.13018384,.11763818,.11792657,.12678924,.12300167,.12726335,.13056543,.13076451,.13075036,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05270971,.05354694,.03398103,.02300844,.02678893,.01903947,.01699273,.01738031,.01524482,.01530956,.01310375,.01296746,.01381289,.0137718,.01375257,.0103936,.01038413,.0103224,.01032418,.01033045,.00741231,.00741837,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00002274,.00008219,.00003836,.00002739,.00002548,.00004137,0,.00004603,.0000074,.00009589,.0000274,.00009315,.00001644,.00013151,.00008136,.00005637,.00008287,.00005163,.00005212,.00005256,.00005305,.00005354,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00075607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
