AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00803793,.01049341,.01183642,.01340228,.06515145,.06124943,.24869519,.15640282,.18524571,.0910139,.07926304,.13933557,.0772304,.0664804,.11433573,.08111135,.03606831,.02943944,.02979804,.03014242,.03052911,.03095573,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,COGENERATION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.19268643,.19183293,.19229098,.1623303,.16188329,.15456916,.16183659,.1691362,.16313014,.15339308,.15605858,.15756158,.1584174,.15123393,.13690092,.13645885,.07670691,.06661197,.06736519,.06816073,.06895662,.06981325,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00003838,.00003666,.0000412,.00004017,.00003847,.00003699,.0000366,.00004953,.00004896,.00004786,.00004696,.00004621,.00004605,.00004642,.00004467,.00004333,.00004079,.00004009,.00003958,.00003906,.00003858,.00003812,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,0,,,,,,,,,,,,,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.14498086,.14972869,.15089447,.15415818,.1663967,.16056469,.14669869,.12559349,.12278291,.12873021,.12994769,.11698804,.11800081,.11929753,.11752024,.11796963,.12084941,.12329926,.12440961,.12540049,.12640598,.12739108,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00764204,.00407219,.00420352,.00424479,.00369054,.00413371,.00327712,.00420737,.00313703,.004959,.00889196,.00258615,.0025497,.00282498,.00303901,.00271789,.00242672,.00228922,.0023052,.00231508,.00224804,.00226653,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.1511762,.13139998,.1415203,.16410995,.16748756,.16482527,.16446025,.15235963,.14849867,.14504826,.13957434,.14340163,.14218948,.12982862,.11732053,.11762901,.12648945,.12270965,.12696404,.13026144,.13046228,.1304484,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05031414,.05107085,.0324098,.02194459,.02555016,.01817055,.01620754,.01663743,.01454037,.01460902,.01250379,.01236875,.0132114,.01315963,.01314269,.00993818,.00992886,.00986725,.00986899,.00987516,.00709203,.00709799,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00002247,.0000548,.00003288,.00002739,.00001699,.00002849,0,.00003068,.00000493,.00006393,.00001826,.0000621,.00001096,.00012329,.00007565,.00005242,.00007706,.00004802,.00004847,.00004888,.00004933,.00004979,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00011342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00005247,.0000274,.00006038,.00007884,.00006916,.07320284,.02801763,.0166149,.01966697,.01984951,.02043603,.02325821,.02176731,.02033701,.01952812,.00826409,.01099148,.01238234,.01237474,.01237847,.01237089,.01236332,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00457548,.0044671,.0017902,.00121425,.00164937,.00197904,.0020411,.001577,.00159287,.00271571,.00413535,.00415926,.00287488,.0043561,.00842879,.00647168,.00707132,.00975533,.00986735,.0099794,.01009845,.01018949,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00016437,.00035615,.00028065,.0004657,.00032194,.00002519,.00030478,.00030478,.00027288,.00068882,.00014042,0,.00024159,.00026848,.00051876,.00040937,.00054808,.00087512,.00087512,.00087512,.00087512,.00087512,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00001004,0,.00007005,.00005669,.00005069,.00002453,.00004044,.00004936,.0000374,.00003735,.00008547,.00007441,.00006022,.00009842,.00011682,.00009474,.00004097,.00002474,.00002498,.00002519,.00002543,.00002567,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.00000112,.00000112,.00000224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00041094,0,.00042119,.00041092,0,0,0,.00435637,0,0,.00304109,.00304109,.00348978,.00230137,.00230158,.00230158,.00230158,.00000001,.00000001,.00000001,.00000001,.00000001,v1.03_RF3084
SANTA CLARA,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
SANTA CLARA,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
