AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0019549,.00619174,.0042346,.0144286,.03341606,.03718076,.04411636,.02259299,.18626041,.12816195,.07327399,.09592383,.07337391,.06934746,.04169534,.05713809,.03106212,.02492326,.02521393,.02543046,.02574061,.02610637,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,COGENERATION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03258876,.03353786,.03385672,.02752623,.0278543,.05920123,.04194817,.04097417,.06433938,.06114858,.0658785,.08639102,.08253819,.09445726,.12273309,.45509786,.09070437,.06025834,.06085732,.0615604,.06226412,.06302094,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00009674,.00009243,.00009158,.00008806,.00008471,.00008099,.00008207,.00008939,.00009337,.0000906,.00009919,.00009731,.0000969,.00009784,.00010041,.00010522,.00009063,.00008886,.00008743,.00008607,.00008476,.00008351,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,0,,,,,,,,,,,,,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.14702498,.14393816,.14869782,.11199911,.12269955,.12830079,.11651577,.09510578,.11044823,.12696651,.12827852,.10972216,.09777818,.10027925,.10791554,.16629815,.13974111,.13659308,.13715135,.13754165,.13798394,.13906418,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00831564,.00683116,.00686334,.00694107,.00636981,.00638588,.00578112,.00589067,.00549025,.0067109,.00651932,.00420019,.00393235,.00423673,.00452675,.00525719,.00336295,.00314808,.00304852,.00300158,.00295445,.0029164,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.16551176,.08923117,.0848158,.04630414,.16838643,.17550815,.04515243,.12285507,.17041757,.19032147,.18152689,.13289447,.14891585,.08975484,.10264324,.17156233,.21202604,.18725566,.1894675,.19150534,.19359026,.19589283,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.11868333,.12345095,.0929703,.05832759,.06264427,.03852197,.03526443,.03469962,.03269051,.03323095,.02979329,.02965869,.03037014,.03036942,.03038003,.0232248,.0226483,.022592,.02259366,.02259919,.01722878,.01723428,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.08187855,.07194137,.05588306,.0502164,.57668503,.05186785,.05359253,.05055957,.05055433,.04926234,.0488655,.04758585,.0474009,.0568161,.06332968,.0596421,.0570173,.05095532,.05151305,.05202293,.05258517,.05309984,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,LANDFILLS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.69380161,1.38467151,.69602298,.74638032,.7363376,.21017954,.21097088,.16818843,.25624764,.25084572,.26279714,.27978182,.28296083,.26425056,.24926034,.65784597,.27807136,.32794426,.32754117,.32746163,.32705852,.3266554,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,INCINERATORS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00028049,.00002778,.00001953,.00002102,.00002223,1.1805223,.54358338,.29285679,.40151488,.4094847,.433502,.4864417,.47985861,.42679402,.82914666,.01717816,.54874595,.69308803,.69240364,.69240947,.69172496,.6910404,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.18866255,.17334307,.10718916,.12117615,.10233609,.12019406,.03480765,.02800332,.06108638,.05680116,.01490983,.05235287,.0156314,.01583239,.01248103,.01691641,.00799886,.02561639,.02599344,.0263705,.02677113,.02707748,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.17642185,.1813584,.18539561,.18987013,.19092584,.19398773,.19605007,.19751709,.19710335,.20915,.22787997,.22686939,.22863723,.23055412,.23240714,.23431453,.23675025,.23817735,.24016819,.24207092,.24397367,.24610327,v1.03_RF3084
SANTA CLARA,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01781362,.01137332,.01167173,.11342735,.09328126,.11590007,.00606845,.06669302,.11474777,.01300496,.06774603,.00797024,.1117624,.1130678,.1150264,.11421569,.11472403,.12008267,.12072244,.12136222,.12200197,.12264796,v1.03_RF3084
