AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00038081,.00221917,.00113425,.00336166,.00872878,.00827671,.03454794,.02580549,.03660548,.02672329,.01523836,.02019452,.01862466,.02493425,.0195565,.02238731,.01994862,.01588585,.01612302,.01635209,.0166029,.01684381,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,COGENERATION,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0131781,.01449315,.01353151,.00778631,.00807123,.00690138,.00730686,.00750686,.00723836,.00800273,.00776165,.00710685,.00791508,.00680823,.00617911,.00832641,.00394183,.00346702,.00349022,.00352838,.00356666,.00360773,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00000005,.00000005,.00001923,.00001922,.00001922,.00001922,.00001922,.00002196,.00002196,.00002196,.00002196,.00002195,.00002195,.00002196,.00002389,.00002388,.00002388,.00002388,.0000241,.00002434,.00002458,.00002483,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,.00002466,,,,,,,,,,,,,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.33056847,1.54314928,1.54842205,.42708376,.43272352,.86263594,.85925929,.88685386,.50916209,.66075178,1.34454962,2.54709404,2.54651978,2.49438928,2.33624824,2.89294473,3.57086616,3.82311594,3.87940132,3.93907881,3.99529756,4.03749043,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00133274,.00065602,.00064507,.00066973,.00049986,.00061767,.00048342,.00058905,.00039179,.00078904,.00062466,.00032452,.00035739,.00042588,.00046175,.00062932,.00066239,.00063671,.00064012,.00064241,.00064438,.00064799,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03633174,.03715743,.04697467,.05068577,.05814885,.05712148,.05785499,.05165586,.03852456,.0452111,.04244792,.04138399,.04555519,.02727439,.03407447,.04209238,.0449313,.04306891,.04383807,.04452564,.04494779,.04537101,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00799726,.00156164,.00003836,.00000548,.00000274,.00038904,.0000274,.00064658,.00001096,0,0,0,.00071781,.00063562,.00065762,.00063938,.00063353,.00057304,.00057444,.00057954,.00058331,.00058823,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00064932,.00068493,.00069589,.00005205,.0000274,.00013699,0,.01317808,.01360548,.0115863,.01009315,.01026849,.01109315,.01367945,.0114643,.01449447,.01247465,.01332757,.01346825,.01359636,.01373892,.01387958,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,LANDFILLS,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00313151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
