AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01056713,.01457535,.0186411,.1042274,.25753151,.38079999,.35684934,.14026029,1.89657267,1.30055895,.71197268,.99508496,.71331512,.61790139,.36225417,.34313828,.27357069,.21663473,.21965395,.22255547,.22585665,.22910505,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,COGENERATION,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.35382738,.34473974,.34904384,.29959177,.30367945,.64550411,.45673972,.44688766,.70245753,.66310136,.71373423,.93695346,.89479999,1.03008768,1.31228007,1.18123006,.96903369,.64473789,.65127143,.65881903,.66637332,.67449844,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0001053,.00010061,.00010462,.00010077,.00009713,.00009309,.00009087,.00011069,.00011734,.00011432,.0001283,.00012624,.0001258,.00012683,.0001267,.000123,.00011605,.00011413,.00011274,.00011141,.00011016,.00010896,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,0,,,,,,,,,,,,,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.22314386,1.05855637,1.09654307,.39785263,.48453261,.55632873,.52930294,.29163984,.42638663,.62884394,.63983273,.4233201,.25227209,.25613645,.35063061,.3936527,.41679602,.33334777,.33541071,.33718127,.33899806,.34140214,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01558924,.0118824,.01199473,.0121372,.01095306,.011149,.009942,.0104111,.00963561,.01269396,.01244588,.00761226,.00748997,.00823653,.00873051,.00771335,.00679871,.00634083,.00618515,.00611363,.00604054,.00598692,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.78217803,.83586295,.80834526,.22177537,1.6128578,1.70360546,.28814804,1.05319184,1.65763835,1.90276729,1.84392887,1.23530967,1.48254527,.86015894,.97537029,2.07641553,2.14664955,1.92219026,1.9446145,1.9671128,1.98958031,2.01357422,v1.03_RF3084
SANTA CLARA,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.13660745,.15600927,.10585315,.06639452,.07130845,.04387483,.04014456,.03959262,.03721249,.03783955,.03392347,.03376219,.04017224,.03949844,.03965726,.03075245,.0306773,.03014519,.03015775,.03020343,.02411946,.0241638,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.11457535,.10046576,.09875891,.08877534,1.01956845,.09165754,.09475342,.08933973,.0894767,.08764931,.08680549,.08453698,.0841315,.1039726,.09229845,.10010834,.08312013,.07414179,.07496952,.0757277,.07656445,.07733204,v1.03_RF3084
SANTA CLARA,STATIONARY,WASTE DISPOSAL,LANDFILLS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,96.58565854,107.33887635,105.45802706,113.08541422,111.56630352,31.84538466,31.96528516,25.48309655,38.82539917,38.00692748,39.81774859,42.3911845,42.87285267,40.03796426,37.76671909,35.89541431,42.13202469,49.68852417,49.62744825,49.61539795,49.55432189,49.49324205,v1.03_RF3084
