src_type,category,subcategory,year,co,nh3,nox,pm,pm10,pm2_5,rog,sox,tog
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIONARY,FUEL COMBUSTION,COGENERATION,2000,0.00077199,0.0,0.00283064,0.0,0.0,0.0,0.0,0.0,0.0
STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),2000,0.00600585,0.0,0.04362578,7.68e-06,7.67e-06,7.65e-06,0.00160705,1.1e-07,0.01761515
STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,2000,0.05507276,0.0,0.33832294,0.02060233,0.01676443,0.01323676,0.00951675,0.10508053,0.01321613
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,0.17800326,0.0,0.52852093,0.02842139,0.0258019,0.02542966,0.03495569,0.00255776,0.06210993
STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,2000,0.25253427,0.0,0.67001909,0.02582055,0.02542569,0.02523963,0.02671976,0.07131136,0.03455542
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,0.0,0.00071793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIONARY,WASTE DISPOSAL,LANDFILLS,2000,0.0,0.02730861,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIONARY,WASTE DISPOSAL,INCINERATORS,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),2000,0.0,0.09703365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0026307,0.0,0.01490729
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,2000,0.0,0.0,0.0,0.00013699,0.00013699,0.00013699,0.15195635,0.0,0.19707459
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,2000,0.0,0.0,0.0,0.0030685,0.00295892,0.00284934,0.13835295,0.0,0.1498446
STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.01900488,0.0,0.02138613
STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),2000,0.0,0.0,0.0,0.0,0.0,0.0,0.12694734,0.0,0.12694734
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0041728,0.0,0.01398765
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.10880251,0.0,0.10896434
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,2000,0.0,0.0,0.0,0.15016439,0.04359301,0.00148579,0.00013652,0.0,0.00013652
STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,2000,0.0869863,0.0,0.04575343,0.93408504,0.47185249,0.19256457,0.02983562,0.00164384,0.02983562
STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES,2000,0.0,0.0,0.0,0.00041096,0.00024658,0.00016438,0.0,0.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,WOOD AND PAPER,2000,0.0,0.0,0.0,0.33361641,0.15807533,0.11828181,0.0,0.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,OTHER (INDUSTRIAL PROCESSES),2000,0.0,0.0,0.0,0.10789042,0.03128823,0.00106811,0.00016439,0.0,0.00021918
AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.4761182,0.0,0.62358547
AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.24359573,0.0,0.26485425
AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS,2000,0.0,0.48158762,0.0,0.0,0.0,0.0,0.32019807,0.0,0.32023965
AREAWIDE,SOLVENT EVAPORATION,ASPHALT PAVING / ROOFING,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.54533785,0.0,0.54533785
AREAWIDE,MISCELLANEOUS PROCESSES,RESIDENTIAL FUEL COMBUSTION,2000,4.60466184,0.03692245,0.17864099,0.67184444,0.6287145,0.60556001,0.84394899,0.02303291,1.85662579
AREAWIDE,MISCELLANEOUS PROCESSES,FARMING OPERATIONS,2000,0.0,0.82415115,0.0,2.50827391,1.1401318,0.17051669,0.43183205,0.0,5.39833403
AREAWIDE,MISCELLANEOUS PROCESSES,CONSTRUCTION AND DEMOLITION,2000,0.0,0.0,0.0,0.63469839,0.31055792,0.03103675,0.0,0.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,PAVED ROAD DUST,2000,0.0,0.0,0.0,0.88190721,0.40320798,0.06049884,0.0,0.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,UNPAVED ROAD DUST,2000,0.0,0.0,0.0,2.25286336,1.33887669,0.13382008,0.0,0.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,FUGITIVE WINDBLOWN DUST,2000,0.0,0.0,0.0,0.30481785,0.14450066,0.02395868,0.0,0.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,FIRES,2000,0.01040447,0.0,0.00029774,0.00118007,0.00115793,0.00108887,0.00102025,0.0,0.00118551
AREAWIDE,MISCELLANEOUS PROCESSES,MANAGED BURNING AND DISPOSAL,2000,9.83283034,0.05369863,0.01931804,1.17461521,1.1737082,1.17107011,0.72386927,0.00235586,1.29282568
AREAWIDE,MISCELLANEOUS PROCESSES,COOKING,2000,0.0,0.0,0.0,0.03150168,0.03150168,0.03150168,0.00503661,0.0,0.0143903
AREAWIDE,MISCELLANEOUS PROCESSES,OTHER (MISCELLANEOUS PROCESSES),2000,0.0,0.092042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY PASSENGER (LDA),2000,6.8681878,0.05128349,0.88645413,0.05218462,0.05024573,0.02693999,0.81621087,0.00455618,0.87805567
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 1 (LDT1),2000,3.7839198,0.01162781,0.42780056,0.01438659,0.01380864,0.00793505,0.40132757,0.00132231,0.42897523
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 2 (LDT2),2000,3.53418178,0.02066361,0.62445048,0.02051726,0.01975723,0.01030743,0.3428383,0.0024745,0.37208319
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM DUTY TRUCKS (MDV),2000,2.12914926,0.00956055,0.28546112,0.01010668,0.00977147,0.00522111,0.16060911,0.00131665,0.1755678
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 1 (LHDGT1),2000,0.7125061,0.00146029,0.07749288,0.00360869,0.00349933,0.00169882,0.06878201,0.00056087,0.07702867
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 2 (LHDGT2),2000,0.12554467,0.00013679,0.01109738,0.00045107,0.00043717,0.00021793,0.01162931,6.925e-05,0.01301305
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY GAS TRUCKS (MHDGT),2000,0.49189627,0.00032577,0.04607688,0.00162939,0.00158863,0.00075799,0.05326511,0.00028557,0.05734273
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY GAS TRUCKS (HHDGT),2000,0.39373282,3.633e-05,0.03632626,0.00016995,0.00016568,8.546e-05,0.01779745,6.084e-05,0.01939006
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 1 (LHDDT1),2000,0.03571926,0.00110667,0.30907012,0.00713347,0.00704883,0.00473808,0.00876982,0.00218222,0.00998385
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 2 (LHDDT2),2000,0.00482988,0.00014666,0.04044609,0.00104492,0.00103211,0.00068499,0.00117851,0.00032491,0.00134163
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY DIESEL TRUCKS (MHDDT),2000,0.08174266,0.00062333,0.33249655,0.02449432,0.02430605,0.02147667,0.03744227,0.00261771,0.04262526
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY DIESEL TRUCKS (HHDDT),2000,0.12409526,0.00059991,0.51895625,0.02299332,0.02284138,0.02063354,0.03932158,0.00388862,0.04476467
MOBILE,ON-ROAD MOTOR VEHICLES,MOTORCYCLES (MCY),2000,0.22836749,3.296e-05,0.00820219,0.0001975,0.0001918,0.00013021,0.04904614,1.949e-05,0.05136976
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY DIESEL URBAN BUSES (UBD),2000,0.0009515,2.71e-05,0.0175967,0.00027283,0.00026973,0.00018601,2.48e-05,0.0001503,0.00016877
MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY DUTY GAS URBAN BUSES (UBG),2000,0.00297765,1.364e-05,0.00069883,3.66e-05,3.541e-05,1.761e-05,0.00025167,5.32e-06,0.00029603
MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - GAS (SBG),2000,0.01940836,1.515e-05,0.0014665,0.00074582,0.00073006,0.00032819,0.0021097,1.333e-05,0.00230823
MOBILE,ON-ROAD MOTOR VEHICLES,SCHOOL BUSES - DIESEL (SBD),2000,0.00489326,4.049e-05,0.02315294,0.00230321,0.00227299,0.00155091,0.00186566,0.0001814,0.00212391
MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - GAS (OBG),2000,0.01998459,1.608e-05,0.00204625,8.066e-05,7.882e-05,3.609e-05,0.00180435,1.447e-05,0.00198546
MOBILE,ON-ROAD MOTOR VEHICLES,OTHER BUSES - MOTOR COACH - DIESEL (OBC),2000,0.00265145,1.528e-05,0.01337001,0.00051604,0.00051193,0.00044592,0.00086816,9.283e-05,0.00098833
MOBILE,ON-ROAD MOTOR VEHICLES,ALL OTHER BUSES - DIESEL (OBD),2000,0.00610096,3.728e-05,0.02037374,0.0016487,0.00163634,0.00145869,0.00260462,0.00016291,0.00296514
MOBILE,ON-ROAD MOTOR VEHICLES,MOTOR HOMES (MH),2000,0.34360229,0.00019106,0.02799543,0.00116051,0.0011353,0.00058246,0.01278275,0.00020691,0.01448894
MOBILE,OTHER MOBILE SOURCES,AIRCRAFT,2000,2.58912399,0.0,0.38804019,0.04257199,0.04155026,0.04116711,0.79490463,0.05457087,0.88721605
MOBILE,OTHER MOBILE SOURCES,TRAINS,2000,0.06813252,0.00021465,0.62897001,0.01587261,0.01586327,0.01459421,0.03080272,0.0532724,0.03665797
MOBILE,OTHER MOBILE SOURCES,RECREATIONAL BOATS,2000,0.95201624,0.00010437,0.04740309,0.02674585,0.02407129,0.01818716,0.46942031,0.00012008,0.5084328
MOBILE,OTHER MOBILE SOURCES,OFF-ROAD RECREATIONAL VEHICLES,2000,2.71251947,0.00029778,0.01320246,0.01545751,0.01391172,0.01051109,1.25755939,0.00227927,1.36458856
MOBILE,OTHER MOBILE SOURCES,OFF-ROAD EQUIPMENT,2000,3.71305952,0.00025304,0.16886309,0.01478001,0.01387367,0.0114353,0.52152385,0.00067675,0.56872894
MOBILE,OTHER MOBILE SOURCES,OFF-ROAD EQUIPMENT (PERP),2000,0.0027007,2.75e-06,0.0055351,0.00025332,0.00025332,0.00023305,0.00050594,2.862e-05,0.00060212
MOBILE,OTHER MOBILE SOURCES,FARM EQUIPMENT,2000,1.37611437,0.00015867,1.69728045,0.10059933,0.10050069,0.09231473,0.31725409,0.00148626,0.37041659
