AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,.00000134,.00000263,.17328335,.15121185,.17666566,.27822591,.42605686,.39473453,.31443834,.41130188,.38846797,.37857595,.37857616,.37858415,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,COGENERATION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00077199,.00083081,.0008841,.00097573,.00097887,.00096725,.00099067,.00099454,.00107272,.00104045,.00104469,.00106092,.00103824,.00101353,.00130872,.00130706,.0013279,.00136551,.00131112,.00131333,.00131591,.00131812,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00600585,.00598729,.00039245,.0003772,.0003628,.00034679,.00033802,.00032971,.00032349,.00031151,.0003018,.00029367,.0002919,.00029597,.00030356,.00028891,.0002614,.00025381,.00024646,.00023931,.00023236,.00022562,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05507276,.05392671,.14117785,.14051855,.142381,.1408303,.0071081,.00635099,.03219683,.03050289,.03426455,.02896575,.02312355,.04095009,.01874913,.02292223,.02351428,.04454487,.0447397,.04486486,.04492787,.04499507,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.17800326,.16430463,.16552875,.16552875,.16253795,.15791936,.13001084,.12547624,.13362272,.12090428,.11749332,.09534331,.094523,.09406763,.09305524,.09076528,.08409413,.08241186,.08189297,.08161887,.08145821,.08127316,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.25253427,.22972256,.10943549,.14853595,.18815287,.15909733,.12843661,.0937505,.12291291,.09866657,.11628628,.10882726,.11400401,.10926596,.1267052,.10994417,.14538119,.15982196,.17121587,.17928405,.18524402,.19244602,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,,,.00000281,.00000923,.00000243,.00001221,.00001288,.00009468,.00009843,.00009963,.00008387,.00008273,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,LANDFILLS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,.00573491,.00521016,.00660694,.00962837,.01019697,.01007715,.01022233,.00503952,.00539586,.01235455,.01251096,.01269904,.01287992,.01304497,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,INCINERATORS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,0,0,,,,,,,,,,,v1.03_RF3084
