src_type,category,subcategory,year,em_type,tons_per_day,population,TpDpCap
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,co,0.0,60395.0,0.0
STATIONARY,FUEL COMBUSTION,COGENERATION,2000,co,0.00077199,60395.0,1.2782349532246047e-08
STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),2000,co,0.00600585,60395.0,9.944283467174436e-08
STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,2000,co,0.05507276,60395.0,9.118761486878052e-07
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,co,0.17800326,60395.0,2.9473178243232053e-06
STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,2000,co,0.25253427,60395.0,4.181377100753374e-06
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,co,0.0,60395.0,0.0
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,co,0.0,60395.0,0.0
STATIONARY,WASTE DISPOSAL,LANDFILLS,2000,co,0.0,60395.0,0.0
STATIONARY,WASTE DISPOSAL,INCINERATORS,2000,co,0.0,60395.0,0.0
STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,2000,co,0.0,60395.0,0.0
STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),2000,co,0.0,60395.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,2000,co,0.0,60395.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,2000,co,0.0,60395.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,2000,co,0.0,60395.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,2000,co,0.0,60395.0,0.0
STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),2000,co,0.0,60395.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,2000,co,0.0,60395.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,2000,co,0.0,60395.0,0.0
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),2000,co,0.0,60395.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,2000,co,0.0,60395.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,2000,co,0.0,60395.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,2000,co,0.0869863,60395.0,1.440289759086017e-06
STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES,2000,co,0.0,60395.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,WOOD AND PAPER,2000,co,0.0,60395.0,0.0
STATIONARY,INDUSTRIAL PROCESSES,OTHER (INDUSTRIAL PROCESSES),2000,co,0.0,60395.0,0.0
AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,2000,co,0.0,60395.0,0.0
AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS,2000,co,0.0,60395.0,0.0
AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS,2000,co,0.0,60395.0,0.0
AREAWIDE,SOLVENT EVAPORATION,ASPHALT PAVING / ROOFING,2000,co,0.0,60395.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,RESIDENTIAL FUEL COMBUSTION,2000,co,4.60466184,60395.0,7.624243463862904e-05
AREAWIDE,MISCELLANEOUS PROCESSES,FARMING OPERATIONS,2000,co,0.0,60395.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,CONSTRUCTION AND DEMOLITION,2000,co,0.0,60395.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,PAVED ROAD DUST,2000,co,0.0,60395.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,UNPAVED ROAD DUST,2000,co,0.0,60395.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,FUGITIVE WINDBLOWN DUST,2000,co,0.0,60395.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,FIRES,2000,co,0.01040447,60395.0,1.722736981538207e-07
AREAWIDE,MISCELLANEOUS PROCESSES,MANAGED BURNING AND DISPOSAL,2000,co,9.83283034,60395.0,0.00016280868184452354
AREAWIDE,MISCELLANEOUS PROCESSES,COOKING,2000,co,0.0,60395.0,0.0
AREAWIDE,MISCELLANEOUS PROCESSES,OTHER (MISCELLANEOUS PROCESSES),2000,co,0.0,60395.0,0.0
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY PASSENGER (LDA),2000,co,6.8681878,60395.0,0.00011372113254408478
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 1 (LDT1),2000,co,3.7839198,60395.0,6.265286530341916e-05
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 2 (LDT2),2000,co,3.53418178,60395.0,5.8517787565195794e-05
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM DUTY TRUCKS (MDV),2000,co,2.12914926,60395.0,3.525373391837073e-05
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 1 (LHDGT1),2000,co,0.7125061,60395.0,1.1797435218147199e-05
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 2 (LHDGT2),2000,co,0.12554467,60395.0,2.078726219057869e-06
MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY GAS TRUCKS (MHDGT),2000,co,0.49189627,60395.0,8.14465220630847e-06
