AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,COGENERATION,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00071793,.00073093,.00074654,.0007611,.00077642,.00080572,.00082364,.00083558,.00084987,.00085432,.00086087,.00086658,.00087048,.00087243,.00087823,.00088589,.00089543,.00090938,.00091742,.00092887,.0009411,.00092961,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,LANDFILLS,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02730861,.02780287,.02839671,.02895072,.02953325,.03064806,.03132971,.0317837,.0323273,.03249658,.03274552,.03296278,.03311124,.03318547,.0334059,.03369739,.0340604,.03459087,.03489684,.03533227,.03579757,.03536033,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,INCINERATORS,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,0,0,,,,,,,,,,,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,0,,,,,,,,,,,,,,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.09703365,.09878989,.10089994,.10286847,.10493832,.1088995,.11132156,.11293466,.1148662,.11546769,.11635225,.11712421,.11765173,.11791549,.11869872,.11973445,.12102429,.12290918,.12399637,.12554353,.12719685,.12564324,v1.03_RF3084
YUBA,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
