AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,.00000984,.00001937,.02222735,.01942426,.0226666,.03570576,.05462757,.05061143,.05232877,.05273584,.04980815,.04853982,.04853985,.04854088,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,COGENERATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00283064,.00304631,.00324169,.00357768,.00358918,.00354659,.00363245,.00364664,.00393329,.00381498,.00383053,.00389002,.00380687,.00371628,.00479864,.00479256,.00486895,.00500687,.00480743,.00481554,.00482501,.00483312,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.04362578,.04361316,.00026677,.0002564,.00024662,.00023573,.00022977,.00022412,.00021989,.00021175,.00020514,.00019962,.00019842,.00020118,.00020635,.00019639,.00017767,.00017253,.00016753,.00016267,.00015795,.00015337,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.33832294,.28976583,.31099145,.31258158,.33250069,.3097658,.07230593,.0618948,.08677092,.08263705,.07593425,.07201656,.0691347,.07192226,.06908108,.07117135,.07126588,.08585356,.08811886,.08860401,.08872118,.08903755,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.52852093,.46249353,.46768188,.46768188,.45928816,.4461343,.33841496,.32301954,.32345459,.29825757,.2845517,.20629059,.19886663,.19433483,.18864422,.15013037,.10548046,.09621922,.0909069,.08689745,.08313801,.07916402,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.67001909,.65513899,.29757892,.30226277,.31224661,.30671074,.29764473,.11098089,.15197595,.11913972,.12219071,.11933188,.12227693,.11967465,.10691415,.11245534,.12053117,.15706911,.16560646,.16843952,.16752051,.16632811,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,,,.00001952,.00006408,.00001689,.00008475,.00008942,.00029971,.00031161,.0003154,.00027019,.00026652,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,LANDFILLS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,.00000748,.0000068,.00000862,.00001256,.0000133,.00001314,.00001333,.00141326,.00151319,.00411819,.00417032,.00423301,.00429331,.00434832,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,INCINERATORS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,0,0,,,,,,,,,,,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,0,,,,,,,,,,,,,,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
