AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,.00000028,.00000055,.00447142,.0039026,.00455883,.00717971,.01099312,.01018492,.01110774,.01061243,.01002327,.00976804,.00976804,.00976825,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,COGENERATION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00000768,.00000733,.00000723,.00000695,.00000669,.00000638,.00000623,.00000608,.00000596,.00000573,.00000556,.00000541,.00000538,.00000544,.0000056,.00000532,.00000481,.00000467,.00000454,.0000044,.00000429,.00000416,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02060233,.01312551,.00435665,.00411408,.00432906,.00426534,.00414,.00398917,.00246847,.00230103,.0016281,.00159084,.00139048,.00171544,.001271,.00141763,.00130449,.00213353,.00215067,.00218274,.00220165,.00221766,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02842139,.02348988,.02362595,.02362687,.02322606,.02263112,.02192599,.01598047,.01619606,.01482986,.01422918,.01022533,.00965006,.00948317,.00918063,.0080714,.0054783,.005077,.0047804,.00458023,.0042691,.00407712,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02582055,.02443297,.02200805,.02552603,.02337716,.02286044,.02335314,.02280114,.01220418,.0104005,.0105848,.01040117,.01070134,.01066536,.00960395,.00983941,.01083314,.01326567,.01390723,.01420434,.01416396,.01409627,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,,,.00000025,.00000082,.00000022,.00000109,.00000115,.00000576,.00000598,.00000606,.00000611,.00000603,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,.00187008,.00169896,.00215444,.00313968,.0033251,.00328603,.00333337,.00164332,.00175952,.00279542,.00283081,.00287337,.0029143,.00295164,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,0,0,,,,,,,,,,,v1.03_RF3084
