AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,.00000028,.00000055,.00444459,.00387919,.00453148,.00713664,.01092716,.01012381,.01104109,.01054876,.00996313,.00970943,.00970943,.00970964,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,COGENERATION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00000767,.00000732,.00000722,.00000694,.00000668,.00000637,.00000622,.00000607,.00000595,.00000572,.00000555,.0000054,.00000537,.00000543,.00000559,.00000531,.0000048,.00000466,.00000453,.00000439,.00000428,.00000415,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01676443,.01158477,.00214263,.00189738,.00211571,.00205352,.00169311,.00154601,.00244249,.00227874,.00160798,.0015689,.00136949,.00169472,.00124933,.00139535,.00128397,.00210961,.00212634,.00215764,.00217609,.00219172,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0258019,.02089801,.01628363,.01628363,.01593857,.01542447,.01481658,.01377387,.01409583,.01281349,.0122944,.00882406,.00833264,.00819612,.00792303,.00696285,.00473276,.0043752,.00412235,.00395163,.00368652,.00352399,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02542569,.02404755,.02193475,.02236569,.02329419,.02278111,.02327069,.02272232,.01212441,.01032997,.01051378,.01033056,.01062934,.01059377,.00953945,.00977392,.01076394,.01318431,.01382195,.01411724,.01407707,.01400974,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,,,.00000025,.00000082,.00000022,.00000108,.00000114,.00000572,.00000595,.00000602,.00000607,.00000599,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,.00187008,.00169896,.00215444,.00313968,.0033251,.00328603,.00333337,.00328664,.00351904,.00053113,.00053785,.00054594,.00055372,.00056081,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,0,0,,,,,,,,,,,v1.03_RF3084
