AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,.00000028,.00000055,.00443565,.00387139,.00452236,.00712228,.01090518,.01010344,.01101888,.01052753,.00994308,.0096899,.0096899,.0096901,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,COGENERATION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00000765,.00000731,.00000722,.00000694,.00000668,.00000637,.00000622,.00000607,.00000595,.00000572,.00000555,.0000054,.00000537,.00000543,.00000559,.00000531,.0000048,.00000466,.00000453,.00000439,.00000428,.00000415,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01323676,.01020276,.00212356,.00401281,.00419241,.00203526,.00353812,.00339234,.00238903,.00222667,.00159113,.00155113,.00135439,.00168088,.00123886,.00138139,.00127372,.00208015,.00209673,.00212774,.00214602,.00216151,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02542966,.02052577,.01591139,.02066276,.0203248,.01507217,.01922887,.01347294,.01379574,.01252543,.01201845,.00862926,.00814988,.00801717,.00774777,.00680963,.00463448,.00428278,.00403579,.00386876,.00360941,.00345057,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02523963,.02386459,.02191027,.01940863,.02268571,.02217384,.02266238,.02211522,.01205927,.01027081,.0104546,.01027246,.01059246,.01056097,.00951148,.00974766,.01073524,.01311759,.013754,.01404866,.01400854,.01394133,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,,,.00000024,.00000078,.00000021,.00000103,.00000109,.00000547,.00000569,.00000576,.00000581,.00000573,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,.00187008,.00169896,.00215444,.00313968,.0033251,.00328603,.00333337,.00328664,.00351904,.0003634,.00036801,.00037354,.00037886,.00038371,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,0,0,,,,,,,,,,,v1.03_RF3084
