AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,.00000025,.00000049,.00771581,.00673359,.00786652,.01239017,.01897437,.01757965,.01161644,.01831703,.01730014,.01685961,.01685961,.01685997,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,COGENERATION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00160705,.00160627,.00001641,.00001577,.00001517,.0000145,.00001413,.00001378,.00001351,.00001303,.00001261,.00001228,.0000122,.00001237,.0000127,.00001208,.00001092,.00001061,.00001031,.00001001,.00000972,.00000943,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00951675,.00927535,.03798334,.03786314,.03807465,.03792721,.0128613,.01274268,.0016477,.00154395,.00119348,.00113541,.00110192,.00103567,.0010371,.00112181,.0009873,.00168378,.00170435,.00172435,.00173529,.00174564,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03495569,.03459936,.03329158,.03331161,.03232833,.03094086,.02942297,.0279043,.02709176,.02516282,.02369843,.01606896,.01509295,.01474305,.01418905,.01228274,.00810304,.00752492,.00709767,.00672678,.00635389,.00600289,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02671976,.02573541,.01312088,.01297648,.01535431,.01452606,.01409072,.01411206,.00828831,.00613162,.00629507,.00609593,.00623762,.00606609,.0060608,.00590426,.00716567,.00914917,.00973413,.00999924,.01008913,.01019842,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,,,.00000059,.00000194,.00000051,.00000257,.00000271,.00000602,.00000626,.00000634,.00000639,.0000063,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,LANDFILLS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,.00374016,.00339793,.00430888,.00627937,.0066502,.00657206,.00666674,.00657329,.00703808,.00082364,.00083407,.00084661,.00085866,.00086967,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,INCINERATORS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,.10175302,.10323666,,,,,,,,,,,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,.00017827,,,,,,,,,,,,,,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,.09654851,.09728974,.07864463,.084654,.09463685,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0026307,.00267831,.00273552,.00278889,.002845,.00295239,.00301806,.00306179,.00311416,.00313047,.00315445,.00317538,.00318968,.00319683,.00321806,.00324614,.00328111,.00333221,.00336169,.00340363,.00344846,.00340634,v1.03_RF3084
YUBA,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.15195635,.15195635,.17149794,.17086508,.16972935,.16294888,.15930142,.1580062,.14550781,.14769092,.13733288,.11805313,.11356473,.12192236,.12328934,.12421935,.12765168,.13254248,.13458111,.13498778,.13420979,.13787502,v1.03_RF3084
YUBA,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.13835295,.13937652,.16424099,.1672235,.16871257,.17573261,.17779503,.18110933,.09012805,.07234206,.06880371,.06928344,.06417733,.0674809,.06935852,.07409081,.07593942,.08118238,.08148047,.08354912,.08847481,.0885409,v1.03_RF3084
YUBA,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01900488,.01900488,.01814774,.0192167,.02026022,.02034527,.01873677,.01825519,.01610242,.01307453,.01285705,.01222805,.01186245,.01241392,.01283808,.01360246,.013886,.01522311,.01570747,.0150678,.01455966,.01484119,v1.03_RF3084
YUBA,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.12694734,.12694734,.13167251,.13572552,.13131803,.15294343,.15030291,.18511524,.17208563,.15064827,.21235984,.13933359,.12513469,.1378535,.13887732,.15175256,.1577237,.18420166,.18695331,.18416977,.18582843,.19195105,v1.03_RF3084
YUBA,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0041728,.00398705,.00392898,.00377623,.00363218,.00347178,.00338403,.00330078,.00323869,.00311869,.00302138,.00293993,.00292229,.00296302,.00303904,.00289244,.00261691,.00254103,.00246734,.00239578,.00232631,.00225884,v1.03_RF3084
YUBA,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.10880251,.0993642,.13263245,.13391428,.13260441,.14523717,.14695526,.14555688,.12793312,.10983854,.14442214,.14110138,.13922027,.14049937,.13885237,.13940123,.14167246,.1802984,.17618948,.17237099,.17016446,.16736328,v1.03_RF3084
YUBA,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,.02843362,.00010325,.00010325,.00010325,.00010325,.00010325,.00010325,.00010292,.00010085,.00009806,.00009605,.00009401,v1.03_RF3084
YUBA,STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,.0001085,.00010959,.0001085,.0001085,.0001085,.0001085,.03131507,.02465753,.02375343,.024,.02134247,.02756165,.02350685,.02156164,.01342466,.0140548,.01440273,.0146083,.01418033,.01419752,v1.03_RF3084
YUBA,STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00013652,.00013652,.00012215,.00014544,.00015971,.00017852,.00016773,.00016137,.00017803,.00020915,.00019313,.00020163,.0145992,.01659853,.01002869,.01745949,.02208044,.01804643,.01838754,.01805726,.01752167,.01781682,v1.03_RF3084
YUBA,STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.02983562,.02983562,.00290411,.00290411,.00290411,0,.01511534,.01801945,.02009773,.0258559,.01851722,.02666486,.02447899,.01864138,.01101458,.01341622,.01623953,.02145801,.02165219,.02133919,.02003919,.02154007,v1.03_RF3084
