AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,0,0,.00839932,.0073293,.00856323,.01348574,.02065118,.01913294,.01816438,.01993604,.01882927,.0183498,.01834981,.01835019,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,COGENERATION,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00000011,.00000011,.00000011,.0000001,.00000009,.00000009,.00000009,.00000009,.00000008,.00000007,.00000007,.00000007,.00000007,.00000007,.00000007,.00000007,.00000007,.00000007,.00000006,.00000005,.00000005,.00000005,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.10508053,.11635186,.06284502,.04785919,.0611991,.05739677,.05319265,.04400043,.05083436,.04164334,.04705558,.05148794,.0498685,.04947607,.0530987,.05350326,.05019693,.05255555,.05357824,.05549231,.05662048,.05757588,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00255776,.00228379,.00233858,.00233858,.00233858,.00233858,.00190023,.00170082,.0016,.00150058,.00150058,.00110012,.00100012,.00100012,.0009007,.00070047,.00040258,.000403,.00030307,.00030301,.00030296,.00030298,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.07131136,.07128675,.0221942,.02223766,.02228138,.02224921,.01118322,.00009812,.00021099,.00015336,.00018172,.0001458,.00014836,.0001435,.00016817,.00014977,.00025304,.00133641,.00147794,.00146256,.00143264,.00140539,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,,,0,0,0,0,0,.00003489,.00003628,.00003672,.00003702,.00003652,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,LANDFILLS,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,.01870078,.01698964,.02154438,.03139685,.03325098,.03286027,.0333337,.0051929,.00556009,.00411324,.00416532,.00422793,.00428816,.00434311,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,INCINERATORS,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,0,0,,,,,,,,,,,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,0,,,,,,,,,,,,,,v1.03_RF3084
