AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,.00000035,.00000069,.08287442,.07231769,.08449188,.1330768,.20380639,.18882541,.12477378,.19674577,.18582319,.18109137,.18109146,.18109529,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,COGENERATION,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01761515,.01761034,.00010198,.00009801,.00009427,.0000901,.00008784,.00008566,.00008406,.00008094,.00007842,.0000763,.00007585,.0000769,.00007888,.00007507,.00006793,.00006595,.00006405,.00006218,.00006038,.00005863,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01321613,.01282409,.05269032,.05257984,.05291898,.05263277,.01801954,.01781834,.00215999,.00204162,.00161635,.00153365,.00149827,.00142215,.0014454,.00154036,.00139328,.00221223,.00224586,.00226669,.00227707,.00228831,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06210993,.05827431,.05505941,.05504144,.05346691,.05117277,.04866322,.04615184,.04514447,.04153758,.03912465,.02649721,.0249213,.0243414,.02341972,.02028167,.01333412,.01241997,.0117157,.01110449,.01049077,.00991203,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03455542,.03275039,.02061373,.02220871,.02415916,.02284158,.02238534,.02224451,.01475992,.01178533,.01198648,.011629,.01188053,.01169019,.01139538,.01124875,.01346472,.01639687,.01732025,.01781987,.01796602,.01812834,v1.03_RF3084
YUBA,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,,,.00000067,.00000221,.00000058,.00000292,.00000308,.00000685,.00000713,.00000722,.00000727,.00000718,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,LANDFILLS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,.00748031,.00679585,.00861775,.01255874,.01330039,.01314411,.01333348,.01314658,.01407616,.00164727,.00166813,.00169321,.00171732,.00173933,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,INCINERATORS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,,,.60208887,.6108678,,,,,,,,,,,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,,,,,,,,,.00024888,,,,,,,,,,,,,,v1.03_RF3084
YUBA,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,.13478781,.13582262,.10979287,.11818232,.13211901,0,0,0,0,0,v1.03_RF3084
YUBA,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01490729,.01517709,.01550126,.01580369,.01612168,.01673023,.01710234,.01735015,.0176469,.01773931,.0178752,.0179938,.01807484,.01811536,.01823569,.0183948,.01859296,.01888254,.01904957,.01928725,.01954126,.01930258,v1.03_RF3084
YUBA,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.19707459,.19707459,.22811209,.22728359,.2258525,.21718973,.21252971,.20560117,.18472916,.18869095,.17545749,.15082552,.14509107,.15576886,.1575153,.15870354,.16308867,.16930679,.17191133,.17242996,.1714348,.17611697,v1.03_RF3084
