AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,87.74786138,85.6341621,70.28438984,50.44268199,48.89321754,42.04108049,36.84263325,37.62807525,37.36674133,34.39420291,29.90642324,32.36106553,33.21017071,27.8729579,26.75772487,24.24332934,18.74420566,14.8311883,14.33495651,13.83141801,15.08048187,14.89954381,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,47.06017938,41.47817136,48.40507727,45.56162977,36.49738536,34.72222654,33.86732895,35.14700354,39.67981388,32.0643788,36.41339735,28.89863871,32.04590653,30.5064417,33.38523839,32.54667281,28.87690858,29.20272746,28.17977947,28.26474568,28.34751724,28.42632851,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,18.72358142,17.7754813,17.904143,15.70088098,14.10626856,13.92186923,13.87261402,12.76931377,12.68178416,13.32148947,13.23773269,13.26462884,12.51707283,11.16493028,10.16830427,11.12045951,7.74660371,6.98417086,6.83388697,6.69220174,6.55573562,6.42407399,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,10.25264437,17.50657487,19.18874725,19.05952138,13.4599209,13.45886347,13.77609725,13.02679483,12.04291838,12.56826174,11.4734328,11.09628592,11.03841432,13.43318878,13.36390281,11.37876622,8.22684251,7.77223124,7.80767943,7.84312272,7.87650048,7.91290069,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,134.59306835,135.07042602,124.53977408,117.10295244,119.09600771,122.98026115,124.27994974,114.10565023,152.41894032,101.09832911,96.55420711,97.1912469,85.51432303,84.21815972,83.23990906,86.16973942,86.05964143,86.58157848,86.8608984,86.88016336,86.0341478,86.0753276,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,29.96512538,29.96952607,32.98454839,31.47075484,29.87641285,28.02034359,27.38388765,27.27577729,25.91425171,30.59793939,28.02862227,25.65115672,26.36842828,27.51576166,26.9188941,26.92427198,28.83674092,28.40016034,28.72773377,28.29744064,27.79772398,27.98287284,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,55.01536193,51.5295101,47.22165687,49.06027091,50.92578155,49.83643033,50.44735272,52.0858403,51.24274579,49.53520433,48.32655744,47.49139363,48.20862515,46.68047135,43.71493629,43.71188302,49.17847821,43.05191632,43.5756945,44.6859186,43.70120023,43.67451536,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,5.14553654,6.05541444,6.612437,4.5092802,4.75055581,3.86141239,3.44850243,3.37598363,3.56225095,3.53492555,3.79253606,3.11002581,3.3973323,3.27382331,3.07112576,2.55941501,2.54560461,2.66847803,2.67288238,2.68438594,2.40747799,2.41272841,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.21193339,.2489589,.27670505,.28919005,.27383841,.37911765,.27814224,.29699798,.30104558,.30840412,.26270773,.28349398,.28620161,.28431142,.50834287,.74585829,.62621981,.70724343,.71360166,.71776586,.72368258,.73033212,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.77086891,.89161643,.93576658,.82488773,.9175532,1.38539692,1.52683904,1.58833865,1.30517417,1.25391362,1.16158987,1.49987443,1.44430388,1.36896129,1.38753954,1.72914285,1.45480509,1.30995695,1.32323459,1.33483085,1.34622064,1.35850495,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,INCINERATORS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.01207034,.77726022,.94432229,.99294369,.70259995,2.49401353,2.52748863,2.1602296,2.40388642,1.97151292,2.4788434,2.55213677,2.6069249,2.56704041,2.99853863,2.79019809,2.3282713,2.42030857,2.4294012,2.43769466,2.44478595,2.45324832,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.10595616,.04347945,.04345205,.01123931,.05899839,.02216218,.05088097,.02787105,.01209217,.0088176,.00637165,.00193133,.00185428,.00190436,.00131436,.00115135,.0009597,.00116585,.00117258,.00118822,.00117228,.00118015,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00027397,.00030137,.00004,.00127534,.00020138,.00233099,.01188473,.00976739,.00899877,.0091234,.00424378,.03066432,.00158069,.00214656,.01737023,.00730848,.01692059,.01754282,.01764111,.01764329,.01776658,.01763806,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00212329,.00288493,.00288493,.00083288,.00083288,.00083288,.00083288,.0068885,.00083288,.00083105,.00083105,.00083105,.00083105,.00083893,.00084602,.00085389,.00086177,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,.00005479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.11033067,.13286736,.03921986,.0461854,.09585243,.0801023,.05253913,.04700902,.05233882,.05104283,.05625991,.01653845,.01876607,.01914296,.02548112,.02428371,.02291758,.01607767,.01629665,.01646589,.01672981,.01697625,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00671233,.00315069,.17693523,.18547497,.48072332,.01247194,.01304934,.0420685,.00712604,.00807398,.00698904,.00543287,.00402739,.00822465,.00811787,.00008982,.00029592,.00051407,.00051766,.00052119,.00052477,.00052881,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00032877,.00032877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),COT,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.15604668,.15605215,.06447166,.06415068,.0542685,.0542685,.03625461,.15822891,.1300102,.4684978,.05217051,.03599306,.05202721,.04689105,.04409181,.04070419,.04084517,.04095888,.04107233,.04118598,v1.03_RF3084
