AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,5.58748577,5.77355417,8.13990951,9.46812561,8.79770731,9.70394805,11.64625558,11.18159118,9.4980901,10.54020224,10.35196014,9.08760347,8.9622035,10.34802644,8.05238119,7.49491456,6.62719085,6.62979332,6.56508098,6.4825737,6.83625611,7.07726847,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.00565611,1.34979011,1.64891628,1.71426236,1.75460837,1.79896372,1.78750462,1.71735952,1.71245679,1.82888231,1.99848653,1.87842489,2.1945535,2.14978726,.75143906,.7425394,1.6839255,1.61897076,1.59694661,1.62028356,1.62561251,1.63351109,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03866617,.03866617,.12266111,.12016087,.10963129,.16852403,.06116788,.05983217,.20554267,.16142124,.19828688,.2066543,.20908076,.19084603,.09072389,.19227599,.16775422,.16733351,.17253241,.17832589,.1841802,.19002712,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.38019295,.83548714,1.25249501,1.27474252,2.48612756,1.26046061,1.24731377,1.26023901,1.12001864,1.22467771,.33031938,.98626193,1.18590701,1.3506022,1.29055531,1.08349308,.9908074,1.46794598,1.47204232,1.47613869,1.48002977,1.48426261,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.88471689,3.02155783,4.16370619,3.80587547,3.97886298,3.68306988,3.2758006,3.40485762,3.14044363,3.00666434,3.81000285,2.83473229,2.65864201,2.65317202,2.35052848,2.33687109,2.31773449,2.42085494,2.41408288,2.40442381,2.37985091,2.35029994,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,.07157123,.06970137,.10241434,.10242804,.113393,.12459911,.11697124,.12258002,.10862954,.10302532,.08402219,.13138663,.11047873,.11569146,.10716781,.11478324,.12166688,.11788608,.11886243,.1184993,.1179337,.11864249,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.37019157,2.48185354,2.80734598,2.70598348,2.77348942,2.82813998,2.75393915,2.75432277,3.2799906,3.24918645,3.40401091,3.65244918,3.1554447,2.94578324,2.76518662,2.78574558,2.80124804,2.73144817,2.7101135,2.77518764,2.61646472,2.58640753,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.11139409,.11139433,.15955811,.25357564,.23518708,.23527178,.00553709,.42146525,.00716274,.02002387,.01020801,.02371276,.17863025,.27015818,.26779594,.22063923,.22091492,.22112929,.22149088,.22171447,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.4815942,2.57537253,2.22549748,2.42764108,2.40458052,2.10413105,2.52015082,2.08394908,2.07277912,2.02140617,1.0826883,1.00302809,1.08484862,.64429699,.35886093,.36215974,.35929722,.41024866,.41524632,.42005611,.42458787,.42908432,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,NH3,ANNUAL AVERAGE,GROWN AND CONTROLLED,7.15178609,7.25072005,7.40358247,7.4543019,7.53759196,8.62567839,9.58006766,8.76900618,8.83507209,8.93563598,8.92632596,9.16660245,9.09408825,9.20360218,9.20479389,9.2175564,9.26925318,9.57770733,9.66856725,9.75325447,9.83424744,9.91839809,v1.03_RF3084
