AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,66.24921828,71.46293015,32.04235072,25.57930675,28.80275836,27.62958439,27.32029407,28.09105767,25.25102998,23.7540286,21.0318758,17.23284174,18.77689989,17.02140056,16.99356165,16.24552726,14.30613573,12.9244209,12.43431782,14.33366743,15.78454477,15.17504926,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,29.04328905,26.16394792,25.32586899,23.91729167,22.28701221,18.28853358,18.55898536,17.65070546,17.8194839,16.64330825,17.03967591,15.62288594,14.40318288,14.2085386,14.10495695,13.20888786,13.08759684,12.10593923,11.80611265,11.86520718,11.89825667,11.9324491,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,28.96063918,25.74514564,23.60789444,17.36990982,15.99649009,16.05180278,14.33258744,13.14642232,12.21822737,11.28416742,11.19796499,10.2658631,10.3203039,10.00098398,9.31882556,9.33826346,7.74454123,7.60711231,7.51313636,7.25609996,6.84077437,6.4959423,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,47.00664063,39.93488261,28.9238997,24.79436383,22.79615781,25.90393643,24.96457424,23.79512106,25.72638701,20.12203296,20.23390704,18.53301765,18.68580472,19.97096822,20.24046098,19.57284568,18.34661898,18.56609391,18.73952485,20.18106891,18.85069076,17.78513796,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,87.50777229,79.08732707,69.09521499,64.51092395,69.24130723,63.85959307,59.96024352,52.53219448,55.06834324,45.24892691,47.10225299,49.13738901,49.46190679,49.66910478,48.06937125,48.05728638,45.42126819,44.35338658,44.32611543,44.49751184,43.82761978,43.85068052,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,41.97958418,39.42299694,38.46473639,38.75669872,37.96597205,36.73162195,34.95238955,33.35837554,32.08981006,31.09823093,29.12184884,21.61498296,20.84058774,20.533888,19.99152797,15.28979977,11.52972264,10.92079876,10.40902474,10.08407657,9.65123928,9.34379197,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,75.07507402,64.28468493,55.45129418,54.51283001,56.74654788,54.79520638,54.74921395,54.5549536,55.67625129,59.89626674,54.86218649,51.97342341,49.48319395,50.00484493,42.15707526,41.97411659,44.56111086,36.98577573,37.54151972,39.07507402,38.55401063,38.53372528,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,14.75062209,15.9707662,12.96879398,9.50700796,11.36262065,10.72802347,9.7330253,9.51682121,9.66748292,9.6949155,8.66344736,8.16800853,8.38621543,8.38901649,7.84513604,6.45757991,6.40214674,6.65591182,6.74914342,6.81342727,5.73597997,5.73810624,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.36724931,.33991783,.35719659,.45233122,.25215922,.41713061,.25829132,.3884964,.3996942,.39870766,.39718108,.42142736,.42635692,.40818911,.441639,.50214589,.45434905,.43346847,.43736084,.44017354,.44281622,.44530188,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.58403352,.65128763,.87496496,.85316946,.90284969,.96899304,1.10104309,1.14857576,1.02078368,1.00388396,.93016785,1.0393119,1.2014787,1.12502469,.99714,1.09024124,1.0409949,1.06450343,1.07644239,1.08792852,1.09983605,1.1116576,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,INCINERATORS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.74263828,1.61665749,1.66179197,1.80143529,1.55291786,2.08646785,2.0679528,2.57980212,2.0532891,2.09773603,2.63012705,2.5546032,2.53905965,2.48741955,2.69554386,2.52984389,2.35982561,2.33125977,2.34647764,2.42763436,2.34792069,2.34119442,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.10176439,.04641096,.04619178,.04379027,.11605217,.073348,.08497524,.06945128,.05516741,.03967405,.038397,.03834834,.03884679,.04145226,.03984834,.03968122,.0340474,.03368825,.03398102,.03410559,.0341407,.03432938,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.09658623,.07436472,.00684147,.00495254,.00029569,.00043106,.0046213,.00627652,.0026043,.00352135,.00494322,.00142747,.00172317,.00443063,.03136616,.02274637,.05290879,.03001876,.03088292,.03091309,.03107321,.03116367,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00618082,.00768767,.00768767,.00333699,.00333699,.00333699,.00333699,.0059611,.00333699,.00332969,.00332969,.00332969,.00332969,.00336125,.00338965,.00342121,.00345277,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.14576302,.0639018,.07988178,.08011845,.07136013,.07817091,.06264431,.05753939,.04233175,.03899477,.0356873,.03570014,.04870876,.05019284,.03491413,.03421224,.02368413,.0337413,.03404985,.03412424,.03464489,.03515759,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.03960822,.01421918,.02005863,.01950246,.04497808,.02217756,.02595068,.14537808,.01414246,.01790137,.01357808,.01103013,.00600001,.01109041,.01064815,.00094614,.00118564,.00205966,.00207403,.0020882,.00210257,.00211872,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00005479,.00005479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,.13575137,.13579164,.0623453,.06844931,.05726848,.05726848,.0951237,.32884861,.06929617,.14592996,.07876409,.06360882,.04216156,.03652403,.06441147,.05827445,.06090194,.05022562,.04583608,.05831152,v1.03_RF3084
STATEWIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.01487355,3.38839868,3.19568266,3.24571947,3.23418493,3.06401261,3.15364488,2.94498472,2.77363359,2.78607127,2.60976475,2.98432005,2.63148758,2.55988479,2.54455352,2.50261621,2.31974316,2.21349771,2.15688075,2.10340851,2.04966606,1.99777219,v1.03_RF3084
