AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,8.88315966,10.15523305,8.43063432,6.93168295,7.01329067,6.56471688,7.56648097,7.8219176,7.60132909,6.95164354,6.87377785,5.96656656,7.13709489,6.92481203,5.98063677,5.89333762,5.03745528,4.79655969,4.56073569,4.38298741,4.89250427,4.84315742,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.22409901,4.68280647,3.88531885,4.31987561,4.58652464,3.24927219,3.829245,3.66186692,3.83812385,3.9114391,3.47817644,2.90734326,2.6220958,2.60300201,2.39762389,2.38416236,1.80871709,1.84634656,1.80033761,1.80757724,1.81452162,1.82148986,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.98444475,1.49220262,1.23741186,1.19281902,1.70882399,1.97494601,2.0231801,2.32086602,2.38491765,2.47831925,2.34394333,2.17097563,2.06758136,2.09989847,2.66525254,2.66006708,2.38973927,2.21848102,2.15800219,2.0995389,2.04285637,1.98786834,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.45612197,3.83068534,3.46105646,3.3877005,3.90220034,3.64498729,3.58751953,3.37327581,3.37715475,4.06829842,3.50662805,4.39083539,4.29310051,4.01908574,4.79640356,4.58394302,4.12878201,4.29294084,4.31674857,4.34055687,4.36302548,4.38695038,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,7.0474668,7.48430698,5.56960539,5.59022835,6.79498702,5.87674148,5.56145938,5.23403885,4.85979322,4.36761497,7.97429049,7.30440956,7.36115223,7.50965924,7.27839851,4.46651504,4.4163337,4.12821342,4.19465768,4.1991157,4.18003413,4.20014426,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.54174353,2.29064336,2.31692522,2.33102323,2.23038081,2.32052262,2.28101818,2.14151951,2.05286344,2.08715981,2.03310471,1.65345161,1.57665828,1.6045479,1.59054045,1.50851512,1.36871959,1.24350321,1.23603808,1.202842,1.16457466,1.1520725,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.55330702,4.64735829,4.16606792,4.49571738,4.30431948,4.24543061,4.38437517,4.22189555,4.42296318,4.62054107,4.84717024,5.12436564,4.83517851,4.87250093,4.60118748,4.57297671,4.78906437,4.2787383,4.35075571,4.44543843,4.41301383,4.41961148,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,7.50133762,7.7113898,7.34157221,7.1723596,7.57045322,7.26489819,7.49585878,6.36544722,6.20594726,6.18638333,.66883728,6.12604039,6.15495599,6.12586556,6.23374728,7.00557637,6.20729864,6.23694178,6.28053685,6.33181059,6.32790424,6.37661907,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01984855,.01786302,.02588577,.02775773,.01398782,.0306186,.04119775,.03967181,.03544458,.03733454,.04058966,.04434766,.04480368,.03722778,.05494423,.05704212,.05265993,.05655442,.05687321,.05679863,.05679589,.05677229,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.8244747,.80095101,.95710306,1.25899021,1.39502445,8.25319695,1.47343506,9.47389448,7.99802312,1.31428423,1.29505659,3.3617022,6.5323094,6.6412777,8.05450533,7.81730366,7.81629565,8.2151568,8.28692799,8.34932889,8.3676423,8.4369201,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.19871329,.47643839,.2199382,1.44229122,.23915821,.44833928,.2711024,.27930883,.3715778,.31496508,.35647842,.38040204,.38481351,.36403563,.38460774,.32246084,.33555597,.34986863,.35140257,.35194234,.35280923,.35433651,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.12099454,.1900548,.32413622,.28005058,.32439062,.28372755,.16012629,.15100447,1.01015881,.13298581,.19080287,.33226301,.2759999,.14229167,.1435899,.12722442,.14418926,.12551245,.12680469,.12809092,.12925981,.13029397,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.29618497,.1690325,.1145509,.1089252,.19269113,1.01492128,.95202653,.84351783,.65097985,.61732433,.61409914,.77035217,.09056055,.11702998,.19875114,.19043164,.22556535,.19457641,.19580494,.1949191,.19636397,.19030825,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00400821,.00377808,.00377808,.00337128,.00012003,.0049881,.00149876,.00386272,.00236464,.00269081,.00300555,.01003218,.00668886,.00675232,.00681439,.00683936,.00689693,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00014315,.00014332,.00056103,.01402219,.01641148,.02352336,.04580253,.0361164,.05349385,.07810568,.083384,.07031812,.06344527,.08662575,.14164587,.11241113,.11824834,.12031009,.121607,.12168338,.11906086,.12094269,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.10611538,1.14039573,1.55932134,1.83843494,1.75599744,1.74360383,1.64777299,1.72426597,1.62683054,1.50718052,1.85723682,1.71374324,1.80529343,1.91461394,1.71735033,1.85119624,1.92907638,1.99248861,2.01461957,2.03116688,2.05893631,2.08087128,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00149864,.0020548,.00179305,.20017457,.19814236,.19647318,.1959293,.19806991,.1952769,.19593138,.19569214,.19559119,.20235844,.08171739,.07845021,.07766741,.00190813,.00905357,.00912385,.00893168,.0082719,.00875616,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00523288,.00671233,.00424658,.00541024,.00470658,.00468752,.00468751,.00468751,.00179947,.00174447,.00015167,.00010949,.00256709,.00254918,.00332663,.01053551,.01251542,.02387123,.02416653,.02449971,.02487567,.02518736,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00821918,.00569863,.09249015,.11143483,.00720302,.01536638,.00621204,.00621566,.0105438,.10766933,.06262516,.75587659,.03948319,.01353947,.003719,.00501407,.00492411,.02786974,.02791821,.02795808,.02800671,.02805177,v1.03_RF3084
STATEWIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,.08125047,.08346359,.0584325,.0625958,.06698654,.07606012,.07803641,.0720647,.0664373,.08244655,.0832514,.17399994,.10637852,.08536147,.13884191,.15177253,.19338646,.1501673,.14792082,.14586099,.14388524,.1419909,v1.03_RF3084
STATEWIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,PM,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.83954922,3.37873995,3.14667017,3.14540999,3.61572184,6.04052292,6.14021074,6.15955034,5.07712231,4.49404641,4.68711126,3.72706638,3.92202939,3.82878467,4.73630726,5.27393226,5.2009175,5.14750597,5.17622001,5.20498801,5.23118583,5.25995548,v1.03_RF3084
