AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,8.2738292,9.68905991,7.87438279,6.33749399,6.41708967,6.05839311,6.95230438,7.06711612,6.8511961,6.16591925,5.99136302,5.25472815,6.6402481,6.32442354,5.72306605,5.61187018,4.77087271,4.67718219,4.44412197,4.26655651,4.77196292,4.71670222,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.51897089,4.34935533,3.58081315,3.99424199,4.20311878,3.11942327,3.61598126,3.46827171,3.70548722,3.79250151,3.34943715,2.77365952,2.50056321,2.48798353,2.2603299,2.244984,1.65954135,1.69653357,1.65529947,1.66214595,1.66888245,1.67565109,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.92755343,1.45087988,1.18234805,1.13464335,1.64999743,1.87358912,1.97155749,2.31157955,2.37674713,2.47313661,2.34009019,2.16713209,2.06427567,2.09686024,2.66237747,2.6572312,2.39934073,2.21676027,2.1562964,2.09784579,2.04117496,1.98619793,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.22958523,3.62967065,3.32318385,3.25258707,3.75925072,3.49703518,3.4427212,3.23869216,3.25157435,3.93419966,3.38544606,4.25009576,4.15371175,3.95488464,4.72339509,4.51953998,4.07109668,4.23237926,4.25614739,4.27991615,4.30234759,4.32623261,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,7.14946215,7.59169442,5.8066295,5.82170214,6.98386506,6.01824571,5.76303221,5.35881144,5.04211207,4.58005416,7.0425154,5.60725016,5.59867586,5.77398948,5.50908376,4.59311782,4.54232344,4.23387229,4.2972573,4.29862403,4.27488561,4.28927639,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.16828188,1.98555889,2.06117165,2.08413586,1.98869869,2.05205341,2.01859624,1.91351938,1.83443063,1.87490399,1.80661624,1.50151729,1.45436621,1.47259797,1.47376326,1.40938945,1.29861677,1.17613484,1.17149126,1.14099235,1.10566133,1.09587688,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.44877802,4.53279812,4.11679639,4.42872028,4.24971794,4.20335858,4.35523703,4.20111198,4.38158916,4.59514863,4.81855734,5.0900239,4.79419964,4.8261401,4.55918204,4.52937976,4.73262354,4.22746603,4.29842831,4.39278537,4.36033533,4.36683499,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,7.47817101,7.65015571,7.31712793,4.28278496,4.55928488,4.36969817,2.79797134,2.44517194,2.22752277,2.20948854,.53192069,2.14277304,2.17020817,2.14666017,2.30662428,3.04311597,2.27759234,2.29040276,2.30619444,2.32480812,2.29280896,2.30984256,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01551099,.0138082,.02117077,.02195965,.00942653,.02481457,.02890485,.02724102,.02737597,.03026919,.03326458,.03234964,.03308869,.02872861,.04044849,.0410592,.04173013,.04417669,.04441542,.04446777,.0443845,.04426497,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.35582141,.35643535,.5155139,.61720603,.58289836,5.27350506,.63895802,3.41055888,2.97907278,.57178228,.57004566,1.10918462,2.36959613,2.42237415,3.20011775,3.15369292,3.13458574,3.21770411,3.2460661,3.27166917,3.28166034,3.30837432,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.10792179,.17291734,.12481717,.53552993,.13442589,.29558774,.18425286,.19453225,.22243629,.1825231,.22756923,.24677485,.25075021,.24259481,.27160428,.23783826,.2391191,.21403786,.21490967,.21488725,.21532142,.21625463,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0934796,.1354843,.12026513,.1098144,.11719755,.10248525,.04557651,.04229189,.90828173,.03628244,.05658207,.12254534,.08111656,.08302804,.0854733,.07483354,.09212248,.06891087,.06976136,.07058244,.07142034,.07207422,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.14248039,.05677896,.04500397,.04456307,.04894867,.46083396,.42180615,.40156153,.30700839,.29067238,.28711174,.36322963,.03155185,.04748962,.11083576,.06611194,.10196445,.06371697,.06433224,.06416097,.06476361,.06208415,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00230071,.00216862,.00216862,.00193512,.0000689,.00286317,.00101575,.00281398,.00222517,.00258603,.00288818,.00963374,.00642415,.0064851,.00654472,.00656871,.00662401,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0001429,.00014307,.00054708,.01347713,.0157635,.02259092,.04397892,.03467873,.0513541,.07498145,.08004864,.06750541,.06090748,.08316073,.13598003,.10791468,.11351839,.11549768,.11674272,.11681608,.11429845,.11610499,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.05571903,1.08477373,1.49731973,1.64993525,1.67462097,1.66876957,1.57400285,1.64783666,1.56232131,1.44216619,1.77105002,1.63945409,1.72390087,1.82517844,1.63603036,1.75141719,1.83390668,1.87882711,1.90004402,1.9160917,1.94241684,1.96359709,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00139819,.0016986,.00169949,.19208895,.19020714,.18860051,.18808262,.1891562,.18745841,.18806345,.18781471,.18772701,.19425674,.07844925,.07531261,.07456087,.00183202,.00680755,.00686215,.00672276,.00626592,.00662258,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00510622,.00659946,.00407672,.00517079,.00451831,.00450002,.00450001,.00450001,.00172749,.0016747,.0001456,.00010512,.00246442,.00244722,.00319357,.01011408,.0120148,.02289055,.02317354,.0234929,.02385328,.02415185,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00789041,.00547945,.08879054,.10697676,.006911,.01475172,.00596357,.00596705,.01012205,.1009514,.05975831,.72545734,.0379035,.01260363,.00359525,.00483913,.00480211,.0277003,.0277481,.02778763,.02783558,.02788008,v1.03_RF3084
STATEWIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06224772,.07000663,.05592145,.06018492,.06165364,.06695832,.07241758,.06635684,.06263294,.07852497,.07726485,.16388037,.09913106,.07776563,.11064378,.12226997,.15452143,.1198149,.11771569,.11576067,.11387912,.11206868,v1.03_RF3084
STATEWIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.43648496,2.10595534,2.00516166,2.01113611,2.28748692,3.84280687,3.89077579,3.90164291,3.14816881,2.78588351,3.25615375,2.30758756,2.45735993,2.42331024,3.38309611,3.92397399,3.94184144,3.83307872,3.85689774,3.88075395,3.90247399,3.92633194,v1.03_RF3084
STATEWIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.30977523,.28643835,.31933239,.30823528,.10103361,.02998133,.02830975,.02880382,.00765322,.00771551,.00785426,.00624255,.00466818,.09787439,.12178328,.03239945,.05514586,.05110727,.05121431,.05095911,.0512981,.05134741,v1.03_RF3084
STATEWIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,.00010959,.00010521,0,0,.00021036,.00017778,.00014442,.00014443,.00000019,.00000023,.0000005,.00500633,.00050399,.00011518,.00007757,.00006179,.0001261,.0001261,.0001261,.0001261,.0001261,v1.03_RF3084
STATEWIDE,STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.60412441,2.14090424,2.4812477,2.22480149,2.12005591,2.27091996,2.30985687,2.04205868,1.86129559,1.66184749,3.50049179,1.94307438,1.85530685,1.63880474,1.77864681,1.98730142,2.06257995,1.8925339,1.91377139,1.92259532,1.90865877,1.91283695,v1.03_RF3084
STATEWIDE,STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,14.37053258,11.9943732,11.55803143,10.58941191,22.92313617,11.70415831,11.08131254,10.61302182,9.61640348,10.52865129,11.06937367,11.1908064,11.85536351,11.24316258,10.65999911,10.58505133,10.83387491,10.94741201,11.14875513,10.97049841,10.65749694,10.80746515,v1.03_RF3084
STATEWIDE,STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,74.71869742,86.11719508,78.77685039,82.30961009,82.20536061,96.36378988,99.77136583,91.33430177,78.81451161,62.95059371,69.77337223,62.5689897,63.44699007,61.23281819,62.79610162,51.71708583,49.50370294,47.35680036,47.76843618,47.3870903,45.73410162,47.74725709,v1.03_RF3084
STATEWIDE,STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.99113206,1.57677913,1.36926971,1.28907996,1.47087258,1.57987866,1.61570326,1.65835334,1.72426416,1.12182326,1.67045725,1.18530351,1.31752244,1.3158404,1.33792612,1.40009696,1.71749389,1.14990989,1.16731933,1.18537306,1.20245372,1.2193111,v1.03_RF3084
STATEWIDE,STATIONARY,INDUSTRIAL PROCESSES,WOOD AND PAPER,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,14.97860297,14.64542537,14.37090362,13.98983388,14.58177044,15.14038691,14.9336803,14.27063267,13.26224082,11.74885643,11.60679152,11.63042659,10.6663308,10.9389154,11.56445256,11.58262532,11.28502482,11.37388475,11.55350994,11.61223284,11.51863082,11.89950112,v1.03_RF3084
STATEWIDE,STATIONARY,INDUSTRIAL PROCESSES,GLASS AND RELATED PRODUCTS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.16355319,2.0128308,2.02243472,1.80577476,1.91513908,2.24726557,1.83732963,1.33081314,1.12224005,1.08981541,1.20560428,.77040013,.98065844,.95900791,.67670923,.53815289,.25852312,.23072734,.23197699,.23322713,.23447659,.23954243,v1.03_RF3084
STATEWIDE,STATIONARY,INDUSTRIAL PROCESSES,ELECTRONICS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05522584,.04446775,.04026118,.02374941,.0114381,.02673929,.02639134,.02676856,.04725866,.03100012,.11453681,.03039703,.03778402,.03879209,.06398059,.01580785,.0191674,.01768389,.01781612,.0177242,.01796797,.01775517,v1.03_RF3084
STATEWIDE,STATIONARY,INDUSTRIAL PROCESSES,OTHER (INDUSTRIAL PROCESSES),PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,5.66758046,4.8209183,4.56664952,7.13551975,56.74304378,13.24378104,13.03839241,12.71150625,7.46124966,8.62820648,20.5492761,7.62711767,4.65506449,6.2000494,6.94488624,10.23272834,21.00356109,16.4441336,16.50066073,16.52192934,16.57207525,16.60421336,v1.03_RF3084
STATEWIDE,AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,.00000746,.00000673,0,0,.00001149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
STATEWIDE,AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
STATEWIDE,AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS,PM10,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,v1.03_RF3084
