AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,7.99029563,9.21203356,7.43565617,5.89007155,5.90317164,5.62169188,6.32638023,6.50075526,6.25751934,5.75366114,5.45028199,4.80225722,5.99325585,6.02812907,5.40702624,5.30780424,4.53573021,4.46321489,4.23652426,4.06152589,4.55493711,4.49033547,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.71318742,4.27048721,3.33925261,3.88772141,3.99806102,2.92946184,3.42340552,3.26340516,3.47489642,3.56887226,3.14035251,2.60377402,2.3322411,2.34188091,2.08965519,2.09803891,1.5446958,1.57130225,1.53359363,1.54015795,1.54674398,1.55336834,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.97173922,1.47265843,1.1794389,1.18094427,1.69533027,1.85246769,2.01391532,2.31185906,2.37099373,2.47013587,2.3380282,2.16505481,2.06306443,2.09573299,2.66128132,2.65614572,2.39871528,2.21564514,2.15520097,2.0967687,2.04011541,1.98515538,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.16730294,3.59278857,3.26750951,3.19835891,3.7018513,3.43770281,3.38444175,3.18372355,3.20121621,3.83866759,3.30191379,4.15486759,4.0587688,3.87667943,4.63233468,4.43627014,4.00029834,4.14473315,4.16791025,4.19108792,4.2129305,4.23622435,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,6.96097837,7.40031839,5.65863714,5.68316835,6.83640766,5.90787047,5.66763127,5.21092939,4.92352285,4.48901166,5.91828884,4.74805888,4.70565023,4.90171333,4.62342621,4.49919374,4.44650131,4.13888953,4.20159241,4.20273722,4.17974352,4.19266119,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.18654715,2.0058639,2.02877408,2.05564325,1.96094721,2.00118309,1.98009682,1.87174111,1.79247652,1.83395356,1.75637652,1.46976572,1.43359936,1.46406278,1.45421085,1.39229699,1.28570248,1.16200476,1.15769592,1.12768963,1.09287487,1.08347822,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.34556282,4.4299737,4.074995,4.38562561,4.21469299,4.16940745,4.30936918,4.16480486,4.34083038,4.52783361,4.74806454,5.02648165,4.73680136,4.76976876,4.49907235,4.47729216,4.67520549,4.20266761,4.27357153,4.3675463,4.33489116,4.34108339,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.04479127,4.17880068,5.31081939,3.12110124,3.3414827,3.19960839,.88093941,.83826351,.59489251,.57901829,.40006376,.50744493,.53203262,.51535152,.72166749,.92006414,.69421811,.70158458,.70619562,.71130753,.67126727,.67570891,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.01473578,.01334259,.02074991,.02140202,.00936003,.02430755,.02832696,.02665146,.02683805,.02985583,.03285138,.03157666,.03192234,.02792694,.03888365,.03931195,.04029954,.04217568,.04239543,.04244421,.04234104,.04220087,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.30536384,.26960873,.45068639,.45726536,.40577229,3.0805193,.43507086,3.54738866,.82364665,.34085522,.32287481,.48809142,.74653633,.80477746,.93804862,.94201835,.90024137,1.09453007,1.10628456,1.11785769,1.12616986,1.13759363,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,INCINERATORS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.09028144,.12477806,.10913491,.46812688,.11673401,.27023823,.16620882,.17961332,.19789121,.16034167,.20608143,.22482422,.22800165,.21585425,.24595383,.21481352,.21763955,.18165096,.18223201,.18229233,.18293964,.18359541,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.05102655,.08017291,.10239657,.07019362,.0476939,.04140206,.0311973,.02889892,.03730111,.02423957,.03709416,.04886709,.0531826,.07204563,.07674546,.06606672,.0830486,.06019783,.06096101,.06170366,.06247343,.06305342,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.08980484,.03646938,.03651413,.03730847,.03504009,.07643412,.0586162,.04425791,.03459605,.03353589,.03324606,.04112642,.01035248,.01967592,.08801186,.05074164,.08704183,.04576457,.04626832,.04609596,.04657216,.0440723,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0,0,0,0,0,.00163134,.00153768,.00153768,.00137211,.00004885,.00203016,.00062604,.00189571,.00212857,.00249434,.00278548,.00928511,.00619254,.00625129,.00630875,.0063319,.0063852,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00014269,.00014285,.00052713,.01298853,.01518063,.02175912,.04236734,.03340768,.04948182,.07224776,.0771302,.06504426,.05868687,.08012881,.13102246,.10398032,.1093797,.11128685,.11248647,.11255713,.11013129,.11187197,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.01146426,1.04518064,1.44353242,1.48156489,1.61423427,1.60878248,1.51607195,1.58874377,1.50306069,1.38858159,1.70769019,1.58193803,1.66316202,1.76046177,1.57786344,1.68135058,1.76618678,1.82151085,1.84150237,1.85654318,1.88145367,1.90147358,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00123494,.00147947,.0016293,.18505457,.18326886,.18171926,.18122184,.18188491,.18062121,.18119538,.18094846,.18086745,.18717166,.0755896,.0725672,.07184264,.00176542,.00471536,.00475542,.00466521,.00439782,.00463554,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00480454,.0062444,.0039281,.00499646,.00435358,.00433595,.00433594,.00433594,.0016645,.00161362,.00014029,.00010128,.00237455,.00235799,.00307714,.00974536,.0115768,.02214246,.02241566,.02272573,.02307592,.02336537,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.00761671,.00526027,.08555344,.10305521,.00665757,.01421389,.00574613,.00574948,.00975303,.09635849,.05744268,.69893861,.0365215,.012144,.00348698,.00468607,.00469538,.02755204,.02759925,.0276385,.02768582,.02772988,v1.03_RF3084
STATEWIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.06014431,.06689257,.05300237,.05674615,.05828294,.06288945,.06900548,.06296297,.05994471,.0758186,.07424863,.16051691,.09573249,.07476833,.10441673,.11592149,.14675964,.10587206,.10392054,.10208707,.10031919,.09861473,v1.03_RF3084
STATEWIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.00319206,1.75740943,1.71454412,1.70956582,1.92438391,3.28832852,3.34263812,3.35236722,2.60771917,2.2776187,2.7359423,1.82994525,1.97011024,1.82269699,2.39455033,2.94167421,3.02921099,2.84593408,2.86521786,2.88452319,2.90209417,2.92140131,v1.03_RF3084
STATEWIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.11449302,.08388006,.13130768,.11540364,.09546644,.01358288,.01193194,.01250701,.00736041,.00742235,.00743126,.0059924,.00446445,.06096244,.08232239,.02913763,.05185843,.0426353,.04258485,.04226269,.04225536,.04217334,v1.03_RF3084
