AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,5.2506566,5.96077823,4.72200927,4.37111024,3.07499959,3.27693837,3.05932449,3.00314218,3.16899095,2.69105435,2.51892647,2.3648115,2.85274451,2.56805596,2.36248562,2.07483813,1.7732582,1.71088581,1.64223833,1.58781967,1.73744101,1.73906612,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.96859032,2.76950346,1.91838098,2.08463739,2.23678094,2.24256162,2.24676935,2.13455813,2.33624907,2.75227024,2.58100429,2.50917538,2.35412058,2.3706235,2.48779531,3.14967383,2.36764804,2.40071015,2.31633596,2.32242398,2.32843989,2.3340595,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.54020101,3.62053025,3.22368745,2.74952508,3.22849387,2.46046098,2.18918247,2.57232028,2.36457735,2.33157397,2.18755192,2.31248114,1.83712787,1.83709862,1.98048333,1.93456207,1.66664063,1.5389,1.50140528,1.46549819,1.43078399,1.39717729,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.82171744,2.00551159,1.97613553,1.99404916,2.92615561,2.87156351,2.88634708,2.33153769,3.29008428,2.89102227,2.57737578,2.98945751,2.87055283,3.14970818,2.59765674,2.41944972,2.4704395,2.81037745,2.82537029,2.84036562,2.85386643,2.86887628,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.55624275,4.39638242,3.88572099,4.48410223,3.86607641,3.95921097,3.73810957,3.55289007,3.29132812,2.96150616,3.14357116,3.00942141,3.04406077,3.0514001,2.55582126,2.73652173,2.67043193,2.66986819,2.69149199,2.69484039,2.68153848,2.69840688,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.75803212,3.80549401,3.95651131,3.96079727,3.72057195,3.58648753,3.5025465,3.39295195,3.23216565,3.4362243,3.20592096,2.50349935,2.47985046,2.55768586,2.44793392,2.24579516,2.08890904,1.95164949,1.94231931,1.88982566,1.83217362,1.81419411,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,7.08216021,6.91047425,5.25589438,5.49225923,5.56622715,5.86249241,5.8283832,6.33763227,7.07739531,6.68748542,6.78913773,6.69012138,6.09860471,6.05072491,5.51496001,5.42535384,5.74132541,5.57016988,5.66521644,5.77218877,5.75859871,5.77930596,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.73531546,1.87868842,1.38650306,1.1345134,.93614243,.80668109,.70222381,.68912909,.64519655,.66518404,.61549531,.59792802,.63038615,.63686453,1.76915565,1.77736488,1.4571928,1.13704251,1.14167259,1.14486305,1.0650071,1.06997404,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.67100879,.48775167,.64714774,.59940551,1.15379854,.73606639,.83735394,.87186866,.77482691,.95483809,1.17875569,.78720046,.91088119,1.02418359,.8233357,.67615912,.80898084,.89837068,.90738205,.91515764,.92395519,.93258417,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,18.63023718,17.42078028,15.67810122,15.9006824,15.90125861,14.95384236,14.99268768,14.94677765,15.18768933,15.25461525,15.17225412,15.45448127,15.28437809,15.33328945,15.70503592,17.28625914,15.55723186,15.80584611,15.91119246,16.01374307,16.09812275,16.19725076,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,INCINERATORS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.18969638,.14899922,.09777181,.60677603,.0341062,3.24383628,1.64273696,1.48272714,1.72904249,1.3814754,1.44470081,1.5616381,1.42873937,1.35567623,2.13226563,.17262914,1.77246563,1.45656035,1.45629849,1.45688511,1.45668565,1.45641724,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.33802983,1.37229237,.2807016,.38770075,.36010802,.53798233,.46541311,.30777121,.20912113,.20698932,.16373242,.21446504,.16337977,.23262442,.22417242,.22336574,.34142305,.28209409,.28514155,.28808582,.28996355,.29311492,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,21.48394187,21.78323743,22.41013371,22.88525497,23.11325283,25.5576841,25.6109918,26.67573043,29.23463819,29.71630779,31.05547292,32.42729508,34.78171162,35.74947544,35.82140348,33.02153752,34.99605537,34.20432232,34.39759567,34.5340987,34.78424655,33.8518509,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.76802506,.92863839,.68670321,1.39391487,1.24238093,1.31206628,.7181589,1.07693748,1.29329893,.70611481,1.13539209,.71134817,1.23634792,1.21249317,1.23349386,1.23980121,1.23158785,1.28681468,1.29519898,1.30252266,1.3093224,1.31575209,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,83.00442856,72.51214347,69.25416575,51.9526169,48.65440537,45.75446678,46.60313138,46.98186976,48.734841,39.45571687,36.4598181,35.55880802,32.78114302,33.23979577,35.10709297,37.32051844,37.14518149,37.97939432,38.41627488,38.68777284,38.72117245,38.95046022,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,111.46023853,93.25403881,86.14918991,89.71108202,84.21216389,81.44026443,79.94027471,78.63034569,68.88424922,60.55333831,56.44737515,54.8223381,52.20956584,53.33356428,52.41059863,54.44562919,54.2412005,55.56720646,56.12635168,56.82874997,58.51088813,59.03543537,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,39.5810529,35.51293328,36.27881107,33.42411939,29.67220848,26.62166086,26.72584072,28.40205368,26.40861852,25.40191731,19.37333925,18.007079,16.20350041,16.70953151,15.92906399,17.03635198,17.80218768,16.88424011,17.00251233,16.78041753,15.90713393,16.48379225,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,32.0805233,28.95373395,25.85313488,22.8863925,23.41277674,23.62765661,23.1022211,23.00588812,21.97844862,20.75764894,20.83510009,20.8300448,20.28357946,20.96870447,21.40183772,21.67534906,22.29802565,22.80861836,23.15554036,23.23614074,23.10665698,23.37235412,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),ROG,ANNUAL AVERAGE,GROWN AND CONTROLLED,12.16742261,11.56785622,10.77038453,11.46487721,11.73186273,10.9191007,12.06134535,12.69448761,11.84375885,8.32378468,11.49694011,9.31640835,7.63039757,8.15865771,8.57275821,9.02978504,8.95976721,9.82654489,9.96769693,9.87812241,10.21698066,10.40741574,v1.03_RF3084
