AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,5.70601137,8.45978082,3.56524635,3.13373412,3.39788137,4.35217601,4.61405638,4.76168831,4.54913762,4.06528513,4.64631312,3.80977974,3.51186525,2.56976713,2.41967295,2.15090067,1.9188002,1.34735184,1.3250277,1.34007689,1.40627878,1.39077005,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.75584433,1.60359215,1.46515569,1.55208235,2.5605737,1.22636988,1.26416831,1.22737447,1.16188596,1.00889232,1.23538883,1.08802678,1.01724806,.94587614,.79171192,.73984119,.77985796,.72284056,.71058088,.71223613,.71395358,.71564609,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,7.42326278,2.85949871,2.25633769,1.76549018,1.91046061,1.33483885,2.11976336,2.20949663,2.28253896,2.70752049,3.15261522,2.19670301,.9191426,1.05793932,.97791479,.94426758,.85092342,.75346079,.73288478,.7130915,.69385988,.67527241,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,12.81981394,15.40947875,10.84356829,12.18400707,15.71478,11.90967625,12.42809686,12.26772905,10.2317452,7.87574963,18.29549569,8.52111505,7.96015819,7.92856354,8.63985119,7.90073143,7.14181817,7.24504348,7.75617849,8.18756726,8.1803722,8.42432308,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,17.84074035,18.62605525,17.15747217,15.62700842,11.68157641,6.40366245,6.64543871,6.25309536,6.63754303,4.59367397,7.19439809,8.7452101,8.48908766,7.61861416,7.05522725,7.59674887,8.24314373,8.72056297,8.57473992,8.47228681,8.50638527,8.36006473,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.95271793,.8337931,.62803126,.50381755,.46565897,.48347247,.62012336,.57539022,.57975805,.56148746,.55180314,.47923629,.49643134,.49869141,.54011822,.51052292,.60977151,.60865476,.61914236,.62113304,.61016274,.61368232,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.89795552,2.94077296,2.50859435,2.51623671,2.52311849,2.50172235,2.41127334,2.44073106,2.6335369,2.6093006,2.83176413,2.76392252,2.67811114,2.61632866,2.671154,2.81299549,2.72903151,2.2321172,2.25892651,2.28060087,2.28795101,2.29814994,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.19498917,.3538238,.50935876,.4805052,.30698286,.4782825,.24561738,.24229185,.42323004,.33775053,.26987614,.16422849,.19704082,.20266148,.1123729,.11410676,.10323386,.13520901,.13305697,.1719124,.2395588,.23745566,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.23863812,.08331505,.07946812,.07198057,.06610139,.18230459,.18589998,.21555853,.2302571,.21409307,.19228753,.27277126,.2745586,.19878191,.26537348,.21844931,.22146086,.21858161,.22080552,.22272385,.22458174,.22660325,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,SOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,.18287916,.21158902,.43900192,.41249815,.42924483,.46747488,.59765638,.62709818,.56684761,.61568607,.49572481,.49423072,.55478795,.64371465,.59467058,.57699107,.54866978,.85147848,.86101488,.87071172,.88117124,.89236199,v1.03_RF3084
