AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,33.33515962,36.19380868,41.54079638,41.03236057,35.41858643,33.07060317,36.63773418,39.29398971,42.69248813,31.34472643,29.32983047,26.80160496,27.62787171,27.01405486,26.20937095,25.0545336,21.76308301,20.97297992,20.12651317,19.5953049,20.97518288,21.18071991,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,COGENERATION,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,16.22129213,18.06341698,6.59854052,7.57116149,7.0839401,10.2173893,9.68562471,8.00409499,9.61427511,15.3663801,13.60337122,13.54703667,11.79903837,12.51128308,10.73349838,10.62222669,9.75510283,10.41230263,10.14642541,10.1783397,10.21189249,10.24509821,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,25.02980653,38.85872908,29.2900655,28.45629425,32.75325483,21.1745403,17.51817895,20.64190546,18.04529278,18.73369743,16.99029279,18.19079932,12.45206961,11.08220972,10.14072,9.34501083,7.67949262,7.25409259,7.10302983,6.96072849,6.82394607,6.69200607,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,3.9610659,6.51405475,4.91137058,5.0497018,4.95259316,7.26419621,7.14044011,5.78288092,8.74089835,7.60463336,5.69680502,6.91014819,7.25651118,9.77953247,6.20578155,5.58555977,5.50910748,7.60433474,7.62906398,7.65383856,7.67613363,7.70102643,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,21.22596946,19.92045772,17.42772405,18.0658527,13.61625772,14.10866847,14.8198616,13.49689258,12.37657667,11.30129131,11.36487152,12.12691582,11.14777701,11.34314079,9.94546165,10.24177003,10.13452435,10.63459645,10.69619686,10.68913856,10.62671479,10.65154319,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,6.2336979,6.42274001,6.54881012,6.94790969,6.53338398,6.19406742,5.88939264,5.82860749,5.52051798,5.78076054,5.5505528,4.31733196,4.19802706,4.25931262,4.298633,4.04877543,3.89835756,3.42105298,3.40877653,3.32562687,3.23283275,3.2060107,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,33.66021957,37.22092739,19.79216779,21.36246222,22.04869305,22.86669641,20.71382939,26.44553748,38.21890858,38.99116374,40.66623583,28.20870037,26.49113829,24.43013561,21.95224719,22.57931005,22.24973296,21.25173215,21.59105832,22.03838879,22.1770114,22.38048917,v1.03_RF3084
STATEWIDE,STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.04977347,2.25073513,1.82808888,1.6906884,1.19887309,1.18560684,1.07665145,1.14999229,1.03006276,1.19957169,1.0284074,1.00844745,1.27999717,1.29070263,2.87266562,2.73808954,2.28650302,1.94009905,1.94776608,1.95821995,1.87185396,1.88227157,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.39698262,1.01777282,1.496171,1.40761979,2.0983734,1.4180701,1.77475365,1.85043052,1.64452147,1.98129538,2.26692111,1.5837951,1.69931313,1.87939549,1.37731261,1.2766248,1.36838469,1.47206555,1.48693864,1.49928336,1.51165927,1.52410305,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,LANDFILLS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1679.30524892,1659.61992519,1688.25992597,1720.67737688,1725.55699049,1569.0749885,1559.81923685,1556.8809986,1580.42614369,1593.81189713,1600.92299772,1641.20681766,1644.64001405,1639.75485679,1699.30784573,1686.51528097,1676.14557573,1697.17363105,1707.61616057,1717.42065758,1724.30703171,1733.63785939,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,INCINERATORS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.1112333,.84112334,.56160235,1.3684122,.17026602,7.24021741,3.83499424,3.44374018,3.93552158,3.33716457,3.86444079,3.94318193,3.26665447,3.24982907,4.56465825,3.99836894,3.74479514,3.15212355,3.1532812,3.15507656,3.15668893,3.15784585,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.48467023,1.96753426,5.86264459,6.59525012,8.41056103,32.93135508,37.45848844,12.90519103,7.10760931,10.69977341,10.14680668,16.93518367,17.10862235,26.14613447,21.31513071,20.4364589,32.68209198,29.45450149,29.73908056,29.99169705,30.26461003,30.60988184,v1.03_RF3084
STATEWIDE,STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,343.79754935,350.41898596,358.75645159,366.79130445,372.75747265,382.81128295,389.68102215,397.04486505,394.6782505,398.76137039,405.06448766,409.99883623,362.62545647,364.2514026,368.20154536,368.41429502,371.48818829,362.87634998,363.35461276,365.99268218,367.90651644,368.8378556,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,7.44012283,7.12867204,6.67716651,6.91572955,6.71717765,6.99869085,7.01051499,6.64622407,7.11091269,6.70834808,7.09013756,6.47109571,6.86259614,6.84578495,6.89676776,6.9323783,6.95684566,7.09359244,7.14054733,7.17834364,7.2133625,7.24839141,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,163.24507495,143.6251977,140.39583248,123.84283437,118.50571945,114.12581916,116.04894074,116.66911792,120.38119692,110.44642096,105.99040423,104.87505321,95.8061569,97.81254236,102.39935834,106.54991713,108.60178116,111.38201913,112.22529291,112.79176762,113.05760011,113.52790436,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,118.76343144,98.78545547,90.5595874,94.99520604,88.86905362,85.77829715,84.20896152,82.68013315,72.76082872,63.61763422,59.14239439,57.45129035,54.40574941,55.40244677,54.4104207,56.49751815,56.12615966,57.43179697,58.01244479,58.72910071,60.44025181,60.98819009,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,39.57228132,35.50404484,36.26724293,33.43355884,30.23030721,26.61538958,26.72629912,28.39401775,26.40042979,25.39566386,19.36326511,18.00024797,16.1987533,16.70397225,15.92379788,17.03540091,17.79260913,16.88776195,17.006058,16.78387923,15.91027077,16.48712907,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,35.92298959,32.37340115,28.90920087,25.50587422,26.07881216,26.31987868,25.70566888,25.6066116,24.45853429,23.10280988,23.21521911,23.20236223,22.57504492,23.3378793,23.81922242,24.11306108,24.7983975,25.36921968,25.7424172,25.81873832,25.66226616,25.9485659,v1.03_RF3084
STATEWIDE,STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,12.2789808,11.66130322,10.81301569,11.50954538,11.77875398,10.97562463,12.10816177,12.74985373,11.88870615,8.36243136,15.31304044,9.36283324,7.6777,8.19980545,8.61637256,9.08395696,9.01110782,9.87739895,10.01929268,9.92956125,10.26909108,10.46059437,v1.03_RF3084
STATEWIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,160.30175383,148.81651155,143.51115976,133.01997752,124.15845278,113.61525466,111.21225778,98.72395779,96.49205185,82.58393903,79.88279115,80.70154614,78.70243824,79.83293091,81.50655499,80.06969425,71.65366312,68.45632744,67.08550539,65.80824415,64.58115404,63.4006144,v1.03_RF3084
STATEWIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,48.81832486,20.30890329,26.88961969,19.60641294,15.38944793,15.98201978,15.92973667,15.54663095,14.4636661,13.82425275,19.90339804,15.41169819,15.95013518,16.23564885,17.10465393,17.66255792,16.33421235,16.8645812,16.92145477,17.02094273,17.11148059,17.21078145,v1.03_RF3084
STATEWIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,452.47866044,437.52594531,441.68197565,438.73931671,459.36245823,443.36038572,439.88983024,433.4163492,402.61718396,395.20391937,402.3414764,405.45200522,406.09279691,411.06022413,373.44164701,374.52482282,383.38559024,387.12460163,385.61782225,395.32442381,391.54439569,389.87919873,v1.03_RF3084
STATEWIDE,STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.31879178,.33379454,.07837293,.10196558,.12098813,.18740439,.19401333,.14980865,.16395228,.16244981,18.49130191,.18634767,.23617466,.26477073,.18808827,.19316607,.18815022,.248786,.25158148,.2590442,.26123841,.26234541,v1.03_RF3084
STATEWIDE,STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,26.06578768,19.4571831,21.40891918,22.52174264,21.37568005,19.25153009,18.82665683,18.49257508,16.57487105,15.79673681,15.93936046,14.94823785,18.5347706,15.52029178,15.12231578,17.682061,18.38475619,15.725233,15.79340787,15.90170818,15.67858157,15.68528002,v1.03_RF3084
STATEWIDE,STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,13.24537013,12.83298988,12.44901037,12.89733735,12.67367422,13.78814048,13.62074268,15.49956439,17.07051638,17.8314306,16.85456355,15.85724911,17.19981157,17.79141381,18.08916747,19.19827795,19.14783337,19.23500555,19.54648391,19.33178148,19.48128354,19.54391974,v1.03_RF3084
STATEWIDE,STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,8.16357927,5.30990191,5.6486784,5.71368465,6.5523433,6.41242689,6.7199032,5.79295413,5.12973071,3.76001589,4.4119603,3.97023798,4.09356176,3.72149589,4.06447319,4.06750505,3.51762657,5.61742521,5.68865186,5.69461333,5.56692167,5.82492837,v1.03_RF3084
STATEWIDE,STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,2.03729536,1.16846497,.81340693,.83923733,.85470381,.9142964,.76039311,.56047859,.69761166,.52169066,2.27543777,.51151495,.59421835,.61169501,.47891906,.5340518,.4905531,.52353217,.5328077,.54172771,.55079096,.55822266,v1.03_RF3084
STATEWIDE,STATIONARY,INDUSTRIAL PROCESSES,WOOD AND PAPER,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.32826487,3.62785961,3.665757,3.55924061,3.69389233,3.97240942,4.69600026,4.42205224,3.9645046,2.88133949,5.13183829,5.13461869,2.64431947,2.62184634,2.86550518,2.85485849,2.74376112,2.70673737,2.74114947,2.73000955,2.66282648,2.7746776,v1.03_RF3084
STATEWIDE,STATIONARY,INDUSTRIAL PROCESSES,GLASS AND RELATED PRODUCTS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,.23183307,.20446575,.52661263,.47012451,.81144598,.05012552,.0678961,.08970178,.0294871,.01826082,.01938065,.01139735,.0305188,.04105837,.11285543,.0521371,.01698256,.01425816,.01435014,.01444212,.01453412,.01473665,v1.03_RF3084
STATEWIDE,STATIONARY,INDUSTRIAL PROCESSES,ELECTRONICS,TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,1.08360545,1.09386306,1.02799808,.77145588,.69811728,.51281807,.47798046,.55473915,.61025636,.46834552,.42581262,.38845231,.37456859,.41647985,.5480913,.39681097,.38319449,.28963357,.29479347,.30010796,.30571584,.31087769,v1.03_RF3084
STATEWIDE,STATIONARY,INDUSTRIAL PROCESSES,OTHER (INDUSTRIAL PROCESSES),TOG,ANNUAL AVERAGE,GROWN AND CONTROLLED,19.21328457,27.75615022,17.06949307,17.32209901,18.82968974,20.28594711,17.85713419,17.85757943,17.68884133,16.8019996,15.82660673,14.6839386,12.85764841,12.57209029,14.28679806,16.05037933,15.36928089,17.78731696,17.94724709,18.04865974,18.09843592,18.15018562,v1.03_RF3084
