src_type,category,subcategory,year,co,nh3,nox,pm,pm10,pm2_5,rog,sox,tog
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES,2000,87.74786138,5.58748577,66.24921828,8.88315966,8.2738292,7.99029563,5.2506566,5.70601137,33.33515962
STATIONARY,FUEL COMBUSTION,COGENERATION,2000,47.06017938,2.00565611,29.04328905,4.22409901,3.51897089,3.71318742,2.96859032,1.75584433,16.22129213
STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION),2000,18.72358142,0.03866617,28.96063918,1.98444475,1.92755343,1.97173922,2.54020101,7.42326278,25.02980653
STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION),2000,10.25264437,1.38019295,47.00664063,4.45612197,4.22958523,4.16730294,1.82171744,12.81981394,3.9610659
STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL,2000,134.59306835,2.88471689,87.50777229,7.0474668,7.14946215,6.96097837,4.55624275,17.84074035,21.22596946
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING,2000,29.96512538,0.07157123,41.97958418,2.54174353,2.16828188,2.18654715,3.75803212,0.95271793,6.2336979
STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL,2000,55.01536193,2.37019157,75.07507402,4.55330702,4.44877802,4.34556282,7.08216021,2.89795552,33.66021957
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION),2000,5.14553654,0.0,14.75062209,7.50133762,7.47817101,4.04479127,1.73531546,0.19498917,2.04977347
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT,2000,0.21193339,2.4815942,0.36724931,0.01984855,0.01551099,0.01473578,0.67100879,0.23863812,1.39698262
STATIONARY,WASTE DISPOSAL,LANDFILLS,2000,0.77086891,7.15178609,0.58403352,0.8244747,0.35582141,0.30536384,18.63023718,0.18287916,1679.30524892
STATIONARY,WASTE DISPOSAL,INCINERATORS,2000,1.01207034,0.0,1.74263828,0.19871329,0.10792179,0.09028144,0.18969638,0.12730643,1.1112333
STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION,2000,0.10595616,0.0,0.10176439,0.12099454,0.0934796,0.05102655,0.33802983,0.02791782,0.48467023
STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL),2000,0.00027397,13.73758634,0.09658623,0.29618497,0.14248039,0.08980484,21.48394187,0.00101644,343.79754935
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.76802506,0.0,7.44012283
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING,2000,0.0,0.08610819,0.0,0.00014315,0.0001429,0.00014269,83.00442856,0.0,163.24507495
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS,2000,0.11033067,0.15052047,0.14576302,1.10611538,1.05571903,1.01146426,111.46023853,0.04325974,118.76343144
STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING,2000,0.00671233,0.15017007,0.03960822,0.00149864,0.00139819,0.00123494,39.5810529,0.00012329,39.57228132
STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS,2000,0.00032877,0.00190259,5.479e-05,0.00523288,0.00510622,0.00480454,32.0805233,0.0,35.92298959
STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS),2000,0.0,0.0121681,0.0,0.00821918,0.00789041,0.00761671,12.16742261,0.0,12.2789808
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION,2000,1.50330611,0.24052261,4.01487355,0.08125047,0.06224772,0.06014431,61.47195184,0.92249839,160.30175383
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING,2000,5.98703674,2.7425809,9.89840376,3.83954922,2.43648496,2.00319206,38.31211296,56.59373362,48.81832486
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING,2000,1.77505135,0.05330443,0.71361333,0.5814234,0.30977523,0.11449302,81.5215868,0.0015164,452.47866044
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING),2000,0.0,4.385e-05,0.0,0.0,0.0,0.0,0.28172598,0.0,0.31879178
STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL,2000,0.5824915,2.16813353,2.0514387,4.27459714,3.60412441,3.27970797,23.03616669,3.00180635,26.06578768
STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE,2000,0.90412415,0.40957253,0.71023417,31.23794662,14.37053258,3.75482032,12.25025167,1.80140474,13.24537013
