,Year,Capacity (MW),Net MWh
0,2021,16854.3,37824855
1,2020,15955.0,34275146
2,2019,14267.1,32829129
3,2018,13549.1,31836865
4,2017,12710.6,28617314
5,2016,11634.9,23221090
6,2015,8493.4,18076813
7,2014,7064.2,12773152
8,2013,4448.5,5516023
9,2012,1594.0,2404798
10,2011,633.7,1112014
11,2010,522.9,965742
12,2009,421.4,854414
13,2008,407.2,733547
14,2007,402.6,667958
15,2006,402.6,615888
16,2005,379.8,660322
17,2004,379.8,741079
18,2003,379.8,758520
19,2002,380.0,850787
20,2001,412.2,836284
21,2000,,860000
22,1999,,838000
23,1998,,839000
24,1997,,810000
25,1996,,832000
26,1995,,793000
27,1994,,198000
28,1993,,857000
29,1992,,700000
30,1991,,719000
31,1990,,681000
32,1989,,471000
33,1988,,315000
34,1987,,188000
35,1986,,64000
36,1985,,33000
37,1984,,11000
38,1983,,2000
