,Year,Company Name,CEC Plant ID,Plant Name,State,Capacity (MW),Net MWh,type
0,2021.0,Not Available,S9210,Abby Power LLC,CA,1.5,2628.0,pv
1,2021.0,Onward Energy,S0312,Adams East LLC,CA,19.0,44739.0,pv
2,2021.0,Adelanto Solar LLC,S0410,Adelanto Solar I,CA,20.0,55889.0,pv
3,2021.0,Adelanto Solar LLC,S0411,Adelanto Solar II,CA,7.0,17264.0,pv
4,2021.0,Los Angeles Department of Water & Power (LADWP),S0218,Adelanto Solar Power Project,CA,10.0,8724.0,pv
5,2021.0,Adera Solar LLC,S0421,Adera Solar,CA,20.0,27106.0,pv
6,2021.0,Southern Power Company,S0308,Adobe Solar,CA,20.0,46569.0,pv
7,2021.0,Not Available,S9149,Advanced Micro Decives,CA,3.0,4865.0,pv
8,2021.0,Altus Power America Inc,S0116,Aerojet I (3.6MW) Solar Plant,CA,3.6,5916.0,pv
9,2021.0,Altus Power America Inc,S0130,Aerojet II (2.4MW) Solar Plant,CA,2.4,4042.0,pv
10,2021.0,Not Available,S9200,Agua Caliente (Bena A),CA,1.5,2628.0,pv
11,2021.0,Not Available,S9047,Airport Division City of San Jose,CA,1.0,1622.0,pv
12,2021.0,Not Available,S9121,Alameda Water District,CA,1.3,2027.0,pv
13,2021.0,Onward Energy,S0333,Alamo Solar LLC,CA,20.0,46386.0,pv
14,2021.0,Algonquin Power Sanger LLC,S0606,Algonquin Power SKIC 10 Solar LLC,CA,10.0,19730.0,pv
15,2021.0,Algonquin Power Sanger LLC,S0525,Algonquin Power SKIC 20 Solar LLC,CA,20.0,46413.0,pv
16,2021.0,Southern Power Company,S0324,Alhambra Solar Facility,CA,50.0,129462.0,pv
17,2021.0,Not Available,S9046,Almond Process Parreira,CA,1.0,1622.0,pv
18,2021.0,CED California Holdings LLC,S0246,Alpaugh 50 LLC,CA,50.0,113171.0,pv
19,2021.0,CED California Holdings LLC,S0247,Alpaugh North LLC,CA,20.0,43595.0,pv
20,2021.0,NRG Solar Alpine LLC,S0237,Alpine Solar,CA,66.0,159278.0,pv
21,2021.0,Not Available,S9006,Alza Corporation (700 Eubanks),CA,1.0,1622.0,pv
22,2021.0,Goldman Sachs,S0702,American Kings,CA,123.0,311458.0,pv
23,2021.0,Not Available,S9110,Amir Development Company,CA,1.1,1847.0,pv
24,2021.0,Not Available,S9211,Amy Solar LLC,CA,1.5,2628.0,pv
25,2021.0,Not Available,S9137,Angels PH Utica Power Authority,CA,1.8,2838.0,pv
26,2021.0,Not Available,S9074,Anheuser Busch Fairfield PV Phase/Anheuser Busch,CA,1.0,1622.0,pv
27,2021.0,Not Available,S9148,ANHEUSER BUSCH INC,CA,1.0,1707.0,pv
28,2021.0,Not Available,S9212,Annie Power LLC,CA,1.5,2628.0,pv
29,2021.0,S-Power (Sustainable Power Group),S0548,Antelope Big Sky Ranch,CA,20.0,51040.0,pv
30,2021.0,S-Power (Sustainable Power Group),S0552,Antelope DSR 1 - Big Sky Solar 1,CA,50.0,131210.0,pv
31,2021.0,S-Power (Sustainable Power Group),S0553,Antelope DSR 2 - Big Sky Solar 2,CA,5.0,14213.0,pv
32,2021.0,S-Power (Sustainable Power Group),S0694,Antelope DSR 3,CA,20.0,59016.0,pv
33,2021.0,S-Power (Sustainable Power Group),S0663,Antelope Expansion 2,CA,105.0,254647.0,pv
34,2021.0,S-Power (Sustainable Power Group),S0716,Antelope Expansion 3A,CA,15.0,23230.0,pv
35,2021.0,Tesla Inc.,S0645,Antelope Valley Lancaster Solar 1 (Avenue F),CA,4.3,8145.0,pv
36,2021.0,AV Solar Ranch 1 LLC,S0241,Antelope Valley Solar Ranch 1,CA,250.0,593690.0,pv
37,2021.0,Not Available,S0422,AP North Lake Solar,CA,20.0,39066.0,pv
38,2021.0,Not Available,S9075,Applied Materials Inc.,CA,1.0,1622.0,pv
39,2021.0,"Aquamarine Westside, LLC",S0721,Aquamarine Westside,CA,250.0,99194.0,pv
40,2021.0,Southern Power Company,S0325,Arkansas Solar Facility,CA,50.0,132450.0,pv
41,2021.0,S-Power (Sustainable Power Group),S0616,Aspiration Solar,CA,9.0,22327.0,pv
42,2021.0,Not Available,S9073,AT&T San Ramon (PV)/AT&T Services Inc,CA,1.0,1622.0,pv
43,2021.0,Not Available,S9142,AT&T Services Inc.,CA,2.1,3446.0,pv
44,2021.0,Not Available,S9025,AT&T Services Inc.,CA,1.0,1622.0,pv
45,2021.0,Tesla Inc.,S0620,ATT (DirecTV Broadcast),CA,1.0,1400.0,pv
46,2021.0,Not Available,S0323,Atwell Island PV Solar Generating Facility,CA,20.0,35184.0,pv
47,2021.0,CED California Holdings LLC,S0336,Atwell Island West LLC CED,CA,20.0,37024.0,pv
48,2021.0,Augustine Energy Corporation,S0460,Augustine Energy PV,CA,3.0,5256.0,pv
49,2021.0,Eurus Energy America Corporation,S0126,Avenal Park Solar,CA,6.0,11002.0,pv
50,2021.0,Not Available,S9213,Ayden Power LLC,CA,1.5,2628.0,pv
51,2021.0,Not Available,S0642,Bakersfield Industrial 1,CA,1.0,2137.0,pv
52,2021.0,Not Available,S0643,Bakersfield Solar 1,CA,5.3,10156.0,pv
53,2021.0,Tesla Inc.,S0662,BART Lafayette,CA,1.0,1226.0,pv
54,2021.0,S-Power (Sustainable Power Group),S0615,Bayshore Solar A,CA,20.0,55502.0,pv
55,2021.0,S-Power (Sustainable Power Group),S0613,Bayshore Solar B,CA,20.0,54027.0,pv
56,2021.0,S-Power (Sustainable Power Group),S0614,Bayshore Solar C,CA,20.0,53454.0,pv
57,2021.0,CD Arevon USA Inc.,S0637,Beacon 2,CA,45.0,126375.0,pv
58,2021.0,S-Power (Sustainable Power Group),S0554,Beacon 3,CA,60.0,139547.0,pv
59,2021.0,S-Power (Sustainable Power Group),S0555,Beacon 4,CA,50.0,124029.0,pv
60,2021.0,CD Arevon USA Inc.,S0638,Beacon 5,CA,36.0,99880.0,pv
61,2021.0,S-Power (Sustainable Power Group),S0587,Beacon Solar 1,CA,56.0,140920.0,pv
62,2021.0,Bear Creek Solar LLC,S0303,Bear Creek Solar,CA,1.5,3832.0,pv
63,2021.0,Not Available,S9214,Becca Solar LLC,CA,1.5,2628.0,pv
64,2021.0,Not Available,S9038,Beret & Kees Jan De Jong,CA,1.0,1622.0,pv
65,2021.0,Blackwell Solar LLC,S0339,Blackwell Solar,CA,12.0,33742.0,pv
66,2021.0,Clearway Energy,S0111,Blythe 1 Solar,CA,21.0,42534.0,pv
