,County,Capacity (MW),Net MWh,year
0,Alameda,17.8,29393,2021
1,Amador,1.5,1971,2021
2,Butte,8.7,13324,2021
3,Calaveras,1.8,2838,2021
4,"Clark, NV",811.6,2000674,2021
5,Contra Costa,42.5,76815,2021
6,Fresno,1008.1,2257616,2021
7,Glenn,1.5,3211,2021
8,Humboldt,10.8,14916,2021
9,Imperial,1708.5,4119994,2021
10,Kern,3198.8,8258050,2021
11,Kings,1140.3,1485032,2021
12,Lake,3.0,4866,2021
13,Lassen,2.5,5992,2021
14,Los Angeles,1287.9,3112714,2021
15,Madera,25.0,35047,2021
16,"Maricopa, AZ",546.8,1446962,2021
17,Marin,2.5,3929,2021
18,Mendocino,7.0,12134,2021
19,Merced,339.0,852955,2021
20,Monterey,140.1,359662,2021
21,Napa,2.0,3244,2021
22,Orange,2.8,4906,2021
23,Placer,5.5,7535,2021
24,Riverside,2275.0,5057430,2021
25,Sacramento,313.2,624798,2021
26,San Benito,146.2,368126,2021
27,San Bernardino,1793.6,3041629,2021
28,San Diego,153.1,349290,2021
29,San Francisco,14.4,22339,2021
30,San Joaquin,33.8,54991,2021
31,San Luis Obispo,961.8,2381214,2021
32,Santa Barbara,40.0,78187,2021
33,Santa Clara,29.5,47959,2021
34,Santa Cruz,1.3,2108,2021
35,Shasta,8.0,21447,2021
36,Solano,30.5,46023,2021
37,Sonoma,15.2,22779,2021
38,Stanislaus,48.2,117644,2021
39,Sutter,2.5,3941,2021
40,Tehama,17.4,29969,2021
41,Tulare,346.4,702961,2021
42,Tuolumne,1.5,3694,2021
43,Ventura,3.7,6491,2021
44,Yolo,12.1,18791,2021
45,Yuba,1.0,1622,2021
46,"Yuma, AZ",290.0,707643,2021
47,Alameda,17.8,29393,2020
48,Amador,1.5,1971,2020
49,Butte,8.7,13208,2020
50,Calaveras,1.8,2838,2020
51,"Clark, NV",811.6,2049265,2020
52,Contra Costa,42.5,74612,2020
53,Fresno,1008.1,1877875,2020
54,Glenn,1.5,3499,2020
55,Humboldt,8.5,14896,2020
56,Imperial,1708.5,4002123,2020
57,Kern,3198.8,7465103,2020
58,Kings,590.3,1064038,2020
59,Lake,3.0,4866,2020
60,Lassen,2.5,6056,2020
61,Los Angeles,1272.9,3002953,2020
62,Madera,25.0,45418,2020
63,"Maricopa, AZ",546.8,1496157,2020
64,Marin,2.5,3640,2020
65,Mendocino,7.0,12134,2020
66,Merced,339.0,820661,2020
67,Monterey,140.1,357140,2020
68,Napa,2.0,3244,2020
69,Orange,2.8,4906,2020
70,Placer,5.5,7535,2020
71,Riverside,2043.0,3611670,2020
72,Sacramento,313.2,281095,2020
73,San Benito,146.2,337190,2020
74,San Bernardino,1693.6,3086509,2020
75,San Diego,153.1,336655,2020
76,San Francisco,14.4,22356,2020
77,San Joaquin,33.8,68025,2020
78,San Luis Obispo,961.8,2317767,2020
79,Santa Barbara,40.0,93242,2020
80,Santa Clara,29.5,46830,2020
81,Santa Cruz,1.3,2108,2020
82,Shasta,8.0,13691,2020
83,Solano,30.5,44049,2020
84,Sonoma,15.2,23933,2020
85,Stanislaus,48.2,114697,2020
86,Sutter,2.5,3941,2020
87,Tehama,17.4,25845,2020
88,Tulare,346.4,723613,2020
89,Tuolumne,1.5,3606,2020
90,Ventura,3.7,6505,2020
91,Yolo,12.1,21551,2020
92,Yuba,1.0,1622,2020
93,"Yuma, AZ",290.0,725116,2020
94,Alameda,17.8,29133,2019
95,Amador,1.5,1971,2019
96,Butte,8.7,13165,2019
97,Calaveras,1.8,2838,2019
98,"Clark, NV",811.6,2032269,2019
99,Contra Costa,42.5,79125,2019
100,Fresno,848.1,1980601,2019
101,Glenn,1.5,3564,2019
102,Humboldt,8.5,15613,2019
103,Imperial,1638.5,3759558,2019
104,Kern,2877.0,7086345,2019
105,Kings,467.3,1086560,2019
106,Lake,3.0,4866,2019
107,Lassen,2.5,6076,2019
108,Los Angeles,1271.7,2813947,2019
109,Madera,25.0,50836,2019
110,"Maricopa, AZ",546.8,1462859,2019
111,Marin,2.5,3751,2019
112,Mendocino,7.0,12134,2019
113,Merced,139.0,327109,2019
114,Monterey,140.1,359926,2019
115,Napa,2.0,3244,2019
116,Orange,2.8,4906,2019
117,Placer,5.5,7535,2019
118,Riverside,1418.0,3391676,2019
119,Sacramento,140.2,282984,2019
120,San Benito,146.2,393341,2019
121,San Bernardino,1693.6,3121308,2019
122,San Diego,147.6,341940,2019
123,San Francisco,14.4,22594,2019
124,San Joaquin,33.8,66339,2019
125,San Luis Obispo,961.8,2209020,2019
126,Santa Barbara,40.0,104070,2019
127,Santa Clara,29.5,47934,2019
128,Santa Cruz,1.3,2108,2019
129,Shasta,8.0,14153,2019
130,Solano,30.5,39292,2019
131,Sonoma,15.2,23151,2019
132,Stanislaus,48.2,118004,2019
133,Sutter,2.5,3941,2019
134,Tehama,9.0,12441,2019
135,Tulare,346.4,736733,2019
136,Tuolumne,1.5,3653,2019
137,Ventura,3.7,6421,2019
138,Yolo,12.1,21308,2019
139,Yuba,1.0,1622,2019
140,"Yuma, AZ",290.0,717163,2019
141,Alameda,17.8,29777,2018
142,Amador,1.5,1971,2018
143,Butte,8.7,13165,2018
144,Calaveras,1.8,2838,2018
145,"Clark, NV",811.6,2091533,2018
146,Contra Costa,42.5,78899,2018
147,Fresno,848.1,2062685,2018
148,Glenn,1.5,3458,2018
149,Humboldt,8.5,13764,2018
150,Imperial,1488.5,2935498,2018
151,Kern,2586.4,6724658,2018
152,Kings,467.3,1170279,2018
153,Lake,3.0,4866,2018
154,Lassen,2.5,1123,2018
155,Los Angeles,1151.7,2526913,2018
156,Madera,25.0,51470,2018
157,"Maricopa, AZ",546.8,1480934,2018
158,Marin,2.5,3827,2018
159,Mendocino,7.0,12134,2018
160,Merced,139.0,351417,2018
161,Monterey,140.1,377523,2018
162,Napa,2.0,3244,2018
163,Orange,2.8,4906,2018
164,Placer,5.5,7535,2018
165,Riverside,1418.0,3587881,2018
166,Sacramento,140.2,291068,2018
167,San Benito,146.2,224277,2018
168,San Bernardino,1693.6,3430218,2018
169,San Diego,147.6,353837,2018
170,San Francisco,14.4,22927,2018
171,San Joaquin,33.8,27060,2018
172,San Luis Obispo,811.8,2028636,2018
173,Santa Barbara,40.0,116698,2018
174,Santa Clara,29.5,47130,2018
175,Santa Cruz,1.3,2108,2018
176,Shasta,8.0,13821,2018
177,Solano,24.2,40613,2018
178,Sonoma,14.2,21913,2018
179,Stanislaus,48.2,122292,2018
180,Sutter,2.5,3941,2018
181,Tehama,9.0,12441,2018
182,Tulare,346.4,775065,2018
183,Tuolumne,1.5,3124,2018
184,Ventura,3.7,6359,2018
185,Yolo,12.1,22091,2018
186,Yuba,1.0,1622,2018
187,"Yuma, AZ",290.0,727327,2018
188,Alameda,17.8,28595,2017
189,Amador,1.5,1971,2017
190,Butte,8.7,13493,2017
191,Calaveras,1.8,2838,2017
192,"Clark, NV",811.6,2054821,2017
193,Contra Costa,41.5,60919,2017
194,Fresno,746.0,1180804,2017
195,Glenn,1.5,3554,2017
196,Imperial,1128.2,2694350,2017
197,Kern,2397.4,6038599,2017
198,Kings,467.3,1155567,2017
199,Lake,3.0,4866,2017
200,Los Angeles,993.2,2249758,2017
201,Madera,25.0,47894,2017
202,"Maricopa, AZ",546.8,1503251,2017
203,Marin,2.5,3632,2017
204,Mendocino,7.0,12134,2017
205,Merced,139.0,356666,2017
206,Monterey,140.1,63192,2017
207,Napa,2.0,3244,2017
208,Orange,2.8,4906,2017
209,Placer,5.5,7535,2017
210,Riverside,1403.5,3535981,2017
211,Sacramento,135.2,274922,2017
212,San Benito,246.2,22710,2017
213,San Bernardino,1653.6,3240415,2017
214,San Diego,147.6,334602,2017
215,San Francisco,14.4,22567,2017
216,San Joaquin,15.3,15426,2017
217,San Luis Obispo,811.8,1916877,2017
218,Santa Barbara,40.0,10960,2017
219,Santa Clara,29.5,47780,2017
220,Santa Cruz,1.3,2108,2017
221,Shasta,8.0,20285,2017
222,Solano,21.2,32146,2017
223,Sonoma,14.2,22238,2017
224,Stanislaus,48.2,119096,2017
225,Sutter,2.5,3941,2017
226,Tehama,9.0,12441,2017
227,Tulare,310.6,746475,2017
228,Tuolumne,1.5,2978,2017
229,Ventura,3.7,6544,2017
230,Yolo,12.1,22682,2017
231,Yuba,1.0,1622,2017
232,"Yuma, AZ",290.0,709929,2017
233,Alameda,14.5,23570,2016
234,Amador,1.5,1971,2016
235,Butte,8.7,12689,2016
236,Calaveras,1.8,2838,2016
237,"Clark, NV",811.6,1683397,2016
238,Contra Costa,31.0,60481,2016
239,Fresno,536.0,912783,2016
240,Glenn,1.5,3115,2016
241,Imperial,1047.5,2648985,2016
242,Kern,2307.9,3811052,2016
243,Kings,452.3,951424,2016
244,Lake,3.0,4866,2016
245,Los Angeles,878.5,1457930,2016
246,Madera,25.0,46263,2016
247,"Maricopa, AZ",546.8,870237,2016
248,Marin,2.5,3260,2016
249,Mendocino,7.0,12134,2016
250,Merced,139.0,359441,2016
251,Monterey,9.0,15118,2016
252,Napa,2.0,3244,2016
253,Orange,2.8,4906,2016
254,Placer,5.5,7535,2016
255,Riverside,1359.8,3168737,2016
256,Sacramento,127.7,257762,2016
257,San Benito,6.2,12628,2016
258,San Bernardino,1616.8,3090132,2016
259,San Diego,120.3,309907,2016
260,San Francisco,14.4,22901,2016
261,San Joaquin,9.0,15708,2016
262,San Luis Obispo,811.8,1963436,2016
263,Santa Clara,29.5,48722,2016
264,Santa Cruz,2.5,4210,2016
265,Shasta,8.0,14560,2016
266,Solano,16.3,27595,2016
267,Sonoma,14.2,21959,2016
268,Stanislaus,48.2,97212,2016
269,Sutter,2.5,3941,2016
270,Tehama,9.0,12441,2016
271,Tulare,295.1,473759,2016
272,Tuolumne,1.5,3791,2016
273,Ventura,3.7,6544,2016
274,Yolo,12.1,22752,2016
275,Yuba,1.0,1622,2016
276,"Yuma, AZ",290.0,743533,2016
277,Alameda,14.5,23326,2015
278,Amador,1.5,1971,2015
279,Butte,8.7,13269,2015
280,Calaveras,1.8,2838,2015
281,"Clark, NV",559.4,1088088,2015
282,Contra Costa,31.0,28825,2015
283,Fresno,270.7,518144,2015
284,Imperial,878.8,2321502,2015
285,Kern,1246.3,3036332,2015
286,Kings,228.8,517820,2015
287,Lake,3.0,4866,2015
288,Los Angeles,543.1,1221271,2015
289,Madera,25.0,9672,2015
290,"Maricopa, AZ",279.0,754561,2015
291,Marin,1.5,2432,2015
292,Mendocino,7.0,12134,2015
293,Merced,139.0,63888,2015
294,Monterey,9.0,15118,2015
295,Napa,2.0,3244,2015
296,Orange,2.8,3270,2015
297,Placer,5.5,7535,2015
298,Riverside,1015.8,2150891,2015
299,Sacramento,116.8,257602,2015
300,San Benito,4.0,8484,2015
301,San Bernardino,1527.3,2392266,2015
302,San Diego,117.3,150416,2015
303,San Francisco,14.4,22781,2015
304,San Joaquin,9.0,15697,2015
305,San Luis Obispo,811.8,2010589,2015
306,Santa Clara,29.5,48803,2015
307,Santa Cruz,2.5,4210,2015
308,Shasta,8.0,14723,2015
309,Solano,30.3,53384,2015
310,Sonoma,14.2,22655,2015
311,Stanislaus,28.2,69300,2015
312,Sutter,2.5,3941,2015
313,Tehama,9.0,12441,2015
314,Tulare,186.1,417123,2015
315,Tuolumne,1.5,3784,2015
316,Ventura,3.7,3105,2015
317,Yolo,12.1,23154,2015
318,Yuba,1.0,1622,2015
319,"Yuma, AZ",290.0,739734,2015
320,Alameda,14.5,23657,2014
321,Amador,1.5,1971,2014
322,Butte,8.7,10953,2014
323,Calaveras,1.8,2838,2014
324,"Clark, NV",407.5,496002,2014
325,Contra Costa,12.0,19773,2014
326,Fresno,197.9,383055,2014
327,Imperial,858.8,1793661,2014
328,Kern,837.1,1362469,2014
329,Kings,178.0,272443,2014
330,Lake,3.0,4866,2014
331,Los Angeles,505.5,893738,2014
332,Madera,5.0,8500,2014
333,"Maricopa, AZ",279.0,771342,2014
334,Marin,1.5,2432,2014
335,Mendocino,7.0,1622,2014
336,Merced,5.0,8110,2014
337,Monterey,9.0,15118,2014
338,Napa,2.0,3244,2014
339,Placer,5.5,7535,2014
340,Riverside,851.3,1771095,2014
341,Sacramento,115.8,253256,2014
342,San Benito,2.5,3711,2014
343,San Bernardino,1265.9,1392372,2014
344,San Diego,60.4,126846,2014
345,San Francisco,14.4,22626,2014
346,San Joaquin,9.0,11973,2014
347,San Luis Obispo,811.8,1805152,2014
348,Santa Clara,29.5,48622,2014
349,Santa Cruz,2.5,4210,2014
350,Shasta,8.0,13870,2014
351,Solano,28.3,23736,2014
352,Sonoma,14.2,20079,2014
353,Stanislaus,28.2,70059,2014
354,Sutter,2.5,3941,2014
355,Tehama,9.0,12441,2014
356,Tulare,166.1,341261,2014
357,Tuolumne,1.5,3751,2014
358,Yolo,12.1,17805,2014
359,Yuba,1.0,1622,2014
360,"Yuma, AZ",290.0,741394,2014
361,Alameda,14.5,23799,2013
362,Amador,1.5,0,2013
363,Butte,8.7,5263,2013
364,Calaveras,1.8,2838,2013
365,"Clark, NV",152.5,352555,2013
366,Contra Costa,12.0,18032,2013
367,Fresno,159.6,308393,2013
368,Imperial,646.1,257142,2013
369,Kern,279.2,287012,2013
370,Kings,109.0,165556,2013
371,Lake,3.0,4866,2013
372,Los Angeles,388.4,697800,2013
373,Madera,5.0,8500,2013
374,Marin,1.5,2432,2013
375,Mendocino,1.0,1622,2013
376,Merced,5.0,8110,2013
377,Monterey,9.0,15118,2013
378,Napa,2.0,3244,2013
379,Placer,5.5,1622,2013
380,Riverside,480.0,194165,2013
381,Sacramento,117.8,273361,2013
382,San Benito,1.0,1622,2013
383,San Bernardino,927.9,808603,2013
384,San Diego,49.2,78676,2013
385,San Francisco,14.4,23214,2013
386,San Joaquin,5.5,6487,2013
387,San Luis Obispo,560.3,842596,2013
388,Santa Clara,29.5,48373,2013
389,Santa Cruz,2.5,4210,2013
390,Shasta,5.0,1620,2013
391,Solano,14.3,22497,2013
392,Sonoma,12.7,10455,2013
393,Stanislaus,28.2,71779,2013
394,Sutter,2.5,3284,2013
395,Tehama,9.0,3244,2013
396,Tulare,132.8,260241,2013
397,Tuolumne,1.5,81,2013
398,Yolo,5.1,8895,2013
399,Yuba,1.0,1622,2013
400,"Yuma, AZ",243.0,687092,2013
401,Alameda,14.5,23542,2012
402,Butte,3.2,5263,2012
403,Calaveras,1.8,2838,2012
404,"Clark, NV",152.5,139551,2012
405,Contra Costa,10.5,17181,2012
406,Fresno,124.1,202232,2012
407,Imperial,23.0,28822,2012
408,Kern,144.2,36361,2012
409,Kings,46.0,97708,2012
410,Lake,3.0,4866,2012
411,Los Angeles,42.2,47363,2012
412,Madera,2.0,3244,2012
413,Marin,1.5,2432,2012
414,Mendocino,1.0,1622,2012
415,Merced,5.0,8110,2012
416,Monterey,5.0,8110,2012
417,Napa,2.0,3244,2012
418,Placer,1.0,1622,2012
419,Riverside,38.6,58450,2012
420,Sacramento,117.8,179245,2012
421,San Benito,1.0,1622,2012
422,San Bernardino,484.8,967622,2012
423,San Diego,6.7,9629,2012
424,San Francisco,14.4,22849,2012
425,San Joaquin,4.0,6487,2012
426,San Luis Obispo,3.4,5555,2012
427,Santa Clara,27.0,43747,2012
428,Santa Cruz,2.5,4210,2012
429,Shasta,1.0,1620,2012
430,Solano,11.8,20249,2012
431,Sonoma,6.4,10455,2012
432,Stanislaus,28.2,25805,2012
433,Sutter,2.0,3284,2012
434,Tehama,2.0,3244,2012
435,Tulare,10.8,18133,2012
436,Yolo,5.1,8754,2012
437,Yuba,1.0,1622,2012
438,"Yuma, AZ",243.0,378105,2012
439,Alameda,1.0,1907,2011
440,Fresno,55.0,32165,2011
441,Kern,1.0,1752,2011
442,Kings,45.0,43210,2011
443,Los Angeles,18.1,12360,2011
444,Riverside,21.0,51279,2011
445,Sacramento,8.2,12460,2011
446,San Bernardino,465.5,926747,2011
447,San Diego,2.2,2804,2011
448,San Francisco,4.5,6751,2011
449,Solano,2.0,4267,2011
450,Stanislaus,1.4,1782,2011
451,Tulare,7.8,12497,2011
452,Yolo,1.0,2034,2011
453,Alameda,1.0,481,2010
454,Fresno,5.0,7175,2010
455,Kern,1.0,1752,2010
456,Kings,39.0,0,2010
457,Los Angeles,11.7,3111,2010
458,Riverside,21.0,48071,2010
459,Sacramento,8.2,11072,2010
460,San Bernardino,419.1,884182,2010
461,San Diego,1.2,1686,2010
462,San Francisco,4.5,1225,2010
463,Solano,2.0,4122,2010
464,Stanislaus,1.4,758,2010
465,Tulare,7.8,2108,2010
466,Kern,1.0,1752,2009
467,Los Angeles,8.5,1398,2009
468,Sacramento,2.2,2211,2009
469,San Bernardino,404.1,843393,2009
470,San Diego,1.2,1391,2009
471,Solano,2.0,54,2009
472,Stanislaus,1.4,2955,2009
473,Tulare,1.0,1260,2009
474,Kern,1.0,292,2008
475,Sacramento,2.2,2618,2008
476,San Bernardino,402.8,730610,2008
477,San Diego,1.2,27,2008
478,Sacramento,2.2,2208,2007
479,San Bernardino,400.4,665750,2007
480,Sacramento,2.2,2297,2006
481,San Bernardino,400.4,613591,2006
482,Sacramento,2.0,1989,2005
483,San Bernardino,377.8,658333,2005
484,Sacramento,2.0,1956,2004
485,San Bernardino,377.8,739123,2004
486,Sacramento,2.0,1949,2003
487,San Bernardino,377.8,756571,2003
488,Sacramento,2.2,2462,2002
489,San Bernardino,377.8,848325,2002
490,Sacramento,2.0,2576,2001
491,San Bernardino,410.2,833708,2001
