,Year,Company Name,CEC Plant ID,Plant Name,State,Capacity (MW),Net MWh
0,2021.0,Agua Caliente Solar LLC,S0242,Agua Caliente Solar (AZ),AZ,290.0,707643.0
1,2021.0,LS Power,S0292,Arlington Valley Solar Energy II,AZ,129.0,353291.0
2,2021.0,Copper Mountain Solar,S0243,Copper Mountain I (NV),NV,58.0,115417.0
3,2021.0,Copper Mountain Solar,S0244,Copper Mountain II (NV),NV,155.0,359174.0
4,2021.0,Copper Mountain Solar,S0295,Copper Mountain III (NV),NV,255.0,607133.0
5,2021.0,Copper Mountain Solar,S0540,Copper Mountain Solar 4 (NV),NV,93.6,246999.0
6,2021.0,Mesquite Solar 1 LLC,S0254,Mesquite Solar 1 (AZ),AZ,165.0,405068.0
7,2021.0,Mesquite Solar 1 LLC,S0561,Mesquite Solar 2 (AZ),AZ,100.8,256131.0
8,2021.0,Mesquite Solar 1 LLC,S0562,Mesquite Solar 3 (AZ),AZ,152.0,432472.0
9,2021.0,"Silver State Solar Power South, LLC",S0436,Silver State Power South (NV),NV,250.0,671951.0
10,,,,,,Total,1648.4
11,2020.0,Agua Caliente Solar LLC,S0242,Agua Caliente Solar (AZ),AZ,290.0,725116.0
12,2020.0,LS Power,S0292,Arlington Valley Solar Energy II,AZ,129.0,361722.0
13,2020.0,Copper Mountain Solar,S0243,Copper Mountain I (NV),NV,58.0,119909.0
14,2020.0,Copper Mountain Solar,S0244,Copper Mountain II (NV),NV,155.0,371604.0
15,2020.0,Copper Mountain Solar,S0295,Copper Mountain III (NV),NV,255.0,628526.0
16,2020.0,Copper Mountain Solar,S0540,Copper Mountain Solar 4 (NV),NV,93.6,249275.0
17,2020.0,Mesquite Solar 1 LLC,S0254,Mesquite Solar 1 (AZ),AZ,165.0,415376.0
18,2020.0,Mesquite Solar 1 LLC,S0561,Mesquite Solar 2 (AZ),AZ,100.8,263679.0
19,2020.0,Mesquite Solar 1 LLC,S0562,Mesquite Solar 3 (AZ),AZ,152.0,455380.0
20,2020.0,"Silver State Solar Power South, LLC",S0436,Silver State Power South (NV),NV,250.0,679951.0
21,,,,,,Total,1648.4
22,2019.0,Agua Caliente Solar LLC,S0242,Agua Caliente Solar (AZ),AZ,290.0,717163.0
23,2019.0,LS Power,S0292,Arlington Valley Solar Energy II,AZ,129.0,348390.0
24,2019.0,Copper Mountain Solar,S0243,Copper Mountain I (NV),NV,58.0,117141.0
25,2019.0,Copper Mountain Solar,S0244,Copper Mountain II (NV),NV,155.0,358160.0
26,2019.0,Copper Mountain Solar,S0295,Copper Mountain III (NV),NV,255.0,592149.0
27,2019.0,Copper Mountain Solar,S0540,Copper Mountain Solar 4 (NV),NV,93.6,265982.0
28,2019.0,Mesquite Solar 1 LLC,S0254,Mesquite Solar 1 (AZ),AZ,165.0,412784.0
29,2019.0,Mesquite Solar 1 LLC,S0561,Mesquite Solar 2 (AZ),AZ,100.8,256048.0
30,2019.0,Mesquite Solar 1 LLC,S0562,Mesquite Solar 3 (AZ),AZ,152.0,445637.0
31,2019.0,"Silver State Solar Power South, LLC",S0436,Silver State Power South (NV),NV,250.0,698837.0
32,,,,,,Total,1648.4
33,2018.0,Agua Caliente Solar LLC,S0242,Agua Caliente Solar (AZ),AZ,290.0,727327.0
