,datetime,temp,humidity,precip,preciptype,snowdepth,windgust,windspeed,sealevelpressure,solarradiation,solarenergy,uvindex,severerisk,conditions,year,rains
0,1980-01-01,49.6,97.9,0.01,0,0.0,0.0,14.3,1022.3,0.0,0.0,0.0,0.0,"Rain, Partially cloudy",1980,True
1,1980-01-02,46.1,95.67,0.0,0,0.0,0.0,9.5,1021.6,0.0,0.0,0.0,0.0,Partially cloudy,1980,False
2,1980-01-03,45.2,94.65,0.0,0,0.0,0.0,10.3,1020.5,0.0,0.0,0.0,0.0,Partially cloudy,1980,False
3,1980-01-04,45.9,95.21,0.01,0,0.0,0.0,8.6,1018.4,0.0,0.0,0.0,0.0,"Rain, Partially cloudy",1980,True
4,1980-01-05,48.2,93.28,0.0,0,0.0,0.0,8.4,1018.4,0.0,0.0,0.0,0.0,Partially cloudy,1980,False
5,1980-01-06,49.3,91.56,0.0,0,0.0,0.0,7.1,1017.9,0.0,0.0,0.0,0.0,Overcast,1980,False
6,1980-01-07,46.9,96.76,0.0,0,0.0,0.0,8.5,1015.0,0.0,0.0,0.0,0.0,Partially cloudy,1980,False
7,1980-01-08,49.0,94.05,0.02,0,0.0,0.0,6.6,1014.4,0.0,0.0,0.0,0.0,"Rain, Partially cloudy",1980,True
8,1980-01-09,51.7,95.07,0.63,0,0.0,0.0,15.6,1004.3,0.0,0.0,0.0,0.0,"Rain, Partially cloudy",1980,True
9,1980-01-10,47.9,73.12,0.13,0,0.0,0.0,15.9,1011.0,0.0,0.0,0.0,0.0,"Rain, Partially cloudy",1980,True
10,1980-01-11,48.5,95.9,1.19,0,0.0,0.0,25.1,1008.3,0.0,0.0,0.0,0.0,"Rain, Overcast",1980,True
11,1980-01-12,61.4,86.56,0.47,0,0.0,0.0,26.8,1011.5,0.0,0.0,0.0,0.0,"Rain, Overcast",1980,True
12,1980-01-13,60.3,91.09,0.74,0,0.0,0.0,19.8,1010.3,0.0,0.0,0.0,0.0,"Rain, Overcast",1980,True
13,1980-01-14,57.0,87.27,0.64,0,0.0,0.0,16.6,1013.2,0.0,0.0,0.0,0.0,"Rain, Partially cloudy",1980,True
14,1980-01-15,52.2,89.73,0.15,0,0.0,0.0,13.5,1019.5,0.0,0.0,0.0,0.0,"Rain, Partially cloudy",1980,True
15,1980-01-16,54.7,92.61,0.29,0,0.0,0.0,23.7,1018.2,0.0,0.0,0.0,0.0,"Rain, Overcast",1980,True
16,1980-01-17,52.6,93.58,0.44,0,0.0,0.0,8.9,1016.1,0.0,0.0,0.0,0.0,"Rain, Partially cloudy",1980,True
