"Publication_Year","Table","Health_Indicator_Desc","Strata","Strata_Name","County","Rank_Order","Denominator_Total","Denominator_Average","Denominator_Label","Denominator_Year_Period","Numerator_Total","Numerator_Average","Numerator_Label","Numerator_Year_Period","Rate_Multiplier","Rate/Percentage","Rate/Percentage_Label","Age-Adjusted_Rate","Age-Adjusted_Rate_Label","Lower_Confidence_Limit","Upper_Confidence_Limit","Healthy_People_Decade","Healthy_People_Objective_Number","Healthy_People_Objective_Target","Healthy_People_Objective_Met","Denominator_Annotation_Code","Numerator_Annotation_Code","Rates_Annotation_Code","Annotation_Desc"
2022,1,Deaths Due to All Causes,Total Population,Total Population,San Mateo,1,776002,776002.0,Population,2019,14505,4835.0,Deaths,2018-2020,100000,623.1,Crude Death Rate,456.6,Age-Adjusted Death Rate,449.1,464.2,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Santa Clara,2,1960932,1960932.0,Population,2019,31855,10618.3,Deaths,2018-2020,100000,541.5,Crude Death Rate,457.7,Age-Adjusted Death Rate,452.6,462.8,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Marin,3,260969,260969.0,Population,2019,6018,2006.0,Deaths,2018-2020,100000,768.7,Crude Death Rate,460.4,Age-Adjusted Death Rate,448.1,472.6,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Mono,4,13585,13585.0,Population,2019,161,53.7,Deaths,2018-2020,100000,395.0,Crude Death Rate,474.1,Age-Adjusted Death Rate,376.6,571.5,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,San Francisco,5,897114,897114.0,Population,2019,17979,5993.0,Deaths,2018-2020,100000,668.0,Crude Death Rate,491.8,Age-Adjusted Death Rate,484.4,499.1,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Alameda,6,1668965,1668965.0,Population,2019,31328,10442.7,Deaths,2018-2020,100000,625.7,Crude Death Rate,559.9,Age-Adjusted Death Rate,553.6,566.2,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Orange,7,3195197,3195197.0,Population,2019,64549,21516.3,Deaths,2018-2020,100000,673.4,Crude Death Rate,561.2,Age-Adjusted Death Rate,556.8,565.5,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Placer,8,394626,394626.0,Population,2019,10182,3394.0,Deaths,2018-2020,100000,860.1,Crude Death Rate,563.9,Age-Adjusted Death Rate,552.6,575.1,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Monterey,9,443397,443397.0,Population,2019,8263,2754.3,Deaths,2018-2020,100000,621.2,Crude Death Rate,564.5,Age-Adjusted Death Rate,552.2,576.9,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Contra Costa,10,1147269,1147269.0,Population,2019,24567,8189.0,Deaths,2018-2020,100000,713.8,Crude Death Rate,580.6,Age-Adjusted Death Rate,573.3,588.0,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Santa Cruz,11,272185,272185.0,Population,2019,5426,1808.7,Deaths,2018-2020,100000,664.5,Crude Death Rate,582.2,Age-Adjusted Death Rate,566.2,598.1,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Sierra,12,3127,3127.0,Population,2019,115,38.3,Deaths,2018-2020,100000,1225.9,Crude Death Rate,583.6,Age-Adjusted Death Rate,468.0,699.1,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,San Benito,13,62051,62051.0,Population,2019,1125,375.0,Deaths,2018-2020,100000,604.3,Crude Death Rate,590.7,Age-Adjusted Death Rate,555.6,625.9,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Sonoma,14,495058,495058.0,Population,2019,12643,4214.3,Deaths,2018-2020,100000,851.3,Crude Death Rate,593.8,Age-Adjusted Death Rate,583.1,604.5,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,San Diego,15,3346937,3346937.0,Population,2019,68724,22908.0,Deaths,2018-2020,100000,684.4,Crude Death Rate,597.2,Age-Adjusted Death Rate,592.7,601.8,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,San Luis Obispo,16,277276,277276.0,Population,2019,7382,2460.7,Deaths,2018-2020,100000,887.4,Crude Death Rate,598.3,Age-Adjusted Death Rate,583.9,612.7,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Los Angeles,17,10210966,10210966.0,Population,2019,210430,70143.3,Deaths,2018-2020,100000,686.9,Crude Death Rate,601.3,Age-Adjusted Death Rate,598.7,603.9,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Ventura,18,844213,844213.0,Population,2019,18287,6095.7,Deaths,2018-2020,100000,722.1,Crude Death Rate,602.5,Age-Adjusted Death Rate,593.6,611.4,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Santa Barbara,19,452066,452066.0,Population,2019,9953,3317.7,Deaths,2018-2020,100000,733.9,Crude Death Rate,604.4,Age-Adjusted Death Rate,592.3,616.5,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Mariposa,20,17842,17842.0,Population,2019,611,203.7,Deaths,2018-2020,100000,1141.5,Crude Death Rate,613.2,Age-Adjusted Death Rate,556.9,669.4,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,El Dorado,21,188818,188818.0,Population,2019,5004,1668.0,Deaths,2018-2020,100000,883.4,Crude Death Rate,619.6,Age-Adjusted Death Rate,601.6,637.5,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,CALIFORNIA,,39761195,39761195.0,Population,2019,858438,286146.0,Deaths,2018-2020,100000,719.7,Crude Death Rate,625.4,Age-Adjusted Death Rate,624.0,626.7,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Nevada,22,97808,97808.0,Population,2019,3271,1090.3,Deaths,2018-2020,100000,1114.8,Crude Death Rate,625.6,Age-Adjusted Death Rate,601.9,649.4,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Napa,23,139874,139874.0,Population,2019,3664,1221.3,Deaths,2018-2020,100000,873.2,Crude Death Rate,643.8,Age-Adjusted Death Rate,622.6,665.1,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Yolo,24,220723,220723.0,Population,2019,4173,1391.0,Deaths,2018-2020,100000,630.2,Crude Death Rate,650.9,Age-Adjusted Death Rate,630.9,670.9,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Riverside,25,2428464,2428464.0,Population,2019,56600,18866.7,Deaths,2018-2020,100000,776.9,Crude Death Rate,666.0,Age-Adjusted Death Rate,660.5,671.6,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Colusa,26,22045,22045.0,Population,2019,498,166.0,Deaths,2018-2020,100000,753.0,Crude Death Rate,667.1,Age-Adjusted Death Rate,607.7,726.5,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Solano,27,439990,439990.0,Population,2019,10755,3585.0,Deaths,2018-2020,100000,814.8,Crude Death Rate,681.8,Age-Adjusted Death Rate,668.7,694.9,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Madera,28,157686,157686.0,Population,2019,3528,1176.0,Deaths,2018-2020,100000,745.8,Crude Death Rate,688.6,Age-Adjusted Death Rate,665.7,711.6,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Imperial,29,188962,188962.0,Population,2019,4168,1389.3,Deaths,2018-2020,100000,735.2,Crude Death Rate,693.0,Age-Adjusted Death Rate,671.6,714.4,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Calaveras,30,44403,44403.0,Population,2019,1608,536.0,Deaths,2018-2020,100000,1207.1,Crude Death Rate,693.5,Age-Adjusted Death Rate,654.2,732.8,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Amador,31,37724,37724.0,Population,2019,1423,474.3,Deaths,2018-2020,100000,1257.4,Crude Death Rate,713.3,Age-Adjusted Death Rate,672.7,753.9,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Trinity,32,13374,13374.0,Population,2019,499,166.3,Deaths,2018-2020,100000,1243.7,Crude Death Rate,723.1,Age-Adjusted Death Rate,648.7,797.6,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Plumas,33,18450,18450.0,Population,2019,711,237.0,Deaths,2018-2020,100000,1284.6,Crude Death Rate,731.0,Age-Adjusted Death Rate,668.8,793.1,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Modoc,34,9458,9458.0,Population,2019,347,115.7,Deaths,2018-2020,100000,1223.0,Crude Death Rate,731.0,Age-Adjusted Death Rate,644.4,817.7,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Sacramento,35,1548760,1548760.0,Population,2019,37243,12414.3,Deaths,2018-2020,100000,801.6,Crude Death Rate,744.6,Age-Adjusted Death Rate,736.9,752.2,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Kings,36,153522,153522.0,Population,2019,2831,943.7,Deaths,2018-2020,100000,614.7,Crude Death Rate,745.1,Age-Adjusted Death Rate,717.4,772.9,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Inyo,37,18463,18463.0,Population,2019,663,221.0,Deaths,2018-2020,100000,1197.0,Crude Death Rate,748.5,Age-Adjusted Death Rate,686.6,810.4,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Sutter,38,102808,102808.0,Population,2019,2654,884.7,Deaths,2018-2020,100000,860.5,Crude Death Rate,749.2,Age-Adjusted Death Rate,720.4,778.0,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Mendocino,39,88125,88125.0,Population,2019,2735,911.7,Deaths,2018-2020,100000,1034.5,Crude Death Rate,755.9,Age-Adjusted Death Rate,726.2,785.6,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Lassen,40,28972,28972.0,Population,2019,797,265.7,Deaths,2018-2020,100000,917.0,Crude Death Rate,768.8,Age-Adjusted Death Rate,714.1,823.4,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Merced,41,281592,281592.0,Population,2019,5816,1938.7,Deaths,2018-2020,100000,688.5,Crude Death Rate,773.2,Age-Adjusted Death Rate,753.1,793.3,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Fresno,42,1018437,1018437.0,Population,2019,22906,7635.3,Deaths,2018-2020,100000,749.7,Crude Death Rate,774.1,Age-Adjusted Death Rate,764.0,784.3,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Tulare,43,477731,477731.0,Population,2019,10202,3400.7,Deaths,2018-2020,100000,711.8,Crude Death Rate,779.6,Age-Adjusted Death Rate,764.3,794.8,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Tuolumne,44,52557,52557.0,Population,2019,2131,710.3,Deaths,2018-2020,100000,1351.5,Crude Death Rate,779.6,Age-Adjusted Death Rate,743.5,815.8,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Glenn,45,29072,29072.0,Population,2019,827,275.7,Deaths,2018-2020,100000,948.2,Crude Death Rate,802.2,Age-Adjusted Death Rate,746.7,857.7,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,San Bernardino,46,2176150,2176150.0,Population,2019,48786,16262.0,Deaths,2018-2020,100000,747.3,Crude Death Rate,807.9,Age-Adjusted Death Rate,800.6,815.2,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Siskiyou,47,44000,44000.0,Population,2019,1779,593.0,Deaths,2018-2020,100000,1347.7,Crude Death Rate,812.5,Age-Adjusted Death Rate,770.7,854.3,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,San Joaquin,48,767935,767935.0,Population,2019,18372,6124.0,Deaths,2018-2020,100000,797.5,Crude Death Rate,817.5,Age-Adjusted Death Rate,805.5,829.5,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Humboldt,49,133820,133820.0,Population,2019,4144,1381.3,Deaths,2018-2020,100000,1032.2,Crude Death Rate,822.2,Age-Adjusted Death Rate,796.3,848.2,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Stanislaus,50,554212,554212.0,Population,2019,14060,4686.7,Deaths,2018-2020,100000,845.6,Crude Death Rate,839.6,Age-Adjusted Death Rate,825.5,853.6,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Kern,51,909697,909697.0,Population,2019,20266,6755.3,Deaths,2018-2020,100000,742.6,Crude Death Rate,841.9,Age-Adjusted Death Rate,830.1,853.7,2020,,,,,,,
2022,1,Deaths Due to All Causes,Total Population,Total Population,Butte,52,214532,214532.0,Population,2019,7046,2348.7,Deaths,2018-2020,100000,1094.8,Crude Death Rate,841.9,Age-Adjusted Death Rate,821.5,862.3,2020,,,,,,,
