Name,MapDate,DSCI
California,20000104,48
California,20000111,82
California,20000118,72
California,20000125,56
California,20000201,51
California,20000208,44
California,20000215,44
California,20000222,19
California,20000229,16
California,20000307,9
California,20000314,3
California,20000321,3
California,20000328,3
California,20000404,3
California,20000411,3
California,20000418,4
California,20000425,0
California,20000502,0
California,20000509,0
California,20000516,0
California,20000523,0
California,20000530,0
California,20000606,0
California,20000613,0
California,20000620,0
California,20000627,0
California,20000704,0
California,20000711,0
California,20000718,0
California,20000725,8
California,20000801,8
California,20000808,12
California,20000815,27
California,20000822,26
California,20000829,23
California,20000905,12
California,20000912,12
California,20000919,12
California,20000926,13
California,20001003,13
California,20001010,13
California,20001017,16
California,20001024,12
California,20001031,0
California,20001107,0
California,20001114,0
California,20001121,0
California,20001128,0
California,20001205,0
California,20001212,0
California,20001219,0
California,20001226,0
California,20010102,31
California,20010109,44
California,20010116,15
California,20010123,26
California,20010130,20
California,20010206,36
California,20010213,40
California,20010220,34
California,20010227,30
California,20010306,30
California,20010313,30
California,20010320,31
California,20010327,31
California,20010403,47
California,20010410,43
California,20010417,52
California,20010424,52
California,20010501,52
California,20010508,52
California,20010515,61
California,20010522,61
California,20010529,64
California,20010605,81
California,20010612,83
California,20010619,96
California,20010626,100
California,20010703,109
California,20010710,97
California,20010717,101
California,20010724,102
California,20010731,102
California,20010807,102
California,20010814,102
California,20010821,121
California,20010828,132
California,20010904,132
California,20010911,166
California,20010918,166
California,20010925,166
California,20011002,166
California,20011009,166
California,20011016,170
California,20011023,170
California,20011030,169
California,20011106,169
California,20011113,169
California,20011120,167
California,20011127,152
California,20011204,118
California,20011211,109
California,20011218,100
California,20011225,62
California,20020101,39
California,20020108,7
California,20020115,8
California,20020122,13
California,20020129,12
California,20020205,25
California,20020212,46
California,20020219,45
California,20020226,46
California,20020305,47
California,20020312,69
California,20020319,67
California,20020326,69
California,20020402,78
California,20020409,101
California,20020416,115
California,20020423,114
California,20020430,111
California,20020507,110
California,20020514,111
California,20020521,110
California,20020528,153
California,20020604,155
California,20020611,156
California,20020618,173
California,20020625,194
California,20020702,195
California,20020709,198
California,20020716,204
California,20020723,211
California,20020730,215
California,20020806,217
California,20020813,218
California,20020820,216
California,20020827,216
California,20020903,214
California,20020910,214
California,20020917,213
California,20020924,214
California,20021001,207
California,20021008,234
California,20021015,234
California,20021022,236
California,20021029,236
California,20021105,247
California,20021112,178
California,20021119,179
California,20021126,181
California,20021203,175
California,20021210,200
California,20021217,140
California,20021224,120
California,20021231,117
California,20030107,116
California,20030114,113
California,20030121,110
California,20030128,119
California,20030204,126
California,20030211,137
California,20030218,105
California,20030225,105
California,20030304,94
California,20030311,112
California,20030318,93
California,20030325,92
California,20030401,105
California,20030408,104
California,20030415,81
California,20030422,80
California,20030429,78
California,20030506,80
California,20030513,70
California,20030520,69
California,20030527,68
California,20030603,72
California,20030610,71
California,20030617,70
California,20030624,69
California,20030701,70
California,20030708,73
California,20030715,72
California,20030722,72
California,20030729,69
California,20030805,71
California,20030812,69
California,20030819,70
California,20030826,71
California,20030902,80
California,20030909,71
California,20030916,68
California,20030923,69
California,20030930,65
California,20031007,69
California,20031014,105
California,20031021,111
California,20031028,147
California,20031104,115
California,20031111,96
California,20031118,99
California,20031125,95
California,20031202,97
California,20031209,91
California,20031216,91
California,20031223,94
California,20031230,62
California,20040106,59
California,20040113,67
California,20040120,60
California,20040127,58
California,20040203,58
California,20040210,58
California,20040217,58
California,20040224,54
California,20040302,51
California,20040309,51
California,20040316,51
California,20040323,51
California,20040330,63
California,20040406,60
California,20040413,93
California,20040420,93
California,20040427,100
California,20040504,136
California,20040511,136
California,20040518,136
California,20040525,138
California,20040601,139
California,20040608,140
California,20040615,140
California,20040622,140
California,20040629,144
California,20040706,146
California,20040713,146
California,20040720,147
California,20040727,152
